HEROP_ID,PcpPer100k,SpPer100k
050US01001,38.04,34.42
050US01003,57.18,98.03
050US01005,54.3,11.64
050US01007,53.27,0.0
050US01009,27.76,12.14
050US01011,38.64,9.66
050US01013,44.94,34.96
050US01015,60.82,112.08
050US01017,50.26,32.52
050US01019,34.81,34.81
050US01021,29.59,18.21
050US01023,30.59,0.0
050US01025,69.71,20.5
050US01027,29.9,29.9
050US01029,13.39,0.0
050US01031,50.69,46.79
050US01033,69.73,97.26
050US01035,55.94,23.97
050US01037,0.0,0.0
050US01039,80.32,83.0
050US01041,14.42,14.42
050US01043,54.67,94.76
050US01045,26.39,28.42
050US01047,67.45,74.95
050US01049,29.49,23.88
050US01051,29.55,25.86
050US01053,61.62,40.18
050US01055,78.69,108.8
050US01057,72.35,24.12
050US01059,57.07,44.39
050US01061,22.65,0.0
050US01063,23.74,0.0
050US01065,13.43,13.43
050US01067,23.36,0.0
050US01069,82.41,244.37
050US01071,59.51,57.59
050US01073,102.44,248.22
050US01075,28.71,0.0
050US01077,42.12,104.77
050US01079,33.16,12.06
050US01081,46.46,65.92
050US01083,31.17,36.54
050US01085,9.77,0.0
050US01087,68.23,99.72
050US01089,77.19,133.96
050US01091,56.3,25.59
050US01093,50.06,30.04
050US01095,54.65,42.04
050US01097,61.74,144.7
050US01099,41.84,18.59
050US01101,88.13,148.5
050US01103,62.12,99.9
050US01105,21.08,0.0
050US01107,19.71,9.85
050US01109,59.87,38.92
050US01111,48.73,13.29
050US01113,29.2,13.74
050US01115,22.91,14.89
050US01117,62.96,76.68
050US01119,53.91,7.7
050US01121,43.44,48.41
050US01123,36.91,68.9
050US01125,70.8,129.48
050US01127,57.37,79.08
050US01129,18.03,0.0
050US01131,37.01,0.0
050US01133,33.51,20.94
050US02013,0.0,0.0
050US02016,104.35,0.0
050US02020,104.01,202.29
050US02050,60.98,5.54
050US02060,0.0,112.36
050US02068,0.0,0.0
050US02070,241.21,0.0
050US02090,80.28,125.44
050US02100,158.86,0.0
050US02105,0.0,0.0
050US02110,120.63,142.28
050US02122,72.14,79.01
050US02130,123.15,159.37
050US02150,139.2,58.61
050US02158,,
050US02164,0.0,0.0
050US02170,52.19,67.66
050US02180,80.6,20.15
050US02185,20.41,10.21
050US02188,51.72,0.0
050US02195,30.72,30.72
050US02198,108.12,15.45
050US02220,274.66,103.0
050US02230,0.0,0.0
050US02240,43.63,0.0
