HEROP_ID,FqhcCtTmDr,FqhcAvTmDr,FqhcTmDrP,HospCtTmDr,HospAvTmDr,HospTmDrP,MhCtTmDr,MhAvTmDr,MhTmDrP,SutpCtTmDr,SutpAvTmDr,SutpTmDrP,OpRxRt,OdMortRt,OdMortRtAv
050US17141,4.0,34.96,0.36,8.0,21.62,0.73,11.0,13.1,1.0,11.0,12.3,1.0,16.2,18.7,15.12
050US17157,4.0,30.57,0.44,9.0,9.8,1.0,9.0,9.8,1.0,9.0,9.8,1.0,39.1,20.8,18.84
050US47109,7.0,13.08,1.0,5.0,27.25,0.71,7.0,16.52,1.0,7.0,16.52,1.0,67.8,30.3,22.16
050US47113,26.0,12.91,0.96,26.0,11.13,0.96,26.0,9.43,0.96,27.0,6.21,1.0,145.1,25.6,13.66
050US48445,0.0,45.67,0.0,3.0,4.39,1.0,3.0,4.09,1.0,0.0,45.52,0.0,20.5,11.5,14.98
050US48483,0.0,94.89,0.0,2.0,0.0,1.0,0.0,61.18,0.0,0.0,65.68,0.0,4.3,15.8,17.66
050US53039,1.0,36.17,0.33,2.0,13.02,0.67,2.0,13.39,0.67,2.0,13.39,0.67,30.8,17.5,16.68
050US54035,6.0,11.08,1.0,6.0,16.01,1.0,6.0,11.98,1.0,6.0,11.98,1.0,19.7,30.8,25.26
050US48127,2.0,0.0,1.0,2.0,14.32,1.0,0.0,85.95,0.0,2.0,14.32,1.0,6.0,11.0,11.18
050US27133,0.0,41.59,0.0,3.0,8.75,1.0,3.0,12.85,1.0,3.0,8.75,1.0,30.9,8.4,10.92
050US54101,3.0,8.96,1.0,2.0,24.58,0.67,2.0,22.55,0.67,2.0,22.55,0.67,118.2,46.8,32.58
050US55005,9.0,10.22,0.9,8.0,15.07,0.8,7.0,23.83,0.7,6.0,28.26,0.6,42.6,9.5,10.66
050US17165,8.0,8.63,0.89,8.0,8.63,0.89,8.0,8.63,0.89,8.0,8.63,0.89,129.7,30.6,28.04
050US18001,6.0,26.05,0.86,7.0,13.11,1.0,6.0,13.89,0.86,6.0,13.89,0.86,26.0,18.5,15.38
050US01125,46.0,13.13,0.98,45.0,11.47,0.96,46.0,10.42,0.98,45.0,11.43,0.96,86.6,21.1,15.88
050US04017,14.0,42.88,0.45,12.0,38.59,0.39,13.0,49.52,0.42,18.0,28.03,0.58,43.6,34.2,21.02
