HEROP_ID,TotPop,TotPopHh,TotVetPop,TotUnits,TotWrkE,WhiteP,BlackP,AmIndP,AsianP,PacIsP,OtherP,HispP,ChildrenP,Und45P,Ovr65P,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_49,Age50_54,Age55_59,Age60_64,AgeOv65,AgeOv18,Age18_64,DisbP,NoHsP,VetP,NonRelFhhP,NonRelNfhhP,BedCnt,PntInTm,YrlyBedCnt,UnempP,PovP,MedInc,PciE,GiniCoeff,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,NoIntP,VacantP,MobileP,LngTermP,RentalP,UnitDens,AlcTot,AlcDens,AlcPerCap,Ndvi
040US17,12821497,12523597,595185,5347268,6225964,71.67,14.23,0.25,5.39,0.04,8.43,16.96,77,59.05,14.78,776957,1639302,847578,875317,5154249,835418,871121,868764,780783,1894903,9894936,8000033,10.9,11.11,6.03,2.43,20.26,29116,24595,28041,6.6,13.1,31597,34463,0.48,9.32,19.13,13.59,10.76,2746439,44.11,13.83,9.67,2.46,26.47,33.97,96.32,1288,0.02,0,0.19
040US18,6637426,6449747,390220,2870670,3164414,83.59,9.33,0.22,2.18,0.04,4.62,6.78,76,59.0,15.01,418299,883260,458348,477704,2614698,419401,445154,448932,411619,996063,5063133,4067070,13.8,11.42,7.71,2.78,20.83,12594,10198,11750,5.4,14.1,28562,28461,0.45,9.11,27.0,13.81,11.09,1598278,50.51,16.29,11.04,4.85,24.92,31.05,80.13,913,0.03,0,0.27
040US19,3132499,3032415,188867,1386722,1609481,90.28,3.51,0.37,2.4,0.1,3.35,5.85,77,57.96,16.39,197430,410184,214740,228772,1208062,186082,203506,213388,200535,513312,2402467,1889155,11.6,8.01,7.87,2.64,21.51,5749,4984,5251,3.9,11.7,30824,31085,0.44,10.02,25.91,14.38,11.69,767333,47.68,15.0,9.37,3.73,24.69,28.86,24.83,172,0.0,0,0.19
040US20,2908776,2828708,181453,1266378,1428660,84.59,5.84,0.83,2.87,0.07,5.8,11.71,75,60.08,15.05,194202,402193,200544,217162,1151317,169015,184222,192663,177387,437777,2193231,1755454,13.0,9.27,8.34,2.5,20.39,5095,3823,4860,4.4,12.4,30095,30757,0.46,10.69,22.97,14.01,10.72,658949,46.12,14.5,11.2,4.42,22.38,33.68,15.49,659,0.01,0,0.19
040US21,4440204,4309065,273675,1974406,1959442,87.08,7.98,0.22,1.41,0.06,3.24,3.58,77,57.77,15.57,274440,564733,290396,306631,1726143,287568,306536,309964,279311,691509,3428185,2736676,17.4,14.3,8.02,2.75,20.0,8536,7628,8016,6.1,17.9,25702,26948,0.48,9.52,23.58,14.23,11.93,991654,50.61,17.89,12.45,12.0,25.59,33.03,50.0,602,0.02,0,0.2
040US22,4663616,4534221,250497,2045554,2031115,62.21,32.23,0.56,1.71,0.03,3.26,5.04,76,60.08,14.51,309339,615510,301500,329326,1876915,281619,305087,310932,287507,676707,3555142,2878435,15.0,15.19,7.08,2.56,19.99,9940,8936,9872,6.9,19.4,25737,27027,0.49,9.26,20.89,14.33,11.58,1011686,49.81,20.84,15.13,13.12,26.13,34.73,47.35,277,0.01,0,0.16
040US23,1332813,1296802,107091,739077,665188,94.48,1.34,0.62,1.12,0.02,2.41,1.61,81,50.53,19.45,64437,143379,79747,77353,465663,89226,101508,108271,101153,259176,1078152,818976,15.9,7.69,9.95,3.42,22.32,5352,4531,5175,4.6,12.5,28070,31253,0.45,10.58,19.07,17.16,13.21,312792,47.02,13.66,24.64,8.3,30.39,27.8,23.96,55,0.0,0,0.22
040US24,6003435,5862883,372462,2437740,3051333,56.19,29.78,0.26,6.23,0.05,7.48,9.81,78,58.02,14.58,366174,748555,384501,389347,2368200,411253,440672,421695,371549,875337,4659258,3783921,10.9,9.96,8.04,2.97,22.1,17678,15996,16544,5.6,9.4,38749,40517,0.45,9.93,12.35,13.87,9.55,1190162,39.0,10.69,10.06,1.42,26.36,33.23,251.03,1095,0.11,0,0.19
040US25,6830193,6579553,315859,2882739,3570257,78.48,7.48,0.21,6.48,0.03,7.32,11.55,80,56.8,15.79,362681,766847,459381,492489,2750218,460384,496392,481780,433667,1078224,5450296,4372072,11.6,9.57,5.8,2.69,24.56,42177,39427,41181,5.4,10.8,35972,41794,0.48,11.7,15.56,16.51,10.32,1410862,39.52,10.95,9.74,0.82,29.79,37.7,369.52,1430,0.18,0,0.12
040US26,9957488,9728101,564783,4580939,4598487,78.52,13.81,0.53,3.06,0.03,4.05,5.0,78,56.25,16.28,572374,1226636,669114,717149,3802412,646308,698963,722076,667775,1620944,7761390,6140446,14.3,9.47,7.28,2.75,20.66,24088,21649,23017,6.5,15.0,28178,30336,0.47,8.53,25.75,14.89,10.97,2204163,47.93,14.69,14.66,5.28,28.54,28.97,80.93,1302,0.02,0,0.14
040US27,5527358,5394498,310097,2420473,2931458,83.33,6.19,1.07,4.75,0.04,4.62,5.3,77,58.51,15.02,351740,725424,356498,361934,2156944,345274,380440,393455,343969,830112,4235751,3405639,10.8,7.03,7.32,2.65,22.91,26233,22736,25746,3.9,10.1,34446,36245,0.45,9.0,22.13,16.24,11.03,1284453,43.82,11.63,10.44,3.34,26.08,28.44,30.4,995,0.01,0,0.05
040US28,2988762,2892341,168996,1316108,1228537,58.59,37.67,0.46,0.95,0.02,2.31,3.03,76,59.59,15.04,188575,407928,212886,212059,1184622,183522,194751,197536,182350,449478,2268454,1818976,16.3,16.08,7.49,2.39,16.52,3101,2684,3091,8.2,20.8,23725,23434,0.48,9.75,23.72,14.98,11.66,650010,52.91,24.44,16.0,15.2,28.0,31.8,28.05,438,0.01,0,0.27
040US29,6090062,5915004,413189,2775635,2888094,82.24,11.57,0.44,1.92,0.11,3.72,4.09,77,57.6,16.12,372932,774218,396819,421255,2360618,374569,413391,425339,387303,981692,4704999,3723307,14.6,10.44,8.82,2.78,20.22,14225,11828,13357,5.1,14.2,28121,29537,0.46,9.2,20.28,14.97,11.79,1339991,46.4,15.85,13.67,6.21,23.81,33.15,40.38,572,0.01,0,0.15
040US30,1041732,1012863,85480,505685,507249,88.86,0.44,6.46,0.76,0.07,3.4,3.75,78,55.71,17.65,61810,127768,64452,73435,390755,59101,66801,75255,76419,183823,814140,630317,13.6,6.81,10.54,2.64,22.55,2666,2249,2524,4.2,13.7,27115,29765,0.46,8.92,20.61,14.45,11.72,240904,47.49,15.45,16.3,10.94,23.65,32.3,3.47,115,0.0,0,0.06
040US31,1904760,1852809,120290,830749,993836,87.49,4.77,0.91,2.32,0.07,4.44,10.67,75,60.34,15.02,131812,264249,129350,136886,753272,109634,119414,125370,114929,286080,1432242,1146162,11.5,8.91,8.43,2.55,20.26,5040,4166,4950,3.5,11.6,30966,31101,0.44,9.69,22.68,14.55,11.47,452975,45.58,13.45,9.23,3.42,22.66,33.88,10.81,166,0.0,0,0.22
040US32,2922849,2885149,208731,1235096,1370603,66.21,8.93,1.23,8.03,0.66,14.94,28.45,77,59.39,14.99,182311,379597,177213,182278,1173952,195494,193152,186207,174085,438051,2248373,1810322,12.8,13.7,9.32,3.63,25.01,8095,6672,7327,6.9,13.7,30319,29961,0.46,6.42,13.39,9.48,11.81,646533,47.17,13.25,12.89,5.32,12.76,44.19,11.25,228,0.0,0,0.22
040US33,1343622,1301042,97644,630955,724017,93.03,1.53,0.16,2.69,0.03,2.57,3.6,80,52.75,16.97,64079,148612,88652,90164,496028,94043,106877,110487,95512,227984,1081059,853075,12.6,7.1,9.05,3.01,23.29,3118,2748,3039,4.0,7.9,34508,38548,0.44,9.99,20.88,14.66,12.45,306709,42.36,9.31,16.3,5.63,28.72,29.03,70.47,124,0.01,0,0.11
040US34,8881845,8697059,333835,3605401,4390602,67.91,13.47,0.21,9.37,0.04,9.0,19.91,78,56.65,15.5,521684,1103003,565170,562446,3406505,623993,662252,636206,551339,1376863,6908443,5531580,10.4,10.46,4.84,2.42,18.75,21210,18742,18743,6.1,10.4,36411,40895,0.48,9.98,15.08,13.83,11.01,1736504,39.55,11.52,10.87,0.95,28.76,36.07,490.24,1631,0.22,0,0.19
040US35,2092434,2049476,148264,932818,882735,74.5,2.06,9.55,1.51,0.07,12.31,48.54,76,58.6,16.32,128357,281753,140188,147856,815957,120433,131970,139817,132632,341515,1598270,1256755,15.1,14.74,9.33,3.02,19.82,5746,4716,5385,7.2,20.0,25234,26085,0.48,10.56,16.23,14.7,11.54,412109,46.69,21.24,16.85,16.96,26.7,32.41,7.69,98,0.0,0,0.15
040US36,19618453,19043605,730557,8287087,9445023,63.79,15.64,0.41,8.31,0.04,11.81,18.89,79,57.7,15.64,1163606,2267695,1224760,1356050,7887722,1295956,1379690,1342368,1212727,3068689,15476820,12408131,11.5,13.52,4.73,2.99,21.6,146422,138739,143470,6.0,14.6,32062,37470,0.51,11.02,12.91,16.64,10.38,3984668,42.19,13.9,11.71,2.33,31.52,46.1,175.86,2972,0.06,0,0.14
040US37,10155624,9882910,667696,4573066,4665822,68.87,21.46,1.19,2.78,0.07,5.62,9.22,77,58.22,15.47,603193,1294042,676295,700320,4015345,686210,690424,676977,618435,1570998,7863008,6292010,13.6,12.64,8.59,2.52,20.65,16945,14686,16167,6.3,15.4,27458,29456,0.48,9.12,21.31,13.87,11.74,2167395,46.45,15.71,14.31,13.02,23.31,34.96,94.06,633,0.01,0,0.23
040US38,752201,726653,46524,367684,400841,87.11,2.72,5.25,1.44,0.05,3.43,3.53,77,61.34,14.61,52820,94926,47651,66571,313629,40274,45712,49869,45061,109910,578483,468573,10.8,7.51,8.13,2.46,20.94,1685,1287,1629,2.8,10.9,34036,35373,0.46,8.93,24.94,16.2,11.19,191724,47.83,13.95,14.35,7.28,21.62,37.33,5.33,118,0.0,0,0.16
040US39,11641879,11327784,729649,5188270,5549577,81.51,12.35,0.2,2.15,0.03,3.75,3.7,78,56.72,16.26,695933,1461232,772199,775430,4446663,744680,799749,834920,765841,1892861,9023711,7130850,14.0,9.9,8.09,2.76,19.06,34961,32628,33879,5.8,14.5,28814,30304,0.47,8.57,22.44,15.55,11.51,2656660,47.87,14.72,10.3,3.77,27.45,34.01,126.97,688,0.02,0,0.2
040US40,3918137,3808014,273677,1723230,1761328,72.43,7.35,7.52,2.13,0.11,10.46,10.4,76,60.42,15.04,263992,536998,262995,280151,1566301,229908,245790,255043,230875,589230,2959431,2370201,16.0,12.19,9.3,2.82,20.55,5988,4904,5458,5.3,16.0,26908,27432,0.47,9.07,22.77,13.34,11.57,854170,48.5,17.69,14.43,9.42,20.8,34.42,25.12,560,0.01,0,0.12
040US41,4081943,3993967,288540,1750539,1934643,84.42,1.91,1.15,4.28,0.39,7.86,12.84,79,57.36,16.72,231927,488188,246092,265043,1621357,257594,256516,266912,276903,682546,3213765,2531219,14.5,9.62,8.99,3.73,27.21,18891,17254,18065,6.0,14.1,29065,32045,0.46,8.41,21.52,14.51,11.71,869004,44.92,10.5,9.07,8.06,19.82,38.09,18.24,549,0.01,0,0.24
040US42,12791181,12366049,782682,5673599,6151998,80.85,11.13,0.19,3.35,0.03,4.45,7.08,79,54.98,17.43,709250,1491997,826326,842245,4831541,828116,903178,934674,862564,2229861,10115851,7885990,13.9,9.8,7.74,2.55,19.4,33752,29483,31972,5.8,12.8,30142,32889,0.47,9.36,19.92,16.49,11.34,2861537,46.51,15.29,11.43,3.95,32.03,31.0,126.8,1033,0.02,0,0.11
040US44,1056611,1014869,57524,467412,527972,80.87,6.55,0.52,3.38,0.08,8.6,15.03,80,55.81,16.49,54587,116478,73378,78980,418646,69762,76883,76732,69313,174210,847742,673532,13.6,12.0,6.81,2.77,20.94,3435,3119,3313,6.1,13.1,31145,34619,0.47,11.15,17.31,16.19,12.14,237105,44.91,13.29,12.09,0.97,29.29,39.75,452.09,218,0.21,0,0.26
040US45,4955925,4819128,366862,2256951,2227307,67.25,27.03,0.34,1.52,0.06,3.81,5.56,78,56.98,16.73,290090,619683,323640,337510,1913888,313820,334013,334313,321035,829083,3859674,3030591,14.7,12.87,9.58,2.39,20.27,6768,5392,6112,6.4,16.0,26348,27986,0.47,8.84,22.52,12.81,12.12,1075650,48.29,17.72,16.05,16.45,24.86,31.11,75.07,631,0.02,0,0.22
040US46,864289,830281,59243,387637,442773,84.47,1.88,8.72,1.46,0.03,3.44,3.7,75,59.14,15.83,60407,119006,57056,60737,331685,47405,54298,59203,55477,136808,651223,514415,11.9,8.28,9.14,2.64,19.56,2215,1724,2182,3.5,13.6,30239,29801,0.45,8.49,25.12,15.85,11.42,211132,47.68,15.59,11.89,8.7,23.12,31.89,5.11,94,0.0,0,0.15
040US47,6651089,6496195,435040,2930530,3047809,77.67,16.8,0.27,1.7,0.06,3.5,5.3,77,57.91,15.71,403591,840234,424822,451736,2607745,437508,452747,448270,415781,1045213,5149695,4104482,15.4,13.03,8.48,2.52,20.06,12193,10531,11510,5.9,16.1,26520,28511,0.48,8.46,21.49,14.16,11.97,1479413,48.54,18.03,12.4,9.32,24.05,33.73,71.07,639,0.02,0,0.26
040US48,27885195,27285450,1474232,10769900,12985624,74.31,12.07,0.49,4.69,0.08,8.36,39.17,74,64.31,11.97,1998869,4085565,1987192,1998210,11847281,1777695,1733345,1658878,1445748,3337814,20592509,17254695,11.5,16.8,7.19,2.43,22.19,41420,34848,40957,5.4,15.5,29460,30143,0.48,9.53,21.01,12.07,11.42,5896795,45.41,14.76,11.3,7.22,19.28,38.05,41.22,2584,0.01,0,0.19
040US49,3045350,2998673,123339,1066131,1452040,86.43,1.18,1.07,2.29,0.89,8.14,13.86,70,69.73,10.52,252865,518840,237276,254304,1351855,161074,151460,149349,139638,320269,2126301,1806032,9.6,8.04,5.81,2.33,29.84,7405,6478,7157,3.9,10.3,29559,28239,0.43,10.75,19.97,11.25,11.7,597666,41.16,7.73,10.18,3.47,19.26,30.14,12.97,87,0.0,0,0.1
040US50,624977,599602,38625,333013,328742,94.33,1.29,0.34,1.69,0.03,2.32,1.87,81,52.59,18.17,29676,66474,43222,45910,232496,40096,46205,49272,47208,113550,506631,393081,14.4,7.44,7.63,3.24,23.21,2602,2142,2045,4.1,11.2,30486,33238,0.45,13.0,20.99,15.53,11.81,147102,44.75,13.06,22.05,6.87,31.35,29.28,36.13,65,0.01,0,
040US51,8413774,8169581,684480,3491091,4118723,68.02,19.17,0.27,6.32,0.07,6.15,9.17,78,58.83,14.62,509955,1042099,547867,583501,3398107,564733,592357,567471,508806,1230246,6546347,5316101,11.6,10.69,10.64,2.65,23.92,14979,13153,13454,5.0,10.9,34014,37763,0.47,9.79,15.34,12.29,10.49,1647448,40.0,12.8,10.39,5.16,23.79,33.8,88.42,445,0.01,0,
040US53,7294336,7151776,537713,3064381,3513856,76.03,3.7,1.3,8.33,0.66,9.98,12.5,78,59.43,14.72,453008,909873,444352,485160,2972063,467768,476486,487173,454466,1073499,5661461,4587962,12.7,8.89,9.58,3.35,25.61,38897,32603,37597,5.3,11.5,34148,36888,0.46,8.44,20.0,13.13,11.7,1509709,42.96,8.79,8.61,6.39,19.99,37.28,46.11,421,0.01,0,
040US54,1829054,1781035,134508,890715,742615,93.18,3.65,0.2,0.79,0.02,2.16,1.5,80,53.36,18.85,99291,209144,110333,118202,667545,117794,124958,132236,133367,344719,1455681,1110962,19.5,13.48,9.25,2.85,19.04,3743,2983,3476,6.7,17.8,24507,25479,0.46,9.58,19.9,17.89,12.52,385150,51.86,20.26,17.52,15.08,33.22,27.06,37.05,68,0.0,0,
040US55,5778394,5631740,342796,2681232,2964540,85.59,6.38,0.87,2.76,0.03,4.36,6.68,78,56.62,16.0,335920,728244,381105,402236,2207589,365843,411833,424779,379491,924695,4489451,3564756,11.8,8.07,7.64,2.66,21.91,11245,9675,10348,4.0,11.9,30918,32018,0.45,8.59,27.0,14.81,11.09,1433334,48.35,14.09,12.61,3.47,26.32,33.08,49.5,519,0.01,0,
040US56,581836,567639,45389,274985,290963,91.44,0.95,2.42,0.82,0.09,4.29,9.79,76,59.2,15.09,37270,78620,36734,39921,228575,32792,36165,40523,40114,87777,444117,356340,13.0,7.1,10.29,2.69,21.67,1048,731,1048,4.5,11.1,31382,32295,0.43,11.21,25.22,12.44,10.95,148096,50.9,12.62,16.13,13.61,20.47,30.57,2.83,114,0.0,0,
