HEROP_ID,TotTracts
040US28,664
040US37,2195
040US40,1046
040US51,1908
040US54,484
040US22,1148
040US26,2813
040US25,1478
040US16,298
040US12,4245
040US31,532
040US53,1458
040US35,499
040US46,225
040US48,5265
040US06,8058
040US01,1181
040US13,1969
040US42,3218
040US29,1393
040US08,1249
040US49,588
040US47,1497
040US56,132
040US36,4931
040US20,770
040US02,167
040US32,687
040US17,3123
040US50,184
040US30,271
040US19,825
040US45,1103
040US33,295
040US04,1533
040US11,179
040US34,2010
040US24,1406
040US23,358
040US15,331
040US10,218
040US44,244
040US21,1115
040US39,2952
040US55,1409
040US41,834
040US38,205
040US05,686
040US18,1511
040US27,1338
040US09,833
