HEROP_ID,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age55_59,Age60_64,AgeOv65,Und45P,HispP,AsianP,NoHsP,ChildrenP,Age45_49,Age50_54,AgeOv18,EssnWrkE,AreaSqMi,AlcTot,AlcDens,AlcPerCap,Ndvi
040US24,3783921,366174,748555,384501,389347,2368200,421695,371549,875337,58.02,9.81,6.23,9.96,78,411253,440672,4659258,1190162,9710.85,1095,0.11,0,0.19
040US23,818976,64437,143379,79747,77353,465663,108271,101153,259176,50.53,1.61,1.12,7.69,81,89226,101508,1078152,312792,30844.57,55,0.0,0,0.22
040US15,869573,90388,168781,77674,96819,557572,92789,89919,245955,57.43,10.4,37.75,8.16,78,86972,89653,1115528,313938,6422.39,104,0.02,0,0.12
040US10,578940,54854,113842,59798,61022,357416,68175,61626,167129,55.41,9.09,3.87,10.22,79,60008,66445,746069,196456,1948.23,258,0.13,0,0.22
040US44,673532,54587,116478,73378,78980,418646,76732,69313,174210,55.81,15.03,3.38,12.0,80,69762,76883,847742,237105,1033.89,218,0.21,0,0.26
040US21,2736676,274440,564733,290396,306631,1726143,309964,279311,691509,57.77,3.58,1.41,14.3,77,287568,306536,3428185,991654,39490.15,602,0.02,0,0.2
040US39,7130850,695933,1461232,772199,775430,4446663,834920,765841,1892861,56.72,3.7,2.15,9.9,78,744680,799749,9023711,2656660,40860.57,688,0.02,0,0.2
040US55,3564756,335920,728244,381105,402236,2207589,424779,379491,924695,56.62,6.68,2.76,8.07,78,365843,411833,4489451,1433334,54166.04,519,0.01,0,
040US41,2531219,231927,488188,246092,265043,1621357,266912,276903,682546,57.36,12.84,4.28,9.62,79,257594,256516,3213765,869004,95987.26,549,0.01,0,0.24
040US38,468573,52820,94926,47651,66571,313629,49869,45061,109910,61.34,3.53,1.44,7.51,77,40274,45712,578483,191724,68999.05,118,0.0,0,0.16
040US05,1797192,190311,395579,201068,204406,1163477,195360,181928,487536,58.49,7.32,1.47,13.81,76,182094,194386,2284728,658909,52034.31,399,0.01,0,0.1
040US18,4067070,418299,883260,458348,477704,2614698,448932,411619,996063,59.0,6.78,2.18,11.42,76,419401,445154,5063133,1598278,35825.99,913,0.03,0,0.27
040US27,3405639,351740,725424,356498,361934,2156944,393455,343969,830112,58.51,5.3,4.75,7.03,77,345274,380440,4235751,1284453,79625.07,995,0.01,0,0.05
040US09,2241299,184983,425141,247182,245490,1359543,266170,235949,587580,55.0,15.69,4.43,9.51,79,249188,272950,2828879,729279,4842.66,1215,0.25,0,0.17
