HEROP_ID,Age15_24P,ForDqP,ForDqTot,TotPcp,TotSp
140US01021060102,13.2,8.7,68.0,9.0,6.0
140US01021060200,10.25,9.4,30.0,0.0,0.0
140US01021060300,9.72,8.7,36.0,0.0,0.0
140US01021060401,16.11,8.8,63.0,1.0,0.0
140US01021060402,12.85,11.7,87.0,1.0,0.0
140US01021060500,12.55,13.9,42.0,1.0,0.0
140US01021060600,13.04,12.0,39.0,0.0,0.0
140US01021060700,10.42,10.5,46.0,0.0,1.0
140US01023956700,7.41,20.1,55.0,0.0,0.0
140US01023956800,13.64,16.0,86.0,2.0,0.0
140US01023956900,10.92,18.2,57.0,2.0,0.0
140US01023957000,14.5,16.5,14.0,0.0,0.0
140US01025957500,13.92,18.6,22.0,0.0,0.0
140US01025957601,13.72,,,2.0,2.0
140US01025957602,10.93,,,4.0,0.0
140US01025957700,16.08,18.0,16.0,0.0,0.0
140US01025957800,9.22,17.0,95.0,2.0,0.0
140US01025957901,12.84,16.2,53.0,0.0,0.0
140US01025957902,13.72,14.2,72.0,9.0,3.0
140US01025958001,18.68,,,0.0,0.0
140US01025958002,20.41,,,0.0,0.0
140US01027958900,11.77,11.1,45.0,2.0,1.0
140US01027959000,16.71,12.7,25.0,1.0,2.0
140US01027959100,15.96,13.1,24.0,1.0,1.0
140US01027959200,9.13,14.2,28.0,0.0,0.0
140US01029959500,10.77,11.9,27.0,0.0,0.0
140US01029959600,14.19,11.5,44.0,2.0,0.0
140US01029959700,9.27,11.3,35.0,0.0,0.0
140US01029959800,10.1,10.8,43.0,0.0,0.0
140US01031010100,13.23,10.5,10.0,0.0,0.0
140US01031010200,13.56,10.3,22.0,0.0,0.0
140US01031010300,13.54,6.0,28.0,0.0,1.0
140US01031010400,9.15,11.2,18.0,0.0,0.0
140US01031010500,14.65,8.2,35.0,3.0,1.0
140US01031010600,15.31,8.2,12.0,0.0,0.0
140US01031010700,11.42,7.7,19.0,0.0,0.0
140US01031010800,9.85,4.6,15.0,0.0,0.0
140US01031010900,11.54,6.2,14.0,3.0,6.0
140US01031011000,9.39,5.3,22.0,0.0,0.0
140US01031011100,15.35,4.9,14.0,18.0,14.0
140US01031011201,7.59,3.2,43.0,0.0,1.0
140US01031011202,17.57,3.9,55.0,2.0,0.0
140US01031011300,11.74,5.3,19.0,0.0,1.0
140US01033020100,9.42,10.9,73.0,0.0,0.0
140US01033020200,9.65,10.3,29.0,0.0,2.0
140US01033020300,9.99,12.5,29.0,18.0,27.0
140US01033020400,10.42,7.6,25.0,0.0,0.0
140US01033020500,14.0,9.0,74.0,0.0,0.0
140US01033020600,9.92,9.6,54.0,8.0,1.0
140US01033020701,10.64,7.1,54.0,0.0,3.0
140US01033020703,12.06,,,5.0,0.0
140US01033020704,8.96,,,5.0,20.0
140US01033020801,13.44,8.8,55.0,1.0,0.0
140US01033020802,11.9,12.2,47.0,0.0,0.0
140US01033020901,13.05,,,0.0,0.0
140US01033020902,13.4,,,1.0,0.0
140US01033021000,12.17,12.4,54.0,0.0,0.0
140US01035960200,8.97,19.4,20.0,3.0,1.0
140US01035960300,6.14,13.8,23.0,0.0,2.0
140US01035960400,13.23,19.4,49.0,0.0,0.0
140US01035960500,14.03,14.0,28.0,2.0,0.0
140US01035960600,13.53,17.3,80.0,2.0,0.0
140US01037961000,10.69,13.2,40.0,0.0,0.0
140US01037961100,11.6,10.0,30.0,0.0,0.0
140US01037961200,8.81,8.9,25.0,0.0,0.0
140US01039961600,8.64,10.3,37.0,0.0,0.0
140US01039961700,10.05,13.9,46.0,2.0,0.0
140US01039961800,11.07,10.8,49.0,1.0,0.0
140US01039961900,8.82,8.5,25.0,0.0,0.0
140US01039962000,16.19,9.9,54.0,1.0,0.0
140US01039962100,14.6,8.9,20.0,0.0,1.0
140US01039962300,11.23,9.1,22.0,0.0,0.0
140US01039962400,7.37,9.2,30.0,7.0,4.0
140US01039962500,9.27,9.7,23.0,2.0,1.0
140US01039962600,16.75,12.7,18.0,1.0,0.0
