HEROP_ID,StateArea,TradFedExp,TradSttExp,ExpnFedExp,ExpnSttExp,CrrctExpS,PlcFyrExpS,HlthExpS,WlfrExpS,CrrctExpL,PlcFyrExpL,HlthExpL,WlfrExpL,CrrctExpT,PlcFyrExpT,HlthExpT,WlfrExpT
040US17,1429030796.0,8592722500,8288756400,4403251600.0,1030762100.0,1227459,409153.0,1227459,2454918,2179767.0,7527125.0,2179767.0,4359534.0,3407226,7936278,3407226,6814452
040US50,1775172444.0,737040700,638664500,196733000.0,23709600.0,312243,104081.0,312243,624486,1371.0,186062.0,1371.0,2742.0,313614,290143,313614,627228
040US30,6782457892.0,778706500,369979800,648026400.0,42393800.0,114483,38161.0,114483,228966,137052.0,415817.0,137052.0,274104.0,251535,453978,251535,503070
040US19,1469882899.0,2318971200,1640684800,961083900.0,84262600.0,286545,95515.0,286545,573090,445464.0,988953.0,445464.0,890928.0,732009,1084468,732009,1464018
040US45,1752456144.0,4465172700,1764679000,,,541773,180591.0,541773,1083546,792183.0,1715571.0,792183.0,1584366.0,1333956,1896162,1333956,2667912
040US33,2399265024.0,859950400,858495400,478774900.0,31610000.0,212742,70914.0,212742,425484,240462.0,607695.0,240462.0,480924.0,453204,678609,453204,906408
040US04,19686821200.0,6371629300,2523317200,2653909200.0,220292800.0,754293,251431.0,754293,1508586,1848045.0,3429846.0,1848045.0,3696090.0,2602338,3681277,2602338,5204676
040US11,176787002.2,1634749600,701938800,417278500.0,26229700.0,0,,0,0,,,,,0,0,0,0
040US34,958471006.1,5999339800,5910689800,2985600500.0,184315000.0,1860483,620161.0,1860483,3720966,2118744.0,3980848.0,2118744.0,4237488.0,3979227,4601009,3979227,7958454
040US24,1109326654.0,4436728700,4374220100,2544578800.0,155206200.0,1639605,546535.0,1639605,3279210,1313001.0,3301963.0,1313001.0,2626002.0,2952606,3848498,2952606,5905212
040US23,5294099446.0,1787971900,986758900,,,271104,90368.0,271104,542208,293139.0,387204.0,293139.0,586278.0,564243,477572,564243,1128486
040US15,3359454869.0,890604900,734972600,611344700.0,45177700.0,134631,44877.0,134631,269262,0.0,693798.0,0.0,0.0,134631,738675,134631,269262
040US10,1734973880.0,987366600,761443100,514715800.0,55176500.0,440268,146756.0,440268,880536,0.0,270786.0,0.0,0.0,440268,417542,440268,880536
040US44,568444037.4,1110545900,1044021800,424670000.0,26046300.0,278499,92833.0,278499,556998,0.0,696596.0,0.0,0.0,278499,789429,278499,556998
040US21,871682842.9,5067931400,2045343300,2901052000.0,178014900.0,726039,242013.0,726039,1452078,913584.0,977663.0,913584.0,1827168.0,1639623,1219676,1639623,3279246
040US39,1213045207.0,11343081300,6715231000,3887798400.0,236640500.0,998547,332849.0,998547,1997094,1514334.0,5526212.0,1514334.0,3028668.0,2512881,5859061,2512881,5025762
040US55,2014617098.0,7095802600,4938282500,,,134340,44780.0,134340,268680,1631865.0,2541133.0,1631865.0,3263730.0,1766205,2585913,1766205,3532410
040US41,6967823002.0,4315998200,2268454100,2363583800.0,145836300.0,600183,200061.0,600183,1200366,1629090.0,1966587.0,1629090.0,3258180.0,2229273,2166648,2229273,4458546
040US38,3445244575.0,494032100,474269300,274231400.0,23418800.0,105756,35252.0,105756,211512,364725.0,323969.0,364725.0,729450.0,470481,359221,470481,940962
040US05,1836606158.0,3228811200,1323965200,1739970200.0,107649400.0,317061,105687.0,317061,634122,531165.0,870184.0,531165.0,1062330.0,848226,975871,848226,1696452
040US18,1017717910.0,6101336100,3197243000,3043033400.0,449860700.0,670386,223462.0,670386,1340772,1288020.0,2104036.0,1288020.0,2576040.0,1958406,2327498,1958406,3916812
040US27,2505976540.0,5602849400,5472277900,1708089800.0,100419200.0,1071069,357023.0,1071069,2142138,1649442.0,2112958.0,1649442.0,3298884.0,2720511,2469981,2720511,5441022
040US09,1613697223.0,3270834800,3257617600,1822845100.0,228545700.0,669357,223119.0,669357,1338714,0.0,1582453.0,0.0,0.0,669357,1805572,669357,1338714
