HEROP_ID,StateArea,TradFedExp,TradSttExp,ExpnFedExp,ExpnSttExp,CrrctExpS,PlcFyrExpS,HlthExpS,WlfrExpS,CrrctExpL,PlcFyrExpL,HlthExpL,WlfrExpL,CrrctExpT,PlcFyrExpT,HlthExpT,WlfrExpT
040US28,1506882006.0,4011296400,1284335200,,,407751,135917.0,407751,815502,558639.0,925545.0,558639.0,1117278.0,966390,1061462,966390,1932780
040US37,1285921961.0,8944059000,4257401500,,,1598229,532743.0,1598229,3196458,1675407.0,3722009.0,1675407.0,3350814.0,3273636,4254752,3273636,6547272
040US40,2351000913.0,2944575400,1912258300,,,530334,176778.0,530334,1060668,459852.0,1411278.0,459852.0,919704.0,990186,1588056,990186,1980372
040US51,787902871.4,4637762600,4645842000,,,1221636,407212.0,1221636,2443272,3570756.0,3489010.0,3570756.0,7141512.0,4792392,3896222,4792392,9584784
040US54,1140159488.0,2042181600,745927900,908272700.0,58486100.0,243093,81031.0,243093,486186,157695.0,435074.0,157695.0,315390.0,400788,516105,400788,801576
040US22,1910198658.0,5087538500,2879179700,2527183400.0,154503700.0,728616,242872.0,728616,1457232,1443519.0,2166712.0,1443519.0,2887038.0,2172135,2409584,2172135,4344270
040US26,1816027545.0,8119737900,4415242500,3573748200.0,305218900.0,1420932,473644.0,1420932,2841864,1852605.0,3055552.0,1852605.0,3705210.0,3273537,3529196,3273537,6547074
040US25,1515618384.0,7648074800,7621002500,1896927000.0,241498200.0,2568345,856115.0,2568345,5136690,0.0,3026686.0,0.0,0.0,2568345,3882801,2568345,5136690
040US16,4908907421.0,1414507000,571264800,,,191931,63977.0,191931,383862,428508.0,614081.0,428508.0,857016.0,620439,678058,620439,1240878
040US12,2256248805.0,14473538300,8903420700,,,1819119,606373.0,1819119,3638238,5889987.0,11925508.0,5889987.0,11779974.0,7709106,12531881,7709106,15418212
040US31,2151102405.0,1113354300,1002487900,,,247611,82537.0,247611,495222,428370.0,661579.0,428370.0,856740.0,675981,744116,675981,1351962
040US53,4486028684.0,4610569600,4349828600,2902387900.0,174679300.0,915105,305035.0,915105,1830210,2196606.0,3385247.0,2196606.0,4393212.0,3111711,3690282,3111711,6223422
040US35,9544849063.0,2684197500,1000889800,1344329700.0,78558100.0,375543,125181.0,375543,751086,710391.0,895515.0,710391.0,1420782.0,1085934,1020696,1085934,2171868
040US46,3019857729.0,534232200,361464900,,,134268,44756.0,134268,268536,186960.0,234435.0,186960.0,373920.0,321228,279191,321228,642456
040US48,2709920286.0,21932283600,16431615100,,,3689850,1229950.0,3689850,7379700,7708710.0,10346638.0,7708710.0,15417420.0,11398560,11576588,11398560,22797120
040US06,7063958716.0,36497606700,35151528200,17251390500.0,1043709100.0,5647680,1882560.0,5647680,11295360,18713541.0,25783987.0,18713541.0,37427082.0,24361221,27666547,24361221,48722442
040US01,1999581060.0,4014987200,1583459000,,,501051,167017.0,501051,1002102,642843.0,1609448.0,642843.0,1285686.0,1143894,1776465,1143894,2287788
040US13,960219902.1,7329941100,3338729800,,,1249401,416467.0,1249401,2498802,2491740.0,3493626.0,2491740.0,4983480.0,3741141,3910093,3741141,7482282
040US42,1749164284.0,12987200700,12041942900,4503641400.0,289150600.0,3245916,1081972.0,3245916,6491832,4721220.0,3629833.0,4721220.0,9442440.0,7967136,4711805,7967136,15934272
040US29,1568884482.0,6799087300,3652338300,,,822222,274074.0,822222,1644444,639198.0,2401509.0,639198.0,1278396.0,1461420,2675583,1461420,2922840
040US08,4209023352.0,3812195000,3792747500,1525136400.0,99404300.0,578478,192826.0,578478,1156956,1402407.0,2693737.0,1402407.0,2804814.0,1980885,2886563,1980885,3961770
040US49,7575439943.0,1744439700,736059500,,,450945,150315.0,450945,901890,557298.0,907989.0,557298.0,1114596.0,1008243,1058304,1008243,2016486
040US47,1148820223.0,6529389900,3315781800,,,669087,223029.0,669087,1338174,1315068.0,2526743.0,1315068.0,2630136.0,1984155,2749772,1984155,3968310
040US56,10994820913.0,317569300,285861900,,,118392,39464.0,118392,236784,210957.0,280918.0,210957.0,421914.0,329349,320382,329349,658698
040US36,2044604411.0,39032126500,38173138700,431408500.0,60507400.0,2595894,865298.0,2595894,5191788,10207965.0,13459750.0,10207965.0,20415930.0,12803859,14325048,12803859,25607718
040US20,2028044622.0,1905097100,1565239900,,,323604,107868.0,323604,647208,697572.0,1108566.0,697572.0,1395144.0,1021176,1216434,1021176,2042352
040US02,52177139592.0,1088386100,576420900,398204400.0,14790200.0,349572,116524.0,349572,699144,19371.0,489925.0,19371.0,38742.0,368943,606449,368943,737886
040US32,16830294016.0,1783583900,922486900,1181644500.0,71748600.0,265440,88480.0,265440,530880,1397259.0,1731653.0,1397259.0,2794518.0,1662699,1820133,1662699,3325398
