HEROP_ID,FqhcCtTmDr,FqhcAvTmDr,FqhcTmDrP,HospCtTmDr,HospAvTmDr,HospTmDrP,RxCtTmDr,RxAvTmDr,RxTmDrP,MhCtTmDr,MhAvTmDr,MhTmDrP,SutpCtTmDr,SutpAvTmDr,SutpTmDrP,OtpCtTmDr,OtpAvTmDr,OtpTmDrP,DrgRlDth,OpRxRt20,OdMortRt14,OdMortRt15,OdMortRt16,OdMortRt17,OdMortRt18,OdMortRt19,OdMortRt20,OdMortRtAv
040US13,1834,14.0,0.93,1840,13.98,0.94,1946,5.38,0.99,1760,14.88,0.89,1751,13.89,0.89,1559,21.0,0.79,11084.0,53.9,11.9,12.7,13.3,14.7,14.3,13.1,18.0,13.62
040US15,344,10.6,0.98,309,12.24,0.93,342,12.24,0.97,305,11.84,0.87,345,10.4,0.98,226,28.33,0.65,,27.3,10.9,11.3,12.8,13.8,14.6,15.9,18.3,13.68
040US16,249,17.12,0.84,250,16.72,0.84,262,9.59,0.88,244,15.4,0.82,243,16.25,0.82,88,43.05,0.3,2252.0,49.9,13.7,14.2,15.2,14.4,21.3,15.1,15.9,16.04
040US17,2861,10.48,0.92,2980,9.63,0.95,3090,3.65,0.99,2941,9.33,0.94,3005,7.46,0.96,2550,17.71,0.82,10233.0,40.2,13.1,14.1,18.9,21.6,25.6,21.9,28.1,20.42
040US18,1320,13.69,0.87,1443,11.14,0.96,1503,5.34,0.99,1466,10.17,0.97,1458,9.59,0.96,973,25.56,0.64,10632.0,56.9,18.2,19.5,24.0,29.4,9.6,26.6,36.7,21.82
040US19,542,25.74,0.66,771,12.18,0.93,813,6.33,0.99,676,15.7,0.82,698,14.11,0.85,265,49.93,0.32,3028.0,40.2,8.8,10.3,10.6,11.5,12.4,11.5,14.3,11.26
040US20,607,18.79,0.79,715,10.35,0.93,744,5.59,0.97,659,14.25,0.86,648,14.33,0.84,393,33.75,0.51,3131.0,59.8,11.7,11.8,11.1,11.8,30.9,14.3,17.4,15.98
040US21,1028,12.45,0.92,1016,14.2,0.91,1094,6.7,0.98,1051,12.13,0.94,1067,10.12,0.96,668,28.45,0.6,9931.0,68.2,24.7,29.9,33.5,37.2,25.4,32.5,49.2,31.7
040US22,1062,10.35,0.93,1086,10.37,0.95,1105,5.66,0.96,1017,13.29,0.89,990,14.53,0.86,686,32.94,0.6,7024.0,68.3,16.9,19.0,21.8,24.5,27.9,28.3,42.7,24.3
040US23,289,17.01,0.81,280,23.3,0.79,326,14.38,0.91,296,20.09,0.83,303,18.58,0.85,167,39.97,0.47,2004.0,40.3,16.8,21.2,28.7,34.4,37.2,29.9,39.7,30.28
