HEROP_ID,RxMinDis,RxTmDr,RxCntDr,NoIntP
140US01117030319,0.88,4.93,132,20.61
140US01117980000,2.74,21.9,35,
140US01121010700,2.22,5.38,13,22.12
140US01121011100,11.25,17.59,15,30.49
140US01125010103,8.75,29.52,5,23.39
140US01125010405,0.58,0.0,54,4.0
140US01125011401,0.67,3.06,55,8.73
140US01125011703,1.5,4.5,55,35.59
140US01019955702,10.38,14.01,15,29.59
140US01023956800,1.87,0.0,3,28.3
140US01097006901,0.43,0.0,96,19.05
140US01043965401,3.14,0.0,20,28.2
140US01045020500,1.35,0.0,8,26.18
140US01047956400,0.47,0.0,13,31.16
140US01047957000,17.29,49.04,0,38.24
140US01033020200,0.48,0.0,48,31.3
140US01037961100,14.09,17.76,12,22.5
140US01083020600,1.35,0.0,34,34.23
140US01085780800,5.83,0.0,1,36.66
140US01085781000,12.02,28.41,6,45.82
140US01087231800,1.82,5.52,15,46.36
140US01113030401,1.8,5.9,62,13.18
140US01001020300,1.11,0.0,44,18.31
140US01003010100,15.72,40.4,0,23.94
140US01023956700,12.51,29.55,2,44.57
140US01031011300,1.16,0.0,12,24.94
140US01043964800,1.25,0.0,27,26.1
140US01047956100,6.75,0.0,13,18.7
140US01055001000,0.84,1.77,33,18.3
140US01069040400,0.67,0.0,40,14.4
140US01071950800,0.2,0.0,8,24.91
140US01073010200,0.43,0.0,150,28.08
140US01081040902,0.52,0.0,32,4.61
140US01083020500,0.74,0.0,34,18.86
140US01073011804,0.8,0.0,88,20.39
140US01091973000,2.0,0.0,5,33.12
140US01097000600,0.61,0.0,99,45.62
140US01097001001,0.41,0.0,104,23.83
140US01125012000,0.34,0.0,54,11.67
140US01097001400,0.8,4.04,104,55.83
140US01097003203,0.84,6.88,94,12.55
140US01101001600,0.46,0.0,76,32.37
140US01101005605,0.45,0.0,63,5.84
140US01069041000,0.87,0.0,39,33.8
140US01073012401,0.89,0.0,144,10.42
140US01117030212,0.34,0.0,177,4.21
140US01099075600,23.44,37.04,0,56.97
140US01115040300,10.1,25.69,1,20.29
140US01089001301,0.75,4.11,91,19.44
140US01089002600,0.44,0.0,85,9.03
140US01093964500,11.88,18.5,7,32.2
140US01097001002,0.61,3.5,104,15.74
140US01001020500,0.36,0.0,63,5.44
140US01001021100,5.56,0.0,2,44.56
140US01023956900,5.45,0.0,3,22.13
140US01039962700,2.33,5.5,11,34.72
140US01051030400,4.76,0.0,7,25.71
140US01055001700,1.68,3.55,30,31.87
140US01073000100,1.76,0.0,163,20.55
140US01073003300,0.55,3.78,183,32.39
140US01073012302,4.82,18.24,18,14.25
140US01081040603,2.06,10.35,32,12.83
140US01087232200,13.18,28.48,4,37.13
140US01101005302,1.43,5.27,74,19.07
140US01047956900,11.62,25.56,12,46.1
140US01097001502,1.09,3.59,106,61.11
140US01097003705,0.83,0.0,87,9.07
140US01097007500,1.23,4.54,102,55.97
140US01071950200,2.37,0.0,3,25.23
140US01071950600,6.05,13.74,7,17.83
140US01071950700,6.42,9.74,7,26.48
140US01101000900,3.33,10.18,76,2.46
140US01103005109,0.62,0.0,37,24.03
140US01113031200,18.68,29.4,1,22.48
140US01121010600,1.36,4.04,6,28.49
140US01125011402,0.27,0.0,55,16.29
140US01127021300,1.94,0.0,3,29.86
140US01131034800,1.34,0.0,5,37.29
140US01103001000,0.82,5.96,41,20.86
140US01073003600,1.24,4.84,178,13.71
140US01081041400,0.87,5.6,37,34.02
140US01097006902,1.21,5.01,85,24.08
140US01101001100,1.21,5.41,76,40.29
140US01101001900,0.77,0.0,77,14.53
140US01101002100,0.88,0.0,76,18.02
140US01101002500,1.08,6.12,77,25.99
140US01101003301,0.46,0.0,76,5.82
140US01101005408,2.24,0.0,61,5.71
140US01101005502,3.16,14.45,58,5.73
140US01101005603,1.91,6.61,63,22.82
140US01079979800,5.79,10.22,9,33.83
140US01047956600,0.45,0.0,13,17.51
140US01101005610,3.45,9.26,63,15.43
140US01127021200,6.52,15.39,21,23.73
140US01101005101,4.0,10.85,80,13.37
140US01073001100,2.52,5.91,181,24.85
140US01051030902,3.9,13.54,18,11.05
140US01039962500,1.32,0.0,10,24.91
140US01039962600,2.26,5.19,13,37.59
140US01039963000,20.08,36.49,0,36.28
140US01089001402,0.9,0.0,96,9.18
140US01089011200,3.38,0.0,73,3.62
140US01089000602,0.85,4.5,93,20.36
140US01049961300,4.76,14.22,8,26.84
140US01073012602,2.49,0.0,109,23.13
140US01091973200,9.86,27.88,4,41.89
140US01097000500,1.13,1.62,103,56.03
140US01097004000,1.64,5.05,106,54.36
140US01093964200,11.9,21.76,10,28.46
140US01095030401,2.56,0.0,9,18.51
140US01123962200,4.84,8.46,12,21.99
140US01123962501,5.48,15.14,11,24.13
140US01097004100,1.36,5.18,102,60.58
140US01097004900,0.16,0.0,96,45.3
140US01127020700,3.15,12.94,21,18.19
140US01117030407,2.62,0.0,24,17.67
