HEROP_ID,FIPS,TotPop,TotUnits,Age15_44,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,PovP,UnempP,VacantP,Ovr16P,Ovr18P,Ovr21P,Age15_44P,WhiteE,BlackE,MaleP,FemP,SRatio,SRatio18,SRatio65,HisE,HisP,AmIndE,AsianE,PacIsE,EduHsP,EduNoHsP,SomeCollegeP,ChildrenP
040US24,24,4216975,1549680,2050048,18.91,70.47,9.38,74.91,22.72,1.54,0.19,1.5,0.03,0.66,9.82,5.76,5.73,76.22,72.31,66.64,48.61,3158838,958150,48.44,51.56,93.96,90.27,64.81,64746,1.54,8021,63180,1098,32.5,32.55,14.59,27.69
040US25,25,5737037,2141364,2664011,19.19,66.89,12.66,93.48,3.85,2.46,0.13,0.85,0.01,1.67,9.59,5.05,5.07,77.74,74.02,67.98,46.44,5362836,221279,47.6,52.4,90.84,86.43,59.5,141043,2.46,7743,48785,716,36.41,27.81,15.75,25.98
040US26,26,9262078,3450696,4339993,19.39,70.76,9.85,84.99,12.95,1.75,0.43,0.6,0.01,1.01,10.44,10.95,7.4,74.2,70.29,64.39,46.86,7872241,1199023,48.76,51.24,95.16,91.45,69.35,162440,1.75,40050,55660,1130,38.03,32.01,15.71,29.71
040US27,27,4075970,1530293,1919139,19.46,70.07,11.77,96.56,1.31,0.79,0.86,0.64,0.01,0.62,9.47,5.41,5.56,75.17,71.25,65.19,47.08,3935770,53344,49.01,50.99,96.14,92.81,69.76,32123,0.79,35016,26156,380,38.55,26.95,17.13,28.75
040US28,28,2520638,904523,1122427,19.53,70.74,11.48,64.08,35.2,0.98,0.24,0.28,0.02,0.18,23.93,7.15,8.55,71.78,67.7,61.49,44.53,1615190,887206,48.16,51.84,92.89,88.02,68.85,24731,0.98,6180,6984,428,29.16,45.23,13.32,32.3
040US29,29,4916686,1962576,2200081,18.44,66.95,13.18,88.38,10.46,1.05,0.25,0.44,0.03,0.44,12.16,6.9,8.62,76.01,72.29,66.51,44.75,4345521,514276,48.11,51.89,92.72,88.37,65.72,51653,1.05,12321,21755,1341,36.29,36.48,13.34,27.71
040US30,30,786690,320540,369984,18.89,70.83,10.75,94.08,0.23,1.27,4.74,0.29,0.03,0.63,12.25,8.23,9.94,74.4,70.52,64.79,47.03,740148,1786,49.91,50.09,99.63,97.27,77.99,9974,1.27,37270,2296,207,37.95,25.58,19.0,29.48
040US31,31,1569825,618833,708958,18.85,68.21,13.1,94.94,3.08,1.78,0.59,0.43,0.02,0.95,10.73,3.7,7.66,75.21,71.51,65.59,45.16,1490381,48390,48.79,51.21,95.27,91.84,68.18,28025,1.79,9195,6710,292,40.6,26.6,17.29,28.49
040US32,32,800493,337649,398063,18.44,71.41,8.21,87.49,6.37,6.73,1.66,1.64,0.12,2.71,8.7,5.93,9.87,76.61,73.04,67.71,49.73,700345,50999,50.6,49.4,102.43,101.59,85.33,53879,6.73,13308,13161,1003,40.41,24.52,20.64,26.96
040US33,33,920610,349172,435824,18.62,69.86,11.18,98.86,0.43,0.6,0.15,0.31,0.01,0.24,8.45,4.8,7.36,75.65,71.97,66.0,47.34,910099,3990,48.71,51.29,94.98,91.29,64.97,5587,0.61,1352,2839,90,37.16,27.75,16.88,28.03
040US34,34,7364823,2690377,3303209,17.45,66.27,11.67,83.2,12.56,6.68,0.11,1.4,0.01,2.72,9.53,6.67,5.27,76.74,72.97,67.78,44.85,6127467,925066,47.97,52.03,92.2,88.06,65.55,491883,6.68,8394,102890,958,35.86,32.6,13.2,27.03
040US35,35,1302894,493489,619319,19.78,73.51,8.9,75.03,1.84,36.63,8.14,0.49,0.03,14.45,17.61,7.1,10.54,72.05,67.92,61.87,47.53,977587,24020,49.29,50.71,97.19,94.31,77.34,477222,36.63,106119,6465,360,34.14,31.14,17.13,32.08
040US36,36,17544043,6706199,7935424,17.76,66.45,12.31,79.5,13.69,9.46,0.23,1.76,0.02,4.81,13.42,7.14,5.45,76.98,73.3,67.88,45.23,13960868,2402006,47.5,52.5,90.46,85.94,63.71,1659300,9.45,39582,307891,2635,34.06,33.73,14.27,26.7
040US37,37,5881766,2224196,2792216,19.48,70.15,10.26,75.78,22.42,0.96,1.1,0.33,0.03,0.33,14.78,5.48,8.13,75.52,71.82,65.56,47.47,4457507,1318857,48.55,51.45,94.35,90.69,64.39,56667,0.96,64652,19596,1580,27.83,45.16,13.77,28.18
040US38,38,652717,252749,301173,20.43,69.86,12.32,95.84,0.39,0.6,3.09,0.29,0.01,0.38,12.64,5.34,9.92,74.51,70.74,64.23,46.14,625557,2568,50.32,49.68,101.28,99.57,78.92,3902,0.6,20158,1900,79,31.3,33.61,20.27,29.26
040US39,39,10797630,4078064,4935797,18.64,68.82,10.83,88.89,9.97,1.11,0.11,0.43,0.01,0.59,10.3,7.97,5.99,75.08,71.34,65.67,45.71,9597458,1076748,48.32,51.68,93.49,89.29,65.36,119883,1.11,12239,46703,1117,40.49,33.03,12.83,28.66
