HEROP_ID,FIPS,TotTracts,AreaSqMi,StateArea,TotPop,Age15_44,Age15_24P,Und45P,Ovr65P,AgeOv18,TotPopHh,NonRelFhhP,NonRelNfhhP,DisbP,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,DsmBlk,IntrBlkWht,IsoBlk,DsmHsp,IntrHspWht,IsoHsp,DsmAs,IntrAsWht,IsoAs,TotVetPop,VetP,AlcTot,AlcDens,AlcPerCap,TotUnits,VacantP,MobileP,LngTermP,RentalP,UnitDens,Ndvi,PovP,UnempP,MedInc,PciE,ForDqP,ForDqTot,GiniCoeff,TotWrkE,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,MedcdExp,TradFedExp,TradSttExp,ExpnFedExp,ExpnSttExp,CrrctExpS,PlcFyrExpS,HlthExpS,WlfrExpS,CrrctExpL,PlcFyrExpL,HlthExpL,WlfrExpL,CrrctExpT,PlcFyrExpT,HlthExpT,WlfrExpT,OdMortRt,HcvD,MlHcvD,FlHcvD,U50HcvD,A50_74HcvD,O75HcvD,AmInHcvD,AsHcvD,NhPiHcvD,BlkHcvD,WhtHcvD,MulHcvD,HspHcvD,MdMarijLaw,AnyNalxDt,NalxPrStDt,NalxPresDt,AnyNalxFr,NalxPrStFr,NalxPresFr,AnyPdmpFr,AnyPdmphFr,OpPdmpFr,MsAcPdmpFr,ElcPdmpFr,AnyPdmpDt,AnyPdmphDt,OpPdmpDt,MsAcPdmpDt,ElcPdmpDt,MaleP,FemP,Ovr16P,Ovr18P,Ovr21P,SRatio,SRatio18,SRatio65,WhiteE,AsianE,PacIsE,HisE,AmIndE,TwoRaceE,OtherE,SomeCollegeP,EduNoHsP,EduHsP,BachelorsP,GradSclP,ChildrenP,Ovr16,Ovr18,Ovr21,Ovr65,Age15_44P
040US13,13,1969,57715.08,960219902.1,10297484,4232187,13.98,61.21,13.13,7796189,10037150,2.57,21.87,12.3,59.04,31.46,9.4,0.33,3.91,0.06,5.21,0.3,0.56,0.34,0.31,0.6,0.1,0.43,0.58,0.03,636725,8.22,999,0.02,0,4241003,12.53,9.04,21.2,36.92,73.48,0.17,16.0,6.4,28283,29523,12.97,110.09,0.48,4721065,9.28,19.23,11.55,11.71,2108005,44.65,10668670800,7329941100,3338729800,,,1249401,416467,1249401,2498802,2491740,3493626,2491740,4983480,3741141,3910093,3741141,7482282,14.3,326,233,93,-1,294,10,0,-1,0,120,196,-1,-1,0,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5/13/2011,7/1/2011,5/1/2013,,7/1/2011,48.67,51.33,78.49,75.71,64.58,94.83,91.88,76.73,6079976,402501,6095,968463,33484,252448,283680,16.96,13.32,27.85,18.9,11.75,76,8082220,7796189,6649889,1352289,41.1
040US15,15,331,6422.39,3359454869.0,1422029,557572,12.27,57.43,17.3,1115528,1377998,4.36,24.77,11.2,25.01,1.85,10.4,0.21,37.75,10.08,25.11,0.34,0.29,0.03,0.22,0.27,0.11,0.33,0.22,0.36,105563,9.82,104,0.02,0,539053,15.26,0.2,32.17,41.69,83.93,0.12,9.9,4.5,34016,34035,5.53,41.27,0.44,677446,9.09,12.73,11.42,11.53,313938,46.34,2282099900,890604900,734972600,611344700,45177700,134631,44877,134631,269262,0,693798,0,0,134631,738675,134631,269262,14.6,49,38,11,-1,29,-1,0,-1,-1,-1,25,-1,-1,1,7/1/2016,7/1/2016,7/1/2018,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1/1/1943,1/1/1990,2/1/2012,7/1/2018,6/18/1996,50.19,49.81,80.69,78.45,68.73,100.78,99.59,82.49,355612,536842,143274,147962,2987,341756,15292,17.96,8.16,27.69,21.45,11.02,78,1147445,1115528,977308,245955,39.21
040US16,16,298,82644.71,4908907421.0,1687809,663428,13.87,60.9,15.04,1248633,1657779,2.66,23.03,13.3,90.49,0.68,12.39,1.35,1.41,0.16,5.91,0.37,0.74,0.01,0.17,0.81,0.14,0.29,0.67,0.01,115045,9.24,120,0.0,0,711731,13.12,8.33,18.47,30.73,8.61,0.25,13.8,4.7,26198,26772,6.28,62.24,0.45,768701,8.98,23.21,13.48,11.99,368213,47.9,1985771800,1414507000,571264800,,,191931,63977,191931,383862,428508,614081,428508,857016,620439,678058,620439,1240878,21.3,108,79,29,-1,87,-1,-1,0,0,0,92,-1,-1,0,7/1/2015,,7/1/2015,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1/1/1967,1/1/1990,4/1/2008,,4/4/2000,50.1,49.9,76.94,73.98,63.84,100.39,99.05,89.54,1527262,23758,2761,209073,22790,46592,53110,21.7,9.43,27.71,18.24,8.69,74,1298537,1248633,1077453,253801,39.31
040US17,17,3123,55513.73,1429030796.0,12821497,5154249,13.44,59.05,14.78,9894936,12523597,2.43,20.26,10.9,71.67,14.23,16.96,0.25,5.39,0.04,8.43,0.48,0.78,0.12,0.36,0.82,0.08,0.46,0.85,0.03,595185,6.03,1288,0.02,0,5347268,9.67,2.46,26.47,33.97,96.32,0.19,13.1,6.6,31597,34463,11.71,78.12,0.48,6225964,9.32,19.13,13.59,10.76,2746439,44.11,22315492600,8592722500,8288756400,4403251600,1030762100,1227459,409153,1227459,2454918,2179767,7527125,2179767,4359534,3407226,7936278,3407226,6814452,25.6,279,199,80,-1,239,-1,0,-1,0,81,165,-1,25,1,1/1/2010,1/1/2010,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1/1/1961,1/1/1990,12/1/2009,1/1/2018,4/1/2000,49.1,50.9,79.82,77.17,66.38,96.48,94.07,76.56,9189185,690822,4582,2174842,31864,318413,762506,17.24,11.11,26.12,20.75,13.31,77,10234674,9894936,8511386,1894903,40.2
040US18,18,1511,35825.99,1017717910.0,6637426,2614698,14.1,59.0,15.01,5063133,6449747,2.78,20.83,13.8,83.59,9.33,6.78,0.22,2.18,0.04,4.62,0.51,0.85,0.07,0.36,0.86,0.08,0.5,0.86,0.03,390220,7.71,913,0.03,0,2870670,11.04,4.85,24.92,31.05,80.13,0.27,14.1,5.4,28562,28461,14.76,95.37,0.45,3164414,9.11,27.0,13.81,11.09,1598278,50.51,12791473100,6101336100,3197243000,3043033400,449860700,670386,223462,670386,1340772,1288020,2104036,1288020,2576040,1958406,2327498,1958406,3916812,9.6,259,193,66,-1,222,-1,-1,-1,0,44,205,-1,-1,0,5/1/2015,5/1/2015,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,12/31/1987,1/1/1990,7/1/2007,11/1/2014,1/1/1994,49.28,50.72,79.0,76.28,65.26,97.17,94.65,78.0,5548277,144991,2818,450267,14925,162295,144648,16.86,11.42,33.55,16.53,9.38,76,5243518,5063133,4331384,996063,39.39
040US19,19,825,55853.77,1469882899.0,3132499,1208062,14.16,57.96,16.39,2402467,3032415,2.64,21.51,11.6,90.28,3.51,5.85,0.37,2.4,0.1,3.35,0.45,0.86,0.03,0.31,0.88,0.07,0.45,0.83,0.02,188867,7.87,172,0.0,0,1386722,9.37,3.73,24.69,28.86,24.83,0.19,11.7,3.9,30824,31085,7.86,39.23,0.44,1609481,10.02,25.91,14.38,11.69,767333,47.68,5005002500,2318971200,1640684800,961083900,84262600,286545,95515,286545,573090,445464,988953,445464,890928,732009,1084468,732009,1464018,12.4,98,73,25,-1,78,-1,-1,-1,0,13,80,0,-1,0,6/1/2016,6/1/2016,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5/31/2006,5/1/2006,3/1/2009,,5/31/2006,49.62,50.38,79.31,76.69,65.7,98.51,96.58,79.5,2827889,75083,3129,183296,11549,65770,39168,17.26,8.01,31.14,19.02,9.19,77,2484354,2402467,2057989,513312,38.57
040US20,20,770,81758.82,2028044622.0,2908776,1151317,14.36,60.08,15.05,2193231,2828708,2.5,20.39,13.0,84.59,5.84,11.71,0.83,2.87,0.07,5.8,0.27,0.77,0.03,0.19,0.82,0.12,0.33,0.72,0.01,181453,8.34,659,0.01,0,1266378,11.2,4.42,22.38,33.68,15.49,0.19,12.4,4.4,30095,30757,8.33,41.11,0.46,1428660,10.69,22.97,14.01,10.72,658949,46.12,3470336900,1905097100,1565239900,,,323604,107868,323604,647208,697572,1108566,697572,1395144,1021176,1216434,1021176,2042352,30.9,130,102,28,-1,116,-1,-1,-1,0,25,84,-1,-1,0,7/1/2017,7/1/2017,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,7/1/2008,7/1/2008,4/1/2011,,7/1/2008,49.83,50.17,78.13,75.4,64.71,99.32,97.55,80.34,2460619,83531,2143,340616,24050,101044,67588,19.22,9.27,26.01,20.82,12.07,75,2272565,2193231,1882194,437777,39.58
040US21,21,1115,39490.15,871682842.9,4440204,1726143,13.45,57.77,15.57,3428185,4309065,2.75,20.0,17.4,87.08,7.98,3.58,0.22,1.41,0.06,3.24,0.41,0.87,0.07,0.36,0.87,0.04,0.46,0.8,0.01,273675,8.02,602,0.02,0,1974406,12.45,12.0,25.59,33.03,50.0,0.2,17.9,6.1,25702,26948,10.88,53.37,0.48,1959442,9.52,23.58,14.23,11.93,991654,50.61,10192341600,5067931400,2045343300,2901052000,178014900,726039,242013,726039,1452078,913584,977663,913584,1827168,1639623,1219676,1639623,3279246,25.4,319,228,91,58,239,-1,0,0,0,47,267,0,-1,0,7/1/2013,7/1/2013,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7/15/1998,7/1/1998,7/1/1999,7/20/2012,7/15/1998,49.25,50.75,79.79,77.21,66.17,97.04,94.56,78.67,3866676,62802,2814,158744,9888,99826,44086,17.53,14.3,33.02,13.85,9.78,77,3542792,3428185,2938043,691509,38.88
040US22,22,1148,43203.7,1910198658.0,4663616,1876915,13.53,60.08,14.51,3555142,4534221,2.56,19.99,15.0,62.21,32.23,5.04,0.56,1.71,0.03,3.26,0.42,0.49,0.45,0.37,0.6,0.06,0.53,0.58,0.02,250497,7.08,277,0.01,0,2045554,15.13,13.12,26.13,34.73,47.35,0.16,19.4,6.9,25737,27027,10.84,50.2,0.49,2031115,9.26,20.89,14.33,11.58,1011686,49.81,10648405300,5087538500,2879179700,2527183400,154503700,728616,242872,728616,1457232,1443519,2166712,1443519,2887038,2172135,2409584,2172135,4344270,27.9,352,261,91,14,299,-1,0,-1,0,164,179,0,-1,1,9/1/2015,9/1/2015,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7/1/2006,7/1/2006,1/1/2009,8/1/2014,7/1/2006,48.89,51.11,78.87,76.23,65.65,95.65,93.19,77.71,2901106,79872,1468,234920,26272,91563,60419,17.52,15.19,33.97,15.55,8.19,76,3677980,3555142,3061584,676707,40.25
040US23,23,358,30844.57,5294099446.0,1332813,465663,11.79,50.53,19.45,1078152,1296802,3.42,22.32,15.9,94.48,1.34,1.61,0.62,1.12,0.02,2.41,0.48,0.91,0.03,0.34,0.92,0.03,0.48,0.92,0.02,107091,9.95,55,0.0,0,739077,24.64,8.3,30.39,27.8,23.96,0.22,12.5,4.6,28070,31253,9.54,49.56,0.45,665188,10.58,19.07,17.16,13.21,312792,47.02,2774730800,1787971900,986758900,,,271104,90368,271104,542208,293139,387204,293139,586278,564243,477572,564243,1128486,37.2,34,28,-9,-1,15,-1,-1,0,0,-1,30,0,0,1,5/1/2014,11/1/2015,7/1/2017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6/23/2003,1/1/2004,1/1/2005,1/1/2017,9/13/2003,48.94,51.06,83.23,80.89,69.6,95.85,93.45,82.87,1259217,14917,318,21421,8302,29208,2970,15.77,7.69,31.82,19.65,11.27,81,1109357,1078152,927686,259176,34.94
040US24,24,1406,9710.85,1109326654.0,6003435,2368200,12.89,58.02,14.58,4659258,5862883,2.97,22.1,10.9,56.19,29.78,9.81,0.26,6.23,0.05,7.48,0.42,0.57,0.3,0.37,0.63,0.11,0.4,0.66,0.06,372462,8.04,1095,0.11,0,2437740,10.06,1.42,26.36,33.23,251.03,0.19,9.4,5.6,38749,40517,8.94,85.45,0.45,3051333,9.93,12.35,13.87,9.55,1190162,39.0,11510733800,4436728700,4374220100,2544578800,155206200,1639605,546535,1639605,3279210,1313001,3301963,1313001,2626002,2952606,3848498,2952606,5905212,32.8,352,259,93,16,292,-1,0,-1,0,194,142,-1,-1,1,10/1/2013,10/1/2015,,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,5/10/2011,10/1/2011,12/1/2013,7/1/2018,10/1/2011,48.48,51.52,80.11,77.61,66.38,94.09,91.26,75.96,3373181,374277,3059,588912,15644,199369,249815,15.29,9.96,24.83,21.33,18.3,78,4809210,4659258,3985361,875337,39.45
040US25,25,1478,7801.21,1515618384.0,6830193,2750218,13.94,56.8,15.79,5450296,6579553,2.69,24.56,11.6,78.48,7.48,11.55,0.21,6.48,0.03,7.32,0.49,0.64,0.14,0.43,0.66,0.18,0.42,0.74,0.08,315859,5.8,1430,0.18,0,2882739,9.74,0.82,29.79,37.7,369.52,0.12,10.8,5.4,35972,41794,9.57,68.72,0.48,3570257,11.7,15.56,16.51,10.32,1410862,39.52,17407502400,7648074800,7621002500,1896927000,241498200,2568345,856115,2568345,5136690,0,3026686,0,0,2568345,3882801,2568345,5136690,26.6,211,159,52,-1,170,-1,-1,-1,0,26,143,0,31,1,9/1/2012,7/1/2014,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1/1/1992,12/1/1992,1/1/2011,12/5/2014,1/1/1994,48.52,51.48,82.28,79.8,67.97,94.25,91.54,75.71,5360006,442574,2329,789127,14493,215493,284740,13.06,9.57,24.23,23.77,19.14,80,5619991,5450296,4642523,1078224,40.27
