HEROP_ID,FIPS,PcpPer100k,TotSp,TotPcp,SpPer100k
050US51037,51037,8.27,0.0,1.0,0.0
050US51051,51051,20.05,3.0,3.0,20.05
050US51053,51053,49.46,15.0,14.0,52.99
050US51069,51069,11.74,24.0,10.0,28.18
050US51073,51073,80.73,45.0,30.0,121.09
050US51085,51085,95.74,164.0,100.0,157.01
050US51099,51099,11.59,3.0,3.0,11.59
050US51125,51125,67.51,1.0,10.0,6.75
050US51131,51131,58.54,16.0,7.0,133.81
050US51137,51137,70.2,2.0,25.0,5.62
050US51145,51145,80.49,14.0,23.0,49.0
050US51149,51149,47.5,7.0,18.0,18.47
050US51161,51161,105.79,171.0,99.0,182.73
050US51177,51177,45.66,84.0,60.0,63.92
050US51185,51185,90.3,53.0,38.0,125.95
050US51199,51199,97.65,116.0,66.0,171.63
050US53005,53005,68.5,236.0,133.0,121.54
050US53007,53007,118.8,144.0,90.0,190.08
050US53009,53009,87.26,78.0,65.0,104.72
050US53015,53015,70.4,107.0,74.0,101.8
050US53025,53025,55.87,33.0,53.0,34.79
050US53031,53031,106.95,24.0,33.0,77.78
050US53037,53037,62.47,16.0,28.0,35.69
050US53043,53043,38.33,2.0,4.0,19.17
050US12077,12077,0.0,0.0,0.0,0.0
050US72054,72054,,,,
050US72113,72113,,,,
050US72115,72115,,,,
050US72141,72141,,,,
050US72147,72147,,,,
050US78010,78010,,,,
050US78020,78020,,,,
050US05061,5061,44.81,2.0,6.0,14.94
050US05093,5093,39.69,13.0,17.0,30.35
050US05095,5095,82.77,0.0,6.0,0.0
050US05099,5099,23.7,0.0,2.0,0.0
050US05103,5103,66.37,4.0,16.0,16.59
050US05109,5109,27.76,0.0,3.0,0.0
050US05117,5117,12.13,0.0,1.0,0.0
050US05133,5133,52.35,1.0,9.0,5.82
050US05147,5147,75.08,0.0,5.0,0.0
050US06045,6045,104.09,94.0,91.0,107.52
050US06051,6051,42.33,15.0,6.0,105.83
050US24011,24011,42.59,1.0,14.0,3.04
050US24033,24033,56.94,778.0,516.0,85.85
050US24043,24043,67.42,185.0,101.0,123.49
050US25007,25007,92.42,13.0,16.0,75.09
050US25017,25017,93.03,2823.0,1484.0,176.97
050US26041,26041,80.13,27.0,29.0,74.61
050US26099,26099,75.63,902.0,657.0,103.83
050US26103,26103,119.51,143.0,80.0,213.63
050US26135,26135,0.0,0.0,0.0,0.0
050US26147,26147,55.15,158.0,88.0,99.02
050US26163,26163,81.75,2444.0,1440.0,138.75
050US27023,27023,74.94,3.0,9.0,24.98
050US27053,27053,111.29,2743.0,1375.0,222.02
050US27077,27077,52.51,0.0,2.0,0.0
050US27091,27091,90.16,21.0,18.0,105.19
050US27129,27129,61.14,1.0,9.0,6.79
050US27139,27139,47.43,54.0,68.0,37.66
050US27163,27163,78.95,217.0,200.0,85.66
050US28007,28007,48.44,3.0,9.0,16.15
050US28033,28033,31.23,129.0,55.0,73.24
050US28055,28055,0.0,2.0,0.0,150.6
050US28075,28075,100.88,158.0,78.0,204.34
050US28143,28143,39.33,0.0,4.0,0.0
050US28157,28157,44.49,4.0,4.0,44.49
050US28163,28163,21.45,5.0,6.0,17.87
050US29023,29023,121.69,64.0,52.0,149.77
050US29029,29029,57.65,47.0,26.0,104.22
050US29031,29031,91.93,212.0,72.0,270.67
050US29033,29033,45.23,4.0,4.0,45.23
050US17075,17075,42.6,24.0,12.0,85.2
050US17129,17129,32.34,1.0,4.0,8.09
050US17161,17161,66.08,161.0,96.0,110.82
050US17175,17175,36.36,0.0,2.0,0.0
050US17185,17185,69.13,5.0,8.0,43.2
050US18009,18009,32.98,1.0,4.0,8.24
050US18035,18035,80.44,145.0,93.0,125.42
050US18067,18067,61.9,104.0,51.0,126.23
050US18083,18083,85.54,53.0,32.0,141.68
050US18159,18159,65.71,10.0,10.0,65.71
050US18175,18175,32.34,12.0,9.0,43.12
050US49025,49025,13.61,1.0,1.0,13.61
050US05003,5003,48.69,4.0,10.0,19.48
050US05007,5007,48.65,161.0,126.0,62.17
050US05013,5013,38.45,0.0,2.0,0.0
050US05045,5045,46.56,83.0,57.0,67.8
050US13051,13051,82.56,486.0,237.0,169.31
050US13077,13077,38.43,83.0,54.0,59.07
050US13123,13123,56.81,10.0,17.0,33.42
050US13133,13133,88.36,21.0,15.0,123.7
050US13137,13137,47.42,10.0,21.0,22.58
050US13139,13139,62.26,252.0,122.0,128.6
050US13143,13143,41.44,10.0,12.0,34.54
050US13157,13157,30.42,8.0,20.0,12.17
050US13171,13171,43.21,1.0,8.0,5.4
050US13181,13181,12.82,1.0,1.0,12.82
050US13185,13185,52.36,125.0,60.0,109.09
050US13195,13195,24.22,0.0,7.0,0.0
050US13213,13213,27.81,2.0,11.0,5.06
050US13217,13217,29.11,36.0,31.0,33.8
050US13237,13237,27.9,5.0,6.0,23.25
050US13245,13245,121.61,694.0,245.0,344.48
050US13251,13251,14.3,4.0,2.0,28.59
050US13269,13269,0.0,0.0,0.0,0.0
050US13279,13279,70.25,36.0,19.0,133.1
050US23023,23023,62.36,16.0,22.0,45.36
050US23031,23031,74.35,198.0,151.0,97.49
050US24001,24001,65.3,120.0,47.0,166.72
050US24005,24005,99.44,1540.0,823.0,186.07
050US24017,24017,55.81,107.0,88.0,67.86
050US24021,24021,55.54,268.0,138.0,107.86
050US24031,24031,120.08,2811.0,1249.0,270.25
050US24045,24045,67.53,189.0,69.0,184.98
050US28149,28149,63.73,44.0,30.0,93.47
050US28151,28151,57.34,45.0,27.0,95.57
050US29041,29041,13.25,0.0,1.0,0.0
050US29069,29069,59.16,15.0,18.0,49.3
050US29087,29087,44.88,0.0,2.0,0.0
050US29113,29113,21.6,8.0,12.0,14.4
050US29159,29159,49.56,35.0,21.0,82.6
050US29183,29183,53.08,342.0,207.0,87.7
050US29195,29195,69.26,7.0,16.0,30.3
050US29197,29197,22.21,0.0,1.0,0.0
050US29201,29201,61.97,42.0,24.0,108.45
050US30001,30001,74.52,4.0,7.0,42.58
050US30013,30013,74.62,151.0,61.0,184.72
050US30027,30027,106.45,10.0,12.0,88.71
