HEROP_ID,FIPS,TotPop,TotUnits,Age15_44,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,PovP,UnempP,VacantP,Ovr16P,Ovr18P,Ovr21P,Age15_44P,WhiteE,BlackE,MaleP,FemP,SRatio,SRatio18,SRatio65,HisE,HisP,AmIndE,AsianE,PacIsE,EduHsP,EduNoHsP,BachelorsP,GradSclP,SomeCollegeP,ChildrenP,Ovr16,Ovr18,Ovr21,Ovr65
040US22,22,4219973,1716241,1966168,15.55,71.13,11.11,67.28,30.79,2.21,0.44,0.95,0.02,0.52,23.58,9.65,12.64,73.95,70.92,65.94,46.59,2839138,1299281,48.14,51.86,92.82,88.59,65.5,93044,2.2,18541,40173,22840,31.66,31.69,10.53,5.6,20.52,29.08,3120500,2992704,2782694,468991
040US23,23,1227928,587045,572547,14.17,67.7,13.3,98.41,0.42,0.56,0.49,0.53,0.02,0.14,10.8,6.65,20.74,77.6,74.84,70.26,46.63,1208360,5138,48.69,51.31,94.89,91.56,66.38,6829,0.56,5998,6450,1982,37.09,21.17,12.67,6.1,22.97,25.16,952915,918926,862694,163373
040US24,24,4779455,1891917,2356418,14.23,69.95,10.82,70.98,24.89,2.62,0.27,2.89,0.03,0.94,8.27,4.3,7.55,78.16,75.69,71.33,49.3,3393964,1189899,48.49,51.51,94.15,91.05,65.82,125102,2.62,12972,138148,46485,28.13,21.58,15.59,10.87,23.83,24.31,3737021,3619227,3410816,517482
040US25,25,6010522,2472711,2940847,15.36,67.85,13.61,89.84,4.99,4.78,0.2,2.37,0.02,2.58,8.93,6.71,9.12,79.93,77.51,72.49,48.92,5405374,300130,48.01,51.99,92.36,88.95,61.59,287549,4.78,12241,142137,156543,29.74,20.01,16.59,10.65,23.02,22.49,4808646,4663350,4361222,819284
040US26,26,9295297,3847926,4382823,15.08,69.33,11.92,83.44,13.9,2.17,0.6,1.11,0.01,0.94,13.12,8.24,11.14,76.42,73.55,68.71,47.15,7756086,1291706,48.55,51.45,94.36,90.85,67.56,201596,2.17,55638,103501,88366,32.3,23.22,10.92,6.43,27.12,26.45,7103749,6836532,6386566,1108461
040US27,27,4375099,1848445,2059482,14.03,69.84,12.5,94.41,2.17,1.23,1.14,1.76,0.02,0.5,10.22,5.14,10.85,75.91,73.33,68.92,47.07,4130395,94944,49.03,50.97,96.2,93.18,68.11,53884,1.23,49909,76952,22899,32.96,17.64,15.57,6.25,27.57,26.67,3321048,3208316,3015507,546934
040US28,28,2573216,1010423,1169103,16.3,69.55,12.49,63.48,35.56,0.62,0.33,0.49,0.01,0.12,25.21,8.43,9.8,74.27,70.98,65.47,45.43,1633461,915057,47.82,52.18,91.66,86.92,64.46,15931,0.62,8525,12679,3494,27.53,35.72,9.69,5.06,22.01,29.02,1911058,1826455,1684608,321284
040US29,29,5117073,2199129,2310255,14.14,66.81,14.03,87.67,10.71,1.21,0.39,0.77,0.04,0.42,13.34,6.16,10.82,76.98,74.31,69.72,45.15,4486228,548208,48.16,51.84,92.9,88.97,64.61,61702,1.21,19835,39271,23531,33.14,26.08,11.66,6.14,22.98,25.69,3939246,3802247,3567879,717681
040US30,30,799065,368081,354408,13.09,67.82,13.33,92.75,0.3,1.52,5.97,0.5,0.04,0.45,16.06,6.95,15.3,75.06,72.2,68.11,44.35,741111,2381,49.53,50.47,98.13,95.26,76.19,12174,1.52,47679,3958,3936,33.49,19.0,14.1,5.69,27.72,27.8,599749,576961,544258,106497
040US31,31,1578385,660621,707529,14.03,67.85,14.13,93.8,3.64,2.34,0.79,0.76,0.03,0.99,11.14,3.65,8.82,75.55,72.82,68.35,44.83,1480558,57404,48.75,51.25,95.12,91.51,66.8,36969,2.34,12410,11945,16068,34.71,18.18,13.07,5.87,28.16,27.18,1192460,1149373,1078878,223068
040US32,32,1201833,518858,576398,13.49,69.08,10.62,84.26,6.55,10.35,1.64,2.93,0.24,4.38,10.16,6.19,10.13,77.71,75.29,71.31,47.96,1012695,78771,50.91,49.09,103.72,103.14,84.81,124419,10.35,19637,35232,55498,31.53,21.23,10.09,5.19,31.96,24.71,933940,904885,857022,127631
040US33,33,1109252,503904,546881,14.37,70.66,11.27,98.03,0.65,1.02,0.19,0.82,0.02,0.28,6.42,6.22,18.4,77.39,74.87,70.15,49.3,1087433,7198,49.0,51.0,96.08,93.38,66.49,11333,1.02,2134,9121,3366,31.69,17.85,16.43,7.94,26.09,25.13,858426,830497,778098,125029
040US34,34,7720603,3075310,3625380,13.87,66.45,13.34,79.29,13.42,9.58,0.19,3.51,0.02,3.57,7.58,5.75,9.12,79.27,76.72,72.5,46.95,6130465,1036825,48.33,51.67,93.52,90.31,65.64,739861,9.57,14970,270839,277089,31.1,23.33,16.01,8.85,20.72,23.28,6127770,5930726,5604647,1032025
040US35,35,1515069,632058,704462,14.52,71.48,10.76,75.64,2.0,38.23,8.87,0.88,0.05,12.56,20.61,8.02,14.14,73.51,70.51,66.01,46.5,1146028,30210,49.19,50.81,96.81,93.92,76.27,579224,38.23,134355,13363,191113,28.72,24.93,12.14,8.28,25.94,29.49,1113748,1068328,1000160,163062
040US36,36,17990113,7226891,8501722,14.67,67.12,13.14,74.4,15.89,12.31,0.35,3.83,0.02,5.5,13.03,6.89,8.13,78.88,76.32,71.66,47.26,13385255,2859055,47.95,52.05,92.11,88.49,63.55,2214026,12.31,62651,689303,994191,29.49,25.19,13.21,9.92,22.18,23.68,14190306,13730906,12891840,2363722
040US37,37,6628637,2818193,3203272,15.87,68.47,12.13,75.56,21.97,1.16,1.21,0.75,0.03,0.48,12.97,4.79,10.69,78.51,75.77,70.51,48.32,5008491,1456323,48.49,51.51,94.14,91.08,63.94,76726,1.16,80155,49970,33698,28.98,30.04,11.99,5.38,23.6,24.23,5204287,5022488,4674142,804341
040US38,38,638800,276340,288576,14.8,68.45,14.25,94.57,0.55,0.73,4.06,0.52,0.02,0.28,14.38,5.3,12.83,75.31,72.54,67.73,45.17,604142,3524,49.81,50.19,99.25,96.98,74.15,4665,0.73,25917,3317,1900,28.05,23.31,13.53,4.54,30.58,27.46,481078,463415,432665,91055
040US39,39,10847115,4371945,5000099,14.65,67.73,12.97,87.78,10.65,1.29,0.19,0.83,0.01,0.54,12.54,6.6,6.51,76.98,74.19,69.47,46.1,9521756,1154826,48.18,51.82,92.98,89.09,65.25,139696,1.29,20358,89723,60452,36.33,24.33,11.09,5.88,22.36,25.81,8349706,8047371,7535950,1406961
040US40,40,3145585,1406499,1417419,14.49,67.39,13.49,82.13,7.43,2.74,8.02,1.02,0.05,1.34,16.71,6.87,14.24,76.22,73.39,68.68,45.06,2583512,233801,48.67,51.33,94.8,91.18,67.03,86160,2.74,252420,32002,43850,30.46,25.41,11.83,5.96,26.34,26.61,2397696,2308578,2160463,424213
040US41,41,2842321,1193567,1305492,13.34,67.48,13.77,92.77,1.62,3.97,1.35,2.26,0.18,1.81,12.42,6.2,7.56,77.12,74.52,70.33,45.93,2636787,46178,49.15,50.85,96.67,93.87,72.89,112707,3.97,38496,64232,56628,28.93,18.52,13.62,6.98,31.96,25.48,2192119,2118191,1998864,391324
040US42,42,11881643,4938140,5338388,14.15,64.63,15.39,88.54,9.17,1.95,0.12,1.14,0.01,1.01,11.13,5.96,8.95,79.05,76.48,71.84,44.93,10520201,1089795,47.92,52.08,92.03,88.29,64.67,232262,1.95,14733,135784,121130,38.55,25.33,11.31,6.63,18.17,23.52,9392357,9086833,8535617,1829106
