"HEROP_ID","FIPS","OtpCtTmDr","OtpAvTmDr","OtpTmDrP","OdMortRt"
"050US38051","38051",0,145.37,0,8.6
"050US38053","38053",,,,22.8
"050US38055","38055",0,61.93,0,14.5
"050US38057","38057",0,92.93,0,10.7
"050US38059","38059",3,26.72,0.6,13.1
"050US38061","38061",0,88.17,0,19.8
"050US38063","38063",,,,10.8
"050US38065","38065",0,52.9,0,11
"050US38067","38067",,,,11.8
"050US38069","38069",0,92.85,0,12
"050US38071","38071",,,,12.3
"050US38073","38073",0,87.2,0,11.1
"050US38075","38075",0,75.26,0,11.2
"050US38077","38077",0,65.24,0,12.8
"050US38079","38079",,,,16.6
"050US38081","38081",0,107.03,0,8.8
"050US38083","38083",0,111.24,0,9.9
"050US38085","38085",0,73.6,0,24.2
"050US38087","38087",,,,12
"050US38089","38089",,,,17.5
"050US38091","38091",0,104.12,0,11.4
"050US38093","38093",,,,8.8
"050US38095","38095",,,,14.4
"050US38097","38097",0,64.27,0,12.5
"050US38099","38099",,,,10.7
"050US38101","38101",11,16.59,0.85,12.6
"050US38103","38103",,,,8.3
"050US38105","38105",,,,18.7
"050US39001","39001",0,44.47,0,67.9
"050US39003","39003",32,12.52,0.97,30.1
"050US39005","39005",3,33.37,0.27,25.5
"050US39007","39007",21,18.23,0.81,47
"050US39009","39009",14,13.6,0.93,33.3
"050US39011","39011",5,29.89,0.45,17.5
"050US39013","39013",12,31.73,0.6,36.5
"050US39015","39015",6,22.8,0.67,73.9
"050US39017","39017",72,11.7,0.9,65.9
"050US39019","39019",0,45.04,0,27.4
"050US39021","39021",7,30.02,0.7,39.8
"050US39023","39023",44,11.12,1,64.7
"050US39025","39025",39,15.73,0.98,62.4
"050US39027","39027",9,14.43,1,64.7
"050US39029","39029",5,36.36,0.21,47.6
"050US39031","39031",0,52.27,0,26.3
"050US39033","39033",10,30.52,0.77,44.2
"050US39035","39035",440,12.52,0.98,48.9
"050US39037","39037",2,36.53,0.17,43.2
"050US39039","39039",0,56.67,0,26
"050US39041","39041",34,17.65,0.97,19.2
"050US39043","39043",18,13.61,0.95,43
"050US39045","39045",21,21.92,0.75,31.9
"050US39047","39047",0,38.18,0,54.5
"050US39049","39049",284,8.57,1,51.5
"050US39051","39051",3,35.44,0.33,25.4
"050US39053","39053",0,44.58,0,65.2
"050US39055","39055",14,26.89,0.67,25.6
"050US39057","39057",35,13.26,1,43.2
"050US39059","39059",1,40.13,0.1,39.7
"050US39061","39061",222,9.17,1,57.6
"050US39063","39063",0,48.74,0,33.3
"050US39065","39065",0,43.74,0,42
"050US39067","39067",0,53.11,0,27.5
"050US39069","39069",0,45.55,0,23.6
"050US39071","39071",0,43.18,0,51
"050US39073","39073",2,34.32,0.29,43.5
"050US39075","39075",0,54.73,0,10.9
"050US39077","39077",5,36.15,0.38,45.7
"050US39079","39079",6,14.22,0.86,59.6
"050US39081","39081",17,24.25,0.74,56.6
"050US39083","39083",0,45,0,30.1
"050US39085","39085",58,15.28,0.98,45.6
"050US39087","39087",14,15.21,0.88,62.8
"050US39089","39089",31,15.26,0.97,35.4
"050US39091","39091",0,50.2,0,34.7
"050US39093","39093",72,13.89,0.97,46.1
"050US39095","39095",128,7.92,1,53.5
"050US39097","39097",8,28.86,0.67,39.9
"050US39099","39099",66,11.28,0.94,55.7
"050US39101","39101",18,7.2,1,54.8
"050US39103","39103",15,30.42,0.41,25.6
"050US39105","39105",0,43.6,0,52.5
"050US39107","39107",0,52.58,0,16.5
"050US39109","39109",21,14.13,1,39
"050US39111","39111",0,80.7,0,25.8
"050US39113","39113",153,8.67,1,81.5
"050US39115","39115",0,50.44,0,26.9
"050US39117","39117",2,31.75,0.33,38.9
"050US39119","39119",19,13.15,1,36.2
"050US39121","39121",0,55.34,0,26.2
"050US39123","39123",6,33.81,0.46,32.1
"050US39125","39125",0,59.15,0,16.5
"050US39127","39127",1,38.08,0.17,36.2
"050US39129","39129",8,30.3,0.62,41.5
"050US39131","39131",3,33.18,0.5,64.2
"050US39133","39133",32,18.56,0.91,30.1
"050US39135","39135",8,28.59,0.67,54.6
"050US39137","39137",1,39.5,0.14,14.2
"050US39139","39139",29,13.35,0.97,51.9
"050US39141","39141",16,13.92,0.94,69.3
"050US39143","39143",1,40.34,0.07,36.3
"050US39145","39145",18,16.44,0.9,93
"050US39147","39147",0,58.58,0,31.4
"050US39149","39149",7,23.95,0.7,37.4
"050US39151","39151",84,12.54,0.98,33.9
"050US39153","39153",135,10.69,1,47.6
"050US39155","39155",53,11.34,0.96,68
"050US39157","39157",2,40.18,0.1,24.5
"050US39159","39159",1,34.61,0.1,25.9
"050US39161","39161",0,44.32,0,26.1
"050US39163","39163",0,33.92,0,62.9
"050US39165","39165",32,12.6,0.97,35.6
"050US39167","39167",6,37.31,0.38,32.1
"050US39169","39169",12,34.31,0.38,26.7
"050US39171","39171",0,63.62,0,22.6
"050US39173","39173",19,24.89,0.68,22.3
"050US39175","39175",3,36.38,0.5,24.7
"050US40001","40001",0,67.85,0,34.4
"050US40003","40003",0,104.99,0,21.4
"050US40005","40005",0,48.03,0,34.9
"050US40007","40007",,,,17
"050US40009","40009",,,,36.1
"050US40011","40011",0,84.31,0,31.1
"050US40013","40013",9,25.37,0.82,37.8
"050US40015","40015",0,63.04,0,42.4
"050US40017","40017",21,22.36,0.72,22.3
"050US40019","40019",9,17.47,0.82,50.1
"050US40021","40021",0,70.32,0,42.8
"050US40023","40023",0,78.88,0,39
"050US40025","40025",,,,22.4
"050US40027","40027",55,20.41,0.89,28.5
"050US40029","40029",0,60.66,0,48
"050US40031","40031",29,12.71,0.91,27.4
"050US40033","40033",1,42.31,0.5,34
"050US40035","40035",1,41.36,0.2,35.4
"050US40037","40037",9,34.97,0.43,45.1
"050US40039","40039",,,,21.6
"050US40041","40041",0,55.33,0,32.3
"050US40043","40043",,,,19
"050US40045","40045",,,,19.6
"050US40047","40047",0,81.31,0,24.3
"050US40049","40049",0,62.77,0,48.5
"050US40051","40051",1,48.7,0.1,37.1
"050US40053","40053",0,63.56,0,18.5
"050US40055","40055",0,107.24,0,34.6
"050US40057","40057",,,,28.9
"050US40059","40059",,,,15.8
"050US40061","40061",0,75.27,0,36.8
"050US40063","40063",0,59.76,0,30.3
"050US40065","40065",0,78,0,28.6
"050US40067","40067",0,51.75,0,49.6
"050US40069","40069",0,50.73,0,59
"050US40071","40071",8,13.25,0.73,27.1
"050US40073","40073",0,65.63,0,20.5
"050US40075","40075",0,91.05,0,33.5
"050US40077","40077",0,66.97,0,41.7
"050US40079","40079",2,55.78,0.17,42.8
"050US40081","40081",0,52.69,0,34.7
"050US40083","40083",3,34.05,0.38,21.7
"050US40085","40085",2,31.1,0.67,42.6
"050US40087","40087",2,42.53,0.33,32.9
"050US40089","40089",0,115.15,0,39.8
"050US40091","40091",0,55.72,0,48.3
"050US40093","40093",,,,19
"050US40095","40095",0,40.22,0,28.3
"050US40097","40097",0,54.33,0,44.4
"050US40099","40099",0,41.63,0,50.5
"050US40101","40101",0,47.41,0,48.5
"050US40103","40103",1,45.81,0.25,29.5
"050US40105","40105",0,40.89,0,26.9
"050US40107","40107",0,74.61,0,36.6
"050US40109","40109",236,9.65,0.98,37.7
"050US40111","40111",0,52.27,0,41.4
"050US40113","40113",4,31.1,0.36,32.7
"050US40115","40115",9,11.43,1,36.5
"050US40117","40117",0,44.81,0,53.8
"050US40119","40119",0,57,0,20.1
"050US40121","40121",9,23.97,0.69,44.9
"050US40123","40123",0,80.83,0,42.3
"050US40125","40125",0,47.56,0,40.9
"050US40127","40127",0,90.83,0,46
"050US40129","40129",,,,17
"050US40131","40131",13,31.72,0.46,25.2
"050US40133","40133",0,74.06,0,45.9
"050US40135","40135",5,26.27,0.56,50.7
"050US40137","40137",0,45.29,0,39.3
"050US40139","40139",,,,23
"050US40141","40141",0,64.2,0,31.2
"050US40143","40143",175,10.95,1,41.7
"050US40145","40145",16,20.36,0.73,39.1
"050US40147","40147",13,11.39,1,32.2
"050US40149","40149",0,121.94,0,35.1
"050US40151","40151",,,,24.1
"050US40153","40153",,,,23.4
"050US41001","41001",,,,30.1
"050US41003","41003",0,52.68,0,14.5
"050US41005","41005",67,19.15,0.84,21.1
"050US41007","41007",4,34.73,0.33,37.2
"050US41009","41009",2,39.35,0.2,27
"050US41011","41011",10,22.08,0.71,26.3
"050US41013","41013",0,62.29,0,21.9
"050US41015","41015",0,129.46,0,40.5
"050US41017","41017",17,19.97,0.71,19.1
"050US41019","41019",13,28.35,0.57,28.2
"050US41021","41021",0,120.42,0,15.1
"050US41023","41023",,,,20.8
"050US41025","41025",,,,23.5
"050US41027","41027",0,80.7,0,15
"050US41029","41029",34,17.05,0.83,33.7
"050US41031","41031",0,68.44,0,14.2
"050US41033","41033",12,19.19,0.75,34.2
"050US41035","41035",,,,29.5
"050US41037","41037",,,,31.5
"050US41039","41039",70,19.15,0.8,34.7
"050US41041","41041",0,113.1,0,36.3
"050US41043","41043",0,44.93,0,26
"050US41045","41045",,,,18.8
"050US41047","41047",55,13.32,0.95,22.6
"050US41049","41049",0,78.56,0,13.6
"050US41051","41051",171,8.91,1,40.1
"050US41053","41053",11,23.68,0.92,17.5
"050US41055","41055",0,149.6,0,20.2
"050US41057","41057",0,80.28,0,32.9
"050US41059","41059",6,33.35,0.4,19.4
"050US41061","41061",0,74.46,0,27.3
"050US41063","41063",,,,15.1
"050US41065","41065",,,,21.7
"050US41067","41067",91,18.35,0.88,17
"050US41069","41069",0,161.8,0,17.7
"050US41071","41071",4,40.22,0.24,21.6
"050US42001","42001",15,26.96,0.65,25.6
"050US42003","42003",395,12.05,0.98,59.3
"050US42005","42005",10,29.83,0.53,55.4
"050US42007","42007",50,12.65,0.98,51.5
"050US42009","42009",0,45.67,0,39.3
"050US42011","42011",89,12.19,0.99,34.1
"050US42013","42013",34,13.48,1,42.2
"050US42015","42015",3,46.99,0.21,27.9
"050US42017","42017",142,10.62,0.99,46.4
"050US42019","42019",39,16.38,0.89,43.2
"050US42021","42021",33,21.86,0.79,72.1
"050US42023","42023",0,87.28,0,25.6
"050US42025","42025",3,35.87,0.25,53.9
"050US42027","42027",26,18.83,0.84,15.6
"050US42029","42029",115,16.21,0.99,31.1
"050US42031","42031",0,72.2,0,26.7
"050US42033","42033",10,26.34,0.5,33.7
"050US42035","42035",1,42.38,0.11,25.9
"050US42037","42037",1,37.68,0.07,31.8
"050US42039","42039",17,23.77,0.74,42.9
"050US42041","42041",39,18.76,0.8,26.8
"050US42043","42043",58,16.53,0.89,37.2
"050US42045","42045",144,8.56,1,56.1
"050US42047","42047",0,59.26,0,35.6
"050US42049","42049",66,13.53,0.92,39.8
"050US42051","42051",34,18.13,0.94,61.1
"050US42053","42053",0,77.15,0,29.1
"050US42055","42055",8,35.45,0.3,24.7
"050US42057","42057",0,59.11,0,39.7
"050US42059","42059",5,31.03,0.56,53.1
"050US42061","42061",2,48.2,0.17,27.1
"050US42063","42063",15,24.65,0.65,49.2
"050US42065","42065",0,50.53,0,34.3
"050US42067","42067",0,64.65,0,18.7
"050US42069","42069",59,12.36,1,51.7
"050US42071","42071",92,13.74,0.94,29.5
"050US42073","42073",28,14.61,1,58.7
"050US42075","42075",31,14.32,1,22.6
"050US42077","42077",75,12.38,0.99,39
"050US42079","42079",99,13.32,0.95,56.1
"050US42081","42081",26,14.68,0.9,29.8
"050US42083","42083",6,24.1,0.5,30.4
