HEROP_ID,FIPS,TtlJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,TtlJlAdm,TtlJlPrt
050US12079,12079,47.0,1216.0,,411.74,10652.65,
050US12127,12127,1324.0,21314.0,,378.78,6097.71,
050US12099,12099,2166.0,24666.0,,239.24,2724.4,
050US12113,12113,650.0,6922.0,,500.6,5331.01,
050US12125,12125,25.0,480.0,,245.07,4705.42,
050US12093,12093,,,,,,
050US08083,8083,86.0,2380.0,,555.45,15371.7,
050US42033,42033,,,,,,
050US42125,42125,,,,,,
050US42031,42031,,,,,,
050US42097,42097,,,,,,
050US42061,42061,,,,,,
050US55099,55099,20.0,451.0,,244.35,5510.08,
050US55121,55121,32.0,966.0,,173.99,5252.28,
050US55075,55075,128.0,1584.0,,511.47,6329.42,
050US55001,55001,34.0,1036.0,,277.76,8463.36,
050US30051,30051,,,,,,
050US30005,30005,,,,,,
050US30077,30077,,,,,,
050US30057,30057,,,,,,
050US30003,30003,,,,,,
050US30073,30073,,,,,,
050US30045,30045,,,,,,
050US30009,30009,,,,,,
050US30085,30085,,,,,,
050US30069,30069,,,,,,
050US49035,49035,1906.0,27551.0,,238.13,3442.09,
050US49011,49011,,,,,,
050US01097,1097,1483.0,17897.0,,568.09,6855.77,
050US49025,49025,,,,,,
050US01033,1033,,,,,,
050US01041,1041,,,,,,
050US01065,1065,,,,,,
050US01109,1109,81.0,958.0,,358.93,4245.14,
050US36011,36011,132.0,1367.0,,280.2,2901.72,
050US36025,36025,85.0,568.0,,313.25,2093.24,
050US36115,36115,59.0,1034.0,,152.95,2680.49,
050US48029,48029,2781.0,47117.0,,201.75,3418.07,
050US48423,48423,814.0,7847.0,,535.38,5161.11,
050US48201,48201,7779.0,78306.0,,242.84,2444.54,
050US48471,48471,189.0,3260.0,,325.02,5606.09,
050US48257,48257,404.0,4286.0,,356.42,3781.18,
050US48223,48223,200.0,1658.0,,857.08,7105.21,
050US48321,48321,134.0,1790.0,,613.5,8195.22,
050US48473,48473,138.0,2043.0,,323.65,4791.5,
050US48215,48215,1502.0,17000.0,,268.03,3033.58,
050US48323,48323,134.0,3962.0,,369.58,10927.55,
050US48187,48187,455.0,3958.0,,379.19,3298.5,
050US48343,48343,26.0,190.0,,364.66,2664.8,
050US48389,48389,57.0,975.0,,660.64,11300.42,
050US48071,48071,175.0,2098.0,,522.22,6260.63,
050US48351,48351,13.0,371.0,,178.35,5089.86,
050US48057,48057,76.0,1911.0,,626.39,15750.43,
050US48455,48455,14.0,84.0,,173.98,1043.87,
050US40017,40017,142.0,4310.0,,128.52,3900.84,
050US40135,40135,127.0,5675.0,,517.23,23112.32,
050US40117,40117,22.0,1191.0,,230.34,12469.9,
050US40101,40101,,,,,,
050US40127,40127,,,,,,
050US40075,40075,28.0,722.0,,563.15,14521.32,
050US41023,41023,,,,,,
050US41061,41061,,,,,,
050US41007,41007,,,,,,
050US41003,41003,,,,,,
050US41015,41015,,,,,,
050US01131,1131,,,,,,
050US01079,1079,,,,,,
050US01035,1035,,,,,,
050US05067,5067,,,,,,
050US05001,5001,,,,,,
050US05011,5011,,,,,,
050US05025,5025,,,,,,
050US05099,5099,,,,,,
050US48273,48273,108.0,2686.0,,531.47,13217.85,
050US48179,48179,58.0,1809.0,,439.46,13706.62,
050US48195,48195,,81.0,,,2551.18,
050US48379,48379,29.0,387.0,,386.36,5155.88,
050US48277,48277,129.0,2474.0,,419.44,8044.22,
050US45063,45063,,,,,,
050US45051,45051,,,,,,
050US45013,45013,168.0,4065.0,,149.99,3629.21,
050US45045,45045,1458.0,17525.0,,413.0,4964.21,
050US45069,45069,,,,,,
050US45021,45021,373.0,2686.0,,1041.29,7498.39,
050US45007,45007,,,,,,
050US45087,45087,92.0,198.0,,560.05,1205.33,
050US45027,45027,,,,,,
050US45061,45061,429.0,3817.0,,568.16,5055.16,
050US45039,45039,,,,,,
050US45017,45017,,,,,,
050US45043,45043,,,,,,
050US21181,21181,395.5,3038.0,,1292.86,9931.03,
050US22103,22103,766.0,7790.0,,448.69,4563.03,
050US47037,47037,2128.0,20503.0,,430.97,4152.3,
050US47045,47045,233.0,3360.0,,1023.82,14764.04,
050US47129,47129,72.0,1157.0,,518.17,8326.74,
050US46023,46023,,,,,,
050US47163,47163,927.0,8431.0,,923.95,8403.27,
050US47055,47055,101.0,1940.0,,533.52,10247.74,
050US47107,47107,282.0,2000.0,,825.58,5855.14,
050US47031,47031,354.0,3068.0,,943.17,8174.14,
050US46055,46055,,,,,,
050US47173,47173,74.0,1800.0,,567.48,13803.68,
050US47189,47189,485.0,6183.0,,470.7,6000.7,
050US46079,46079,,,,,,
050US20151,20151,,,,,,
050US47097,47097,72.0,1356.0,,445.13,8383.31,
050US47079,47079,255.0,2831.0,,1311.66,14562.01,
050US56039,56039,14.0,964.0,,87.96,6056.8,
050US56029,56029,,,,,,
050US54043,54043,554.0,4132.0,,379.73,2832.23,
050US54001,54001,401.0,2877.0,,487.33,3496.38,
050US54037,54037,457.0,4346.0,,339.56,3229.21,
050US54049,54049,1559.0,9516.0,487.0,683.39,4171.32,213.48
050US54109,54109,540.0,5362.0,,362.54,3599.91,
050US54005,54005,548.0,3626.0,40.0,981.27,6492.86,71.63
050US16005,16005,,,,,,
050US04001,4001,,,,,,
050US12045,12045,43.0,858.0,,447.03,8919.85,
050US12123,12123,96.0,1185.0,,742.12,9160.48,
050US29201,29201,,,,,,
050US29069,29069,,,,,,
050US29129,29129,,,,,,
050US29031,29031,231.0,6735.0,,428.95,12506.27,
050US25027,25027,694.0,2054.0,,121.32,359.07,
050US26163,26163,1245.0,10069.0,,110.77,895.86,
050US26021,26021,,,,,,
050US26077,26077,,,,,,
050US26033,26033,,,,,,
050US26071,26071,,,,,,
050US37055,37055,69.0,1310.0,,295.76,5615.09,
050US48443,48443,8.0,27.0,,2259.89,7627.12,
050US48205,48205,,,,,,
050US72113,72113,,,,,,
050US72097,72097,,,,,,
050US72037,72037,,,,,,
050US60030,60030,,,,,,
050US04013,4013,6947.0,84309.0,,232.87,2826.11,
050US15001,15001,,,,,,
050US27167,27167,,,,,,
050US27133,27133,,,,,,
050US27119,27119,,,,,,
050US27069,27069,,,,,,
050US27125,27125,,,,,,
050US27023,27023,,,,,,
050US26097,26097,,,,,,
050US38067,38067,,,,,,
050US48405,48405,26.0,422.0,,581.79,9442.83,
050US48119,48119,11.0,250.0,,343.32,7802.75,
050US22019,22019,968.0,7173.0,,756.63,5606.75,
050US22005,22005,497.0,3359.0,,582.94,3939.85,
050US22071,22071,1206.0,7784.0,,490.47,3165.67,
050US22113,22113,135.0,1130.0,,377.8,3162.34,
050US22043,22043,,,,,,
050US38005,38005,,,,,,
050US38097,38097,,,,,,
050US38095,38095,,,,,,
050US38037,38037,,,,,,
050US28093,28093,,,,,,
050US28001,28001,,,,,,
050US28121,28121,,,,,,
050US28143,28143,28.0,1085.0,,471.54,18272.15,
050US28095,28095,,,,,,
050US28039,28039,,,,,,
050US28087,28087,,,,,,
050US28163,28163,,,,,,
050US28053,28053,,,,,,
050US16061,16061,,,,,,
050US16079,16079,,,,,,
050US16077,16077,,,,,,
050US02020,2020,,,,,,
050US25011,25011,168.0,1753.0,,382.91,3995.44,
050US51121,51121,932.17,15669.0,165.0,510.9,8587.73,90.43
050US51075,51075,1265.03,9369.0,,505.9,3746.75,
050US51093,51093,987.98,4834.0,,1047.58,5125.6,
050US51137,51137,792.81,4628.0,,903.87,5276.3,
050US51023,51023,95.03,1032.0,,398.55,4328.13,
050US51009,51009,1668.29,16929.0,,887.19,9002.78,
050US51007,51007,375.57,2052.0,45.25,647.55,3537.99,78.02
050US51097,51097,260.16,2598.0,,1229.72,12280.2,
050US51081,51081,277.38,1615.0,,2473.52,14401.64,
050US02066,2066,,,,,,
050US02240,2240,,,,,,
050US02195,2195,,,,,,
050US02275,2275,,,,,,
050US02164,2164,,,,,,
050US02110,2110,,,,,,
050US02282,2282,,,,,,
050US32011,32011,,,,,,
050US29197,29197,,,,,,
050US48301,48301,,,,,,
050US48155,48155,,,,,,
050US31015,31015,,,,,,
050US78010,78010,,,,,,
050US78020,78020,,,,,,
050US23021,23021,,,,,,
050US16025,16025,,,,,,
050US08107,8107,14.0,919.0,,83.1,5454.65,
050US08097,8097,14.0,230.0,,127.94,2101.8,
050US08117,8117,23.0,1495.0,,105.37,6849.32,
050US08053,8053,,,,,,
050US08023,8023,,190.0,,,9245.74,
050US08065,8065,,,,,,
050US08057,8057,6.0,4.0,,777.2,518.13,
050US13073,13073,377.0,4468.0,,358.48,4248.56,
050US13205,13205,117.0,2556.0,,876.54,19148.94,
050US34007,34007,864.0,7042.0,,253.81,2068.69,
050US34027,34027,,,,,,
050US34017,34017,,,,,,
050US34001,34001,,,,,,
050US34025,34025,,,,,,
050US34011,34011,,,,,,
050US34019,34019,,,,,,
050US35045,35045,,,,,,
050US35017,35017,,,,,,
050US35007,35007,,,,,,
050US35051,35051,,,,,,
050US35055,35055,,,,,,
050US01089,1089,,,,,,
050US01117,1117,,,,,,
050US01121,1121,,,,,,
050US01073,1073,1454.0,35959.0,,340.04,8409.63,
050US53027,53027,,,,,,
050US53049,53049,,,,,,
050US01055,1055,,,,,,
050US53011,53011,,,,,,
050US53073,53073,,,,,,
050US51107,51107,255.47,4552.0,,87.29,1555.36,
050US13319,13319,2.0,780.0,,37.74,14716.98,
050US13021,13021,841.0,4884.0,,850.05,4936.57,
050US13143,13143,132.0,1843.0,,655.05,9145.95,
050US13151,13151,821.0,9936.0,,487.24,5896.77,
050US13215,13215,1027.0,8978.0,,786.09,6872.01,
050US13113,13113,358.0,5127.0,,469.66,6726.05,
050US13025,13025,120.0,1613.0,,1037.7,13948.46,
050US13301,13301,,,,,,
050US13123,13123,78.0,1890.0,,413.97,10030.78,
050US13183,13183,,,,,,
050US13277,13277,191.0,6261.0,,728.42,23877.81,
050US13291,13291,60.0,744.0,,423.37,5249.79,
050US13263,13263,20.0,102.0,,583.26,2974.63,
050US13265,13265,,,,,,
050US37069,37069,172.0,2540.0,,354.9,5241.0,
050US37123,37123,74.0,1641.0,,468.3,10384.76,
050US37199,37199,36.0,758.0,,325.56,6854.77,
050US37155,37155,431.0,6540.0,,587.47,8914.33,
050US37167,37167,117.0,1659.0,,288.69,4093.47,
050US37161,37161,150.0,3620.0,,375.57,9063.82,
050US37065,37065,136.0,3060.0,,466.82,10503.55,
050US37041,37041,35.0,612.0,,432.95,7570.51,
050US37149,37149,44.0,1122.0,,398.15,10152.93,
050US37113,37113,75.0,1514.0,,350.71,7079.73,
050US37007,37007,57.0,69.0,,402.6,487.36,
050US37023,37023,116.0,4320.0,,207.52,7728.5,
050US37121,37121,,,,,,
050US19075,19075,,,,,,
050US19149,19149,,,,,,
050US19117,19117,,,,,,
050US19025,19025,,,,,,
050US19111,19111,,,,,,
050US18117,18117,65.0,1267.0,,543.43,10592.76,
050US19163,19163,,,,,,
050US19131,19131,,,,,,
050US18125,18125,52.0,600.0,,703.75,8120.18,
050US18027,18027,171.0,1033.0,,858.39,5185.48,
050US18123,18123,84.0,914.0,,685.15,7455.14,
050US20043,20043,,,,,,
050US20145,20145,,,,,,
050US21209,21209,115.0,3018.0,,290.37,7620.25,
050US21107,21107,339.0,3313.0,,1216.36,11887.33,
050US21017,21017,395.5,3038.0,,1292.86,9931.03,
050US21079,21079,,,,,,
050US21049,21049,235.0,3474.0,,1001.62,14806.92,
050US21051,21051,246.0,3152.0,,1841.32,23592.81,
050US20119,20119,,,,,,
050US21239,21239,101.0,1316.0,,607.19,7911.51,
050US20071,20071,,,,,,
050US21005,21005,,,,,,
050US21165,21165,,,,,,
050US17163,17163,341.0,7890.0,,211.99,4904.92,
050US17089,17089,,,,,,
050US17167,17167,,,,,,
050US17017,17017,,,,,,
050US17161,17161,,,,,,
050US17177,17177,,,,,,
050US17109,17109,38.0,1761.0,,213.2,9879.94,
050US17129,17129,4.0,255.0,,53.35,3401.36,
050US17125,17125,,,,,,
050US39093,39093,,,,,,
050US39061,39061,1138.0,18827.0,,213.99,3540.31,
050US39007,39007,,,,,,
050US39167,39167,,,,,,
050US39123,39123,,,,,,
050US39079,39079,,,,,,
050US06037,6037,12473.0,84130.0,,188.41,1270.8,
050US06087,6087,275.0,9955.0,,156.91,5680.04,
050US06039,6039,434.0,4720.0,,428.08,4655.66,
050US06019,6019,2652.0,24552.0,,406.29,3761.39,
050US06097,6097,642.0,11744.0,,210.92,3858.33,
050US06099,6099,1400.0,15951.0,,393.82,4487.02,
050US06107,6107,1264.0,6509.0,,413.71,2130.41,
050US06013,6013,876.0,15758.0,,116.33,2092.55,
050US06047,6047,412.0,4730.0,,218.89,2512.98,
050US36047,36047,6200.0,21691.0,,111.96,391.7,
050US36005,36005,6200.0,21691.0,,111.96,391.7,
050US06105,6105,53.0,623.0,,607.17,7137.13,
050US36119,36119,602.0,2646.0,,94.02,413.24,
050US36071,36071,352.0,2235.0,,134.32,852.85,
050US06025,6025,,,,,,
050US51019,51019,1668.29,16929.0,,887.19,9002.78,
050US01001,1001,143.0,2584.0,,370.59,6696.56,
050US53009,53009,,,,,,
050US53071,53071,,,,,,
050US51089,51089,262.43,2023.0,,880.79,6789.73,
050US53007,53007,,,,,,
050US53025,53025,,,,,,
050US53057,53057,,,,,,
050US53037,53037,,,,,,
050US01107,1107,64.0,1073.0,,527.49,8843.65,
050US53043,53043,12.0,877.0,,182.12,13310.06,
050US33015,33015,,,,,,
050US33007,33007,,,,,,
050US32031,32031,1113.0,14808.0,,342.55,4557.51,
050US31071,31071,,,,,,
050US31155,31155,,,,,,
050US31089,31089,,,,,,
050US31183,31183,,,,,,
050US24039,24039,61.0,516.0,,367.25,3106.56,
050US24037,24037,208.0,1161.0,,272.75,1522.4,
050US21111,21111,1179.0,14544.0,,236.92,2922.58,
050US22051,22051,1081.0,5520.0,,404.62,2066.12,
050US51159,51159,760.39,6659.0,,3309.64,28983.68,
050US51133,51133,760.39,6659.0,,3309.64,28983.68,
050US51057,51057,260.16,2598.0,,1229.72,12280.2,
050US21135,21135,298.0,2775.0,,898.16,8363.72,
050US22031,22031,102.0,1632.0,,615.76,9852.1,
050US22029,22029,,,,,,
050US22111,22111,,,,,,
050US21007,21007,104.0,764.0,,2208.07,16220.81,
050US51103,51103,22.54,325.0,,420.37,6061.17,
050US21133,21133,61.0,1363.0,,476.45,10645.94,
050US23003,23003,,,,,,
050US21121,21121,356.0,2825.0,,1894.42,15032.99,
050US21167,21167,,,,,,
050US21179,21179,136.0,3870.0,,449.39,12787.89,
050US21125,21125,638.0,6000.0,,1580.85,14866.94,
050US21097,21097,395.5,3038.0,,1292.86,9931.03,
050US21029,21029,275.0,4149.0,,501.66,7568.68,
050US51143,51143,75.17,1162.0,,205.58,3177.99,
050US21217,21217,193.0,3230.0,,1168.28,19552.06,
050US51099,51099,2276.16,17873.0,,932.39,7321.4,
050US21159,21159,315.5,4784.0,,599.55,9091.08,
050US21123,21123,108.0,1498.0,,1115.36,15470.41,
050US22109,22109,659.0,2245.0,,988.2,3366.47,
050US24001,24001,205.0,1629.0,,473.63,3763.6,
050US24003,24003,537.0,3869.0,,138.4,997.19,
050US24029,24029,40.0,273.0,,347.55,2372.06,
050US24013,24013,187.0,1581.0,,166.16,1404.78,
050US25009,25009,1013.0,3835.0,,194.31,735.61,
050US25013,25013,1012.0,6102.0,,338.34,2040.07,
050US24047,24047,123.0,1186.0,,398.48,3842.29,
050US25025,25025,1215.0,8184.0,,216.76,1460.05,
050US37127,37127,137.0,4651.0,,228.08,7743.15,
050US37099,37099,65.0,2334.0,,229.61,8244.73,
050US37115,37115,73.0,1194.0,,533.94,8733.18,
050US37079,37079,53.0,1121.0,,392.1,8293.26,
050US37147,37147,354.0,9452.0,,301.03,8037.76,
050US42101,42101,4653.0,16132.0,,439.37,1523.29,
050US42049,42049,,,,,,
050US42091,42091,939.0,7722.0,,169.85,1396.77,
050US42079,42079,,,,,,
050US42095,42095,,,,,,
050US42043,42043,1012.0,4042.0,,551.91,2204.36,
050US42071,42071,744.0,4179.0,,217.82,1223.46,
050US42013,42013,,,,,,
050US42035,42035,,,,,,
050US42055,42055,,,,,,
050US42067,42067,,,,,,
050US44007,44007,,,,,,
050US42051,42051,,,,,,
050US44009,44009,,,,,,
050US55061,55061,21.0,390.0,,166.76,3096.96,
050US55011,55011,20.0,439.0,,247.77,5438.55,
050US48213,48213,439.0,3426.0,,866.7,6763.8,
050US48037,48037,1005.0,13996.0,,1729.18,24081.21,
050US48331,48331,116.0,1198.0,,749.16,7737.02,
050US48315,48315,37.0,442.0,,664.27,7935.37,
050US48081,48081,,,,,,
050US48475,48475,46.0,1292.0,,669.87,18814.62,
050US48163,48163,331.0,,,2765.48,,
050US48313,48313,36.0,1037.0,,397.22,11442.13,
050US48083,48083,31.0,130.0,,689.2,2890.17,
050US48289,48289,47.0,379.0,,509.93,4111.97,
050US48005,48005,206.0,2794.0,,378.5,5133.58,
050US40143,40143,1305.0,17662.0,,300.27,4063.83,
050US40089,40089,,,,,,
050US40113,40113,,,,,,
050US40087,40087,65.0,2577.0,,223.18,8848.37,
050US40141,40141,,,,,,
050US40095,40095,18.0,2504.0,,191.27,26607.16,
050US40077,40077,,,,,,
050US40055,40055,,,,,,
050US40151,40151,,,,,,
050US41047,41047,,,,,,
050US41057,41057,,,,,,
050US41065,41065,122.75,4203.0,,364.96,12496.28,
050US41043,41043,,,,,,
050US41021,41021,122.75,4203.0,,364.96,12496.28,
050US41063,41063,,,,,,
050US41017,41017,,,,,,
050US01119,1119,,,,,,
050US05039,5039,,,,,,
050US05013,5013,,,,,,
050US05081,5081,,,,,,
050US05029,5029,,,,,,
050US16087,16087,28.0,887.0,,444.09,14068.2,
050US05003,5003,,,,,,
050US05103,5103,,,,,,
050US05019,5019,,,,,,
050US05073,5073,,,,,,
050US05063,5063,,,,,,
050US05147,5147,,,,,,
050US05093,5093,,,,,,
050US06003,6003,,,,,,
050US05091,5091,,,,,,
050US05095,5095,19.0,285.0,,509.11,7636.66,
050US05017,5017,,,,,,
050US16081,16081,,,,,,
050US48477,48477,109.0,2139.0,,508.4,9976.68,
050US48075,48075,68.0,837.0,,1469.95,18093.39,
050US48487,48487,33.0,420.0,,410.5,5224.53,
050US48333,48333,21.0,400.0,,828.08,15772.87,
050US48411,48411,,309.0,,,8607.24,
050US48419,48419,46.0,1003.0,,315.57,6880.7,
050US48105,48105,15.0,137.0,,852.27,7784.09,
050US48051,48051,56.0,1131.0,,496.19,10021.27,
050US55111,55111,132.0,2472.0,,324.46,6076.25,
050US55003,55003,38.0,985.0,,385.94,10004.06,
050US55023,55023,22.0,453.0,,231.87,4774.45,
050US55037,55037,6.0,215.0,,216.61,7761.73,
050US55051,55051,8.0,361.0,,235.29,10617.65,
050US30093,30093,,,,,,
050US30037,30037,,,,,,
050US30083,30083,,,,,,
050US30059,30059,,,,,,
050US30047,30047,,,,,,
050US30061,30061,,,,,,
050US30015,30015,,,,,,
050US49043,49043,,,,,,
050US49003,49003,,,,,,
050US49051,49051,,,,,,
050US49005,49005,,,,,,
050US49001,49001,,,,,,
050US49047,49047,,,,,,
050US49019,49019,,,,,,
050US01025,1025,,,,,,
050US01039,1039,,,,,,
050US01099,1099,,,,,,
050US01005,1005,,,,,,
050US01085,1085,,,,,,
050US01051,1051,,,,,,
050US36075,36075,131.0,1433.0,,169.96,1859.2,
050US36069,36069,100.0,2079.0,,142.54,2963.35,
050US36117,36117,53.0,971.0,,93.7,1716.61,
050US36051,36051,108.0,2822.0,,268.13,7006.13,
050US36027,36027,190.0,923.0,,96.74,469.96,
050US36077,36077,24.0,512.0,,59.61,1271.7,
050US36113,36113,91.0,987.0,,224.83,2438.54,
050US36009,36009,118.0,563.0,,251.21,1198.59,
050US48113,48113,6318.0,73408.0,,359.35,4175.24,
050US48085,48085,1097.0,16816.0,,138.31,2120.22,
050US48453,48453,2157.0,27365.0,,224.2,2844.4,
050US48181,48181,382.0,4321.0,,428.13,4842.81,
050US48141,48141,2261.0,20132.0,,396.62,3531.48,
050US48039,48039,917.0,9417.0,,356.35,3659.5,
050US48409,48409,206.0,3537.0,,462.5,7941.0,
050US48199,48199,145.0,3232.0,,404.05,9006.05,
050US06101,6101,191.0,4299.0,,307.01,6910.24,
050US06027,6027,64.0,796.0,,583.2,7253.51,
050US06109,6109,149.0,2951.0,,472.87,9365.28,
050US36013,36013,170.0,2173.0,,218.9,2798.02,
050US06011,6011,56.0,1528.0,,408.34,11141.9,
050US06057,6057,159.0,2243.0,,273.24,3854.61,
050US36017,36017,83.0,318.0,,292.84,1121.97,
050US06015,6015,,,,,,
050US08005,8005,948.0,12267.0,,214.9,2780.77,
050US12095,12095,3032.0,32362.0,,300.71,3209.65,
050US12101,12101,1494.0,12144.0,,399.02,3243.41,
050US12071,12071,1567.0,16567.0,,334.88,3540.55,
050US12105,12105,,,,,,
