HEROP_ID,FIPS,RxCtTmDr,RxAvTmDr,RxTmDrP,NoIntP,OdMortRt,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp
050US13229,13229,4.0,4.91,1.0,30.66,20.5,1057.65,427.9,131,53
050US13267,13267,5.0,5.75,1.0,24.56,14.6,1394.15,522.81,232,87
050US13271,13271,2.0,10.7,0.67,59.55,11.6,1268.67,381.72,113,34
050US13291,13291,5.0,17.24,0.83,19.76,18.9,1166.69,587.16,153,77
050US13305,13305,6.0,14.64,1.0,20.98,20.2,1035.36,393.44,200,76
050US13319,13319,3.0,14.03,1.0,34.03,11.3,991.71,360.62,55,20
050US15007,15007,16.0,7.68,0.94,12.27,16.7,328.65,,3037,
050US16015,16015,0.0,88.2,0.0,15.23,16.8,,,,
050US16023,16023,1.0,0.0,1.0,15.2,12.0,,,,
050US16025,16025,0.0,60.26,0.0,23.35,12.3,,,,
050US16027,16027,29.0,3.01,1.0,14.33,9.7,,,,
050US16037,16037,1.0,0.0,1.0,18.32,13.5,,,,
050US16039,16039,4.0,19.88,0.8,14.77,16.3,,,,
050US16043,16043,2.0,13.42,0.67,15.57,11.2,,,,
050US16061,16061,1.0,49.66,0.33,29.28,12.7,,,,
050US16063,16063,1.0,0.0,1.0,23.9,11.5,,,,
050US16085,16085,3.0,0.0,1.0,8.25,15.2,,,,
050US19175,19175,4.0,13.29,1.0,18.1,11.4,763.67,294.75,57,22
050US20053,20053,2.0,13.54,1.0,19.97,10.5,222.77,99.01,9,4
050US20095,20095,1.0,22.34,0.33,19.76,14.8,389.69,238.15,18,11
050US20135,20135,2.0,5.26,1.0,20.17,7.5,,,,
050US20199,20199,1.0,0.0,1.0,18.08,8.6,1063.83,591.02,9,5
050US48011,48011,1.0,0.0,1.0,15.85,9.8,563.38,,6,
050US48025,48025,7.0,7.75,1.0,34.56,8.8,1044.47,483.47,229,106
050US48035,48035,6.0,17.36,0.86,20.48,15.4,1086.85,453.64,115,48
050US48053,48053,7.0,13.79,0.88,18.46,14.2,970.97,475.08,280,137
050US48055,48055,8.0,8.09,1.0,25.46,7.6,838.34,424.18,251,127
050US48083,48083,3.0,15.4,1.0,20.89,7.6,2412.33,1072.15,108,48
050US29057,29057,2.0,0.0,1.0,23.96,18.8,,,,
050US29143,29143,6.0,10.41,1.0,25.76,15.5,,,,
050US29157,29157,5.0,1.64,1.0,18.35,18.8,788.0,576.17,93,68
050US29189,29189,199.0,2.06,1.0,10.72,32.9,350.62,119.16,2248,764
050US29199,29199,2.0,5.01,1.0,21.49,10.2,511.88,548.45,14,15
050US29207,29207,8.0,6.89,1.0,23.12,14.8,987.88,836.33,176,149
050US30015,30015,2.0,0.0,1.0,25.33,11.7,,,,
050US30023,30023,3.0,0.0,1.0,24.24,27.9,,,,
050US30029,30029,17.0,9.75,0.89,12.89,14.5,,,,
050US30039,30039,1.0,0.0,1.0,18.35,14.1,,,,
050US30057,30057,1.0,46.11,0.33,16.33,13.9,,,,
050US30071,30071,1.0,0.0,1.0,25.09,8.1,,,,
050US30077,30077,1.0,31.37,0.5,21.06,25.2,,,,
050US30085,30085,1.0,53.71,0.33,31.65,18.2,,,,
050US30087,30087,3.0,21.51,0.75,25.77,9.2,,,,
050US30105,30105,2.0,20.0,0.67,16.98,9.3,,,,
050US31091,31091,0.0,83.31,0.0,27.99,6.5,,,,
050US53065,53065,10.0,16.79,0.83,21.23,14.8,482.03,217.1,131,59
050US21189,21189,2.0,8.2,1.0,34.51,53.4,888.09,831.99,744,697
050US21195,21195,18.0,6.45,0.95,24.3,44.2,522.97,470.41,199,179
050US21217,21217,5.0,7.91,1.0,21.22,28.8,845.19,711.42,139,117
050US21237,21237,2.0,0.0,1.0,35.92,51.5,888.09,831.99,744,697
050US21239,21239,8.0,7.36,1.0,13.61,29.8,372.6,207.0,63,35
050US22001,22001,12.0,5.91,1.0,20.98,26.5,,,,
050US22009,22009,9.0,6.65,1.0,27.03,21.1,,,,
050US22011,22011,6.0,13.0,0.86,20.27,16.9,,,,
050US22029,22029,5.0,2.89,1.0,31.88,10.5,,,,
050US22031,22031,7.0,8.11,1.0,25.82,17.5,,,,
050US22033,22033,92.0,2.77,1.0,12.75,26.7,,,,
050US22047,22047,6.0,9.11,0.86,22.76,18.4,,,,
050US22071,22071,177.0,2.27,1.0,23.48,42.6,,,,
050US22081,22081,0.0,41.11,0.0,29.95,9.7,,,,
050US22099,22099,11.0,4.12,1.0,21.3,16.7,,,,
050US22119,22119,11.0,8.41,1.0,47.39,13.6,,,,
050US23013,23013,10.0,15.25,0.91,10.63,24.2,326.15,123.85,79,30
050US23015,23015,9.0,14.59,0.9,14.93,24.7,238.7,108.92,103,47
050US24003,24003,105.0,3.61,1.0,7.11,42.9,256.89,73.51,996,285
050US18103,18103,10.0,10.54,1.0,19.05,18.1,306.15,140.32,72,33
050US18129,18129,7.0,5.22,1.0,17.59,15.7,577.06,206.99,92,33
050US18147,18147,5.0,12.69,1.0,24.7,11.4,319.41,135.75,40,17
050US19001,19001,3.0,5.3,1.0,22.91,9.7,246.58,179.33,11,8
050US19045,19045,12.0,8.87,1.0,19.61,11.5,457.39,265.35,131,76
050US19083,19083,6.0,7.21,1.0,22.2,6.0,378.32,283.74,40,30
050US19111,19111,11.0,7.84,1.0,20.54,12.9,744.82,565.87,154,117
050US31167,31167,2.0,15.1,1.0,14.72,5.4,447.3,251.61,16,9
050US34003,34003,179.0,1.02,1.0,8.73,15.8,,,,
050US34007,34007,127.0,1.52,1.0,13.88,56.8,788.69,,2697,
050US34013,34013,210.0,1.04,1.0,16.23,39.1,584.62,,3348,
