HEROP_ID,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp,OdMortRt
050US21237,808.81,831.27,36.0,37.0,52.5
050US21239,380.21,326.74,64.0,55.0,24.2
050US22001,,,,,21.2
050US22009,,,,,18.1
050US22011,,,,,16.8
050US22029,,,,,18.1
050US22031,,,,,16.2
050US22033,,,,,17.7
050US22047,,,,,15.7
050US22071,,,,,35.7
050US22081,,,,,15.3
050US22099,,,,,15.4
050US22119,,,,,14.2
050US23013,363.83,196.22,89.0,48.0,21.6
050US23015,290.97,128.22,59.0,26.0,21.7
050US24003,,,,,35.9
050US18103,312.24,164.56,74.0,39.0,19.2
050US18129,613.09,291.37,101.0,48.0,18.7
050US18147,240.05,193.59,31.0,25.0,17.5
050US19001,165.76,142.08,7.0,6.0,12.9
050US19045,415.72,252.16,122.0,74.0,11.8
050US19083,305.61,129.65,33.0,14.0,10.2
050US19111,728.58,442.68,158.0,96.0,16.0
050US31167,160.51,,6.0,,10.6
050US34003,149.58,57.54,915.0,352.0,12.2
050US34007,803.66,351.98,2692.0,1179.0,36.8
050US34013,587.49,203.81,3116.0,1081.0,24.7
050US34023,278.61,104.57,1556.0,584.0,20.0
050US34041,222.19,103.31,157.0,73.0,22.2
050US35007,,,,,34.9
050US35011,,,,,27.2
050US35051,,,,,29.7
050US36013,310.89,197.62,258.0,164.0,20.4
050US36029,412.57,154.61,2503.0,938.0,30.1
050US36043,389.33,204.78,154.0,81.0,13.5
050US36045,366.31,181.15,275.0,136.0,17.4
050US36047,,,,,12.8
050US36053,274.95,156.22,132.0,75.0,15.1
050US36065,665.11,296.8,986.0,440.0,19.9
050US36077,296.48,156.96,119.0,63.0,15.3
050US36081,,,,,11.3
050US36091,233.56,149.72,351.0,225.0,8.2
050US36115,600.26,305.05,244.0,124.0,9.6
050US37007,714.8,482.49,120.0,81.0,17.2
050US37027,477.52,248.23,252.0,131.0,29.9
050US37039,342.74,137.1,55.0,22.0,30.7
050US37049,639.25,333.39,418.0,218.0,27.7
050US37055,496.67,365.97,114.0,84.0,20.8
050US37059,449.06,209.31,118.0,55.0,27.3
050US37069,292.54,202.89,124.0,86.0,16.6
050US37083,576.46,220.77,188.0,72.0,18.3
050US37091,604.8,207.9,96.0,33.0,17.0
050US37093,613.07,334.66,218.0,119.0,14.6
050US37099,292.38,205.36,84.0,59.0,29.8
050US37111,353.69,154.08,101.0,44.0,31.0
050US37117,1602.47,1237.0,228.0,176.0,16.9
050US37127,630.48,415.92,382.0,252.0,19.3
050US37165,851.14,407.84,192.0,92.0,18.3
050US37175,344.04,156.38,66.0,30.0,25.9
050US37199,235.21,0.0,25.0,0.0,27.9
050US38017,216.08,0.0,262.0,0.0,11.1
050US38037,305.58,0.0,4.0,0.0,12.7
050US38085,0.0,0.0,0.0,0.0,12.5
050US38099,565.23,0.0,37.0,0.0,12.3
050US39035,943.09,350.14,7733.0,2871.0,43.8
050US39039,1170.94,659.69,284.0,160.0,15.9
050US39043,931.03,499.68,436.0,234.0,33.2
050US39125,557.53,354.79,66.0,42.0,18.3
050US40065,1417.61,625.96,231.0,102.0,21.5
050US48103,589.39,327.44,18.0,10.0,17.1
050US48141,416.59,215.14,2281.0,1178.0,10.6
050US48151,826.81,348.13,19.0,8.0,15.6
050US48161,1133.56,690.0,138.0,84.0,14.1
050US48167,758.05,450.42,1651.0,981.0,16.8
050US48199,707.93,355.36,253.0,127.0,18.6
050US48213,1129.34,675.95,548.0,328.0,15.0
050US48229,536.1,321.66,15.0,9.0,17.8
050US48241,1153.86,739.78,248.0,159.0,18.8
050US48245,1354.05,641.64,2296.0,1088.0,14.7
050US48261,3488.37,2713.18,9.0,7.0,9.4
050US48289,1019.07,544.85,101.0,54.0,15.9
050US48317,311.09,169.68,11.0,6.0,15.8
050US48333,1876.38,772.63,51.0,21.0,15.5
050US48347,1311.93,670.85,573.0,293.0,12.6
050US48361,1522.42,733.43,822.0,396.0,20.9
