"HEROP_ID","FIPS","RxCtTmDr","RxAvTmDr","RxTmDrP","NoIntP","MedcdExp","ExpSsp","NoPrphLw","NtPrFrDsSy","PrExcInj","PrNtRefInj","NoLwRmUnc","OdMortRt","AnyGslDt","GslArrDt","AnyGslFr","GslArrFr","HcvD","MlHcvD","FlHcvD","U50HcvD","A50_74HcvD","O75HcvD","AmInHcvD","AsHcvD","NhPiHcvD","BlkHcvD","WhtHcvD","MulHcvD","HspHcvD","MdMarijLaw","AnyNalxDt","NalxPrStDt","NalxPresDt","AnyNalxFr","NalxPrStFr","NalxPresFr","AnyPdmpFr","AnyPdmphFr","OpPdmpFr","MsAcPdmpFr","ElcPdmpFr","AnyPdmpDt","AnyPdmphDt","OpPdmpDt","MsAcPdmpDt","ElcPdmpDt","PlcFyrExp","CrrctExp","HlthExp","WlfrExp"
"040US17","17",3090,3.65,0.99,13.83,18589281649,1,0,0,0,0,0,21.9,"6/1/2012","4/27/2021",1,0,221,158,63,-1,189,10,0,-1,0,61,146,-1,-1,1,"1/1/2010","1/1/2010","",1,1,0,1,1,1,1,1,"1/1/1961","1/1/1990","12/1/2009","1/1/2018","4/1/2000",8094027,11236241,15234590,12996505
"040US18","18",1503,5.34,0.99,16.29,12497966677,1,0,0,0,1,0,26.6,"3/26/2014","7/1/2016",1,1,241,174,67,15,209,-1,-1,-1,0,28,194,-1,12,0,"5/1/2015","5/1/2015","",1,1,0,1,1,1,1,1,"12/31/1987","1/1/1990","7/1/2007","11/1/2014","1/1/1994",2465812,8545391,13404009,12660630
"040US19","19",813,6.33,0.99,15,5268433098,0,0,0,0,0,1,11.5,"7/1/2018","",1,0,116,90,26,-1,110,-1,-1,-1,0,-1,103,0,-1,0,"6/1/2016","6/1/2016","",1,1,0,1,1,1,0,1,"5/31/2006","5/1/2006","3/1/2009","","5/31/2006",1164310,5427579,9238270,9012022
"040US20","20",744,5.59,0.97,14.5,3620593018,0,0,0,0,0,1,14.3,"","",0,0,116,87,29,-1,103,-1,-1,-1,0,18,79,-1,-1,0,"7/1/2017","7/1/2017","",1,1,0,1,1,1,0,1,"7/1/2008","7/1/2008","4/1/2011","","7/1/2008",1387873,5455072,9064810,8720254
"040US21","21",1094,6.7,0.98,17.89,10246350395,1,0,0,0,0,0,32.5,"3/25/2015","",1,0,267,190,77,68,176,-1,-1,0,0,30,230,0,-1,0,"7/1/2013","7/1/2013","",1,1,0,1,1,1,1,1,"7/15/1998","7/1/1998","7/1/1999","7/20/2012","7/15/1998",1210817,5314812,7782171,6988036
"040US22","22",1105,5.66,0.96,20.84,11832706272,1,0,0,0,0,0,28.3,"8/1/2014","",1,0,347,249,98,-1,304,-1,-1,-1,0,149,187,0,-1,1,"9/1/2015","9/1/2015","",1,1,0,1,1,1,1,1,"7/1/2006","7/1/2006","1/1/2009","8/1/2014","7/1/2006",2267029,5473915,7915925,7101403
"040US23","23",326,14.38,0.91,13.66,2941220236,1,0,0,0,0,0,29.9,"9/19/2019","9/19/2019",0,0,23,16,-9,-1,-1,-1,0,0,0,0,23,0,0,1,"5/1/2014","11/1/2015","7/1/2017",1,1,1,1,1,1,1,1,"6/23/2003","1/1/2004","1/1/2005","1/1/2017","9/13/2003",516009,1013297,1270419,1023823
"040US24","24",1399,3.49,1,10.69,11808141383,1,0,0,0,0,0,38.2,"10/1/2009","10/1/2015",1,1,282,209,73,-1,252,-1,0,-1,0,149,127,0,-1,1,"10/1/2013","10/1/2015","",1,1,0,1,1,1,1,1,"5/10/2011","10/1/2011","12/1/2013","7/1/2018","10/1/2011",4253962,6158087,6370853,4526091
"040US25","25",1475,2.65,1,10.95,17622935900,1,0,1,0,1,0,32.1,"8/2/2012","",1,0,192,141,51,-1,152,-1,-1,-1,0,25,128,-1,30,1,"9/1/2012","7/1/2014","",1,1,0,1,1,1,1,1,"1/1/1992","12/1/1992","1/1/2011","12/5/2014","1/1/1994",3748639,6737217,8541272,7119015
"040US26","26",2731,5.58,0.97,14.69,18357881940,0,0,1,0,0,0,24.4,"1/4/2017","",1,0,359,242,117,-1,312,16,-1,-1,0,114,216,-1,16,1,"11/1/2014","4/1/2017","",1,1,0,1,1,1,1,1,"1/1/1988","1/1/1990","1/1/2003","6/1/2018","1/3/2002",4038433,15447199,23043786,20634928
