HEROP_ID,TotTracts,AreaSqMi,CenFlags,TotPop,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,ChildrenP,Age45_49,Age50_54,AgeOv18,TotPopHh,NonRelFhhP,NonRelNfhhP,NoHsP,DisbP,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,DsmBlk,IntrBlkWht,IsoBlk,DsmHsp,IntrHspWht,IsoHsp,DsmAs,IntrAsWht,IsoAs,TotVetPop,VetP,AlcTot,AlcDens,AlcPerCap,TotUnits,VacantP,MobileP,LngTermP,RentalP,UnitDens,Ndvi,RcaUrbanP,RcaSubrbP,RcaRuralP,CenRuralP,PovP,UnempP,MedInc,PciE,ForDqP,ForDqTot,GiniCoeff,TotWrkE,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,OdMortRt,SviTh1,SviTh2,SviTh3,SviTh4,SviSmryRnk
050US21179,9,417.51,,45388,27801,2897,6110,3100,2789,17054,3213,2978,6609,12.97,57.42,14.56,0.24,3166,3361,34410,44832,2.03,19.61,10.79,18.5,91.19,4.96,2.1,0.11,0.61,0.0,3.13,0.4,0.85,0.09,0.42,0.88,0.05,0.41,0.88,0.01,3126,9.08,13.0,0.03,0.0,18889,7.4,8.09,28.2,23.36,45.24,0.24,0.0,0.44,0.56,0.57,10.9,5.7,29392.0,31387.0,9.93,81.57,0.48,21821.0,5.88,34.45,13.45,10.78,13097.0,60.02,20.9,0.32,0.73,0.22,0.27,0.29
050US17091,29,676.49,,111061,67493,6620,14644,8489,8489,43561,7709,6715,17609,15.29,58.37,15.86,0.23,6811,7392,85102,105529,2.99,19.46,12.15,13.8,79.73,15.05,10.19,0.21,0.95,0.02,4.04,0.59,0.42,0.42,0.34,0.64,0.14,0.49,0.7,0.02,6722,7.9,12.0,0.02,0.0,45515,12.01,6.54,26.87,31.79,67.28,0.09,0.72,0.21,0.07,0.24,14.8,6.0,26922.0,27164.0,15.6,88.69,0.43,50539.0,10.95,22.86,16.17,12.09,27390.0,54.2,22.4,0.52,0.52,0.7,0.76,0.67
050US17187,5,542.37,,17338,10282,1080,2081,1516,1354,6688,1351,988,3180,16.55,56.81,18.34,0.22,912,1058,13462,16161,2.55,13.48,12.28,13.3,88.06,2.61,9.41,0.23,2.61,0.0,6.49,0.43,0.73,0.05,0.44,0.74,0.15,0.55,0.72,0.06,976,7.25,2.0,0.0,0.0,7693,13.04,4.02,31.53,24.47,14.18,0.14,0.0,0.0,1.0,0.45,12.4,6.7,25790.0,26082.0,11.42,52.6,0.43,8086.0,14.54,27.96,17.7,8.79,4486.0,55.48,16.5,0.53,0.46,0.64,0.68,0.61
050US17197,152,835.88,,688697,427886,41129,102250,52458,44598,273156,45491,37967,83650,14.09,60.48,12.15,0.26,53269,51785,511536,679440,1.95,17.53,9.09,8.8,73.42,11.21,17.06,0.27,5.34,0.03,9.72,0.56,0.42,0.29,0.45,0.5,0.29,0.54,0.58,0.15,30191,5.91,75.0,0.09,0.0,242568,6.07,1.39,23.72,18.96,290.19,0.12,0.92,0.07,0.01,0.04,7.0,5.2,35981.0,35259.0,11.9,158.95,0.41,348560.0,9.01,19.05,13.23,11.98,157861.0,45.29,18.4,0.16,0.14,0.86,0.15,0.2
050US18027,7,429.49,,32937,18355,2596,5505,2440,2000,12053,2236,1771,4947,13.48,61.19,15.02,0.29,1698,2131,23302,32361,2.06,10.95,26.79,14.2,95.2,1.75,4.81,0.03,0.13,0.03,2.85,0.72,0.74,0.06,0.61,0.73,0.18,0.62,0.98,0.01,2002,8.59,5.0,0.01,0.0,12551,9.04,6.77,29.73,26.59,29.22,0.15,0.0,0.43,0.57,0.6,12.7,4.1,26449.0,22548.0,10.46,54.14,0.41,14513.0,6.51,40.03,11.49,10.02,8945.0,61.63,17.7,0.62,0.47,0.48,0.86,0.69
050US18061,6,484.51,,39712,24066,2269,5082,2473,2074,13967,2897,2971,6707,11.45,53.68,16.89,0.23,2666,3153,30773,39356,2.72,21.86,10.96,17.6,96.56,0.8,1.84,0.28,0.44,0.0,1.92,0.23,0.95,0.01,0.2,0.95,0.02,0.56,0.94,0.01,2800,9.1,3.0,0.01,0.0,16972,14.07,14.24,35.34,17.46,35.03,0.24,0.0,0.67,0.33,0.86,10.5,6.2,28818.0,27211.0,11.05,93.0,0.41,17765.0,7.14,30.75,15.71,11.12,9618.0,54.14,21.9,0.41,0.4,0.09,0.14,0.19
050US01001,12,594.44,,55200,33781,3263,7579,3855,3337,21630,4131,2694,8050,13.03,58.83,14.58,0.24,3874,3979,41831,54654,1.34,11.96,11.31,19.3,76.88,19.14,2.77,0.29,1.03,0.06,2.61,0.24,0.69,0.26,0.43,0.72,0.07,0.44,0.76,0.02,5071,12.28,3.0,0.0,0.0,23315,9.44,18.35,23.2,25.11,39.22,0.22,0.58,0.42,0.0,0.42,15.4,4.2,29667.0,29372.0,7.45,42.0,0.46,24124.0,9.28,21.32,10.8,8.93,10660.0,44.19,13.2,0.36,0.58,0.59,0.37,0.44
050US01005,9,885.0,,25782,15712,1390,3127,1434,1658,9871,1657,1651,4634,11.99,55.81,17.97,0.21,1672,1780,20346,22882,1.89,8.12,26.97,22.2,47.38,47.58,4.29,0.28,0.37,0.0,4.39,0.22,0.43,0.51,0.3,0.48,0.06,0.38,0.51,0.01,1561,7.67,3.0,0.0,0.0,11937,23.05,29.19,34.44,38.6,13.49,0.23,0.0,0.0,1.0,0.68,28.9,9.5,18138.0,18461.0,13.37,35.78,0.47,8720.0,9.86,36.08,8.78,10.62,5100.0,58.49,14.6,0.98,0.92,0.86,0.99,1.0
050US01023,4,913.46,,13075,7541,671,1467,807,694,4273,1074,900,2884,11.48,49.03,22.06,0.2,826,980,10425,12892,1.37,7.58,18.59,28.4,56.75,42.75,0.56,0.07,0.1,0.0,0.33,0.45,0.39,0.6,0.54,0.66,0.01,0.93,0.15,0.0,771,7.4,3.0,0.0,0.0,7344,27.15,31.59,39.6,20.32,8.04,0.26,0.0,0.0,1.0,1.0,22.2,10.6,20616.0,22182.0,17.7,53.0,0.48,4264.0,9.92,37.29,14.0,14.63,2672.0,62.66,18.9,0.91,0.91,0.59,0.58,0.87
050US01035,5,850.2,,12514,7156,715,1466,872,613,4124,1075,826,2707,11.87,50.38,21.63,0.21,740,861,9863,12469,2.12,10.22,19.25,22.8,50.89,47.71,0.84,0.45,0.14,0.0,0.8,0.24,0.46,0.52,0.62,0.59,0.04,0.86,0.43,0.01,776,7.87,1.0,0.0,0.0,7143,35.97,28.74,41.25,23.39,8.4,0.25,0.0,0.0,1.0,0.81,22.2,11.5,17857.0,17542.0,16.78,40.0,0.44,3892.0,4.7,31.29,12.08,16.42,2546.0,65.42,21.3,0.95,0.97,0.44,0.21,0.81
