HEROP_ID,FIPS,MdMarijLaw,AnyPdmpFr,AnyPdmphFr,OpPdmpFr,MsAcPdmpFr,ElcPdmpFr,AnyPdmpDt,AnyPdmphDt,OpPdmpDt,MsAcPdmpDt,ElcPdmpDt,ExpnFedExp,ExpnSttExp,TradFedExp,TradSttExp,MedcdExp,TotPop,MaleP,FemP,Ovr16P,Ovr18P,Ovr21P,Ovr65P,SRatio,SRatio18,SRatio65,WhiteE,AsianE,PacIsE,HisE,AmIndE,TwoRaceE,OtherE,SomeCollegeP,EduNoHsP,EduHsP,BachelorsP,GradSclP,Ovr16,Ovr18,Ovr21,Ovr65,BlackE,WhiteP,BlackP,AsianP,PacIsP,HisP,AmIndP,TwoRaceP,OtherP,EngProf,DsmBlk,IntrBlkWht,IsoBlk,DsmHsp,IntrHspWht,IsoHsp,DsmAs,IntrAsWht,IsoAs,TtlJlPpr,TtlJlPrtr,TtlJlPp,TtlJlPrt,EdBupPolP,PerImpBupP,BupPolP,MedPolProp
040US36,36,1.0,1.0,1.0,1.0,1.0,1.0,1/1/1972,1/1/1990,6/1/2013,8/27/2013,1/1/1998,15055383800.0,2689050600.0,43834093100.0,33691317000.0,95269844500.0,19872319,48.82,51.18,81.7,79.32,69.05,17.42,95.4,92.78,78.23,11340944,1769224,9671,3898652,102927,1772641,1949904,13.14,12.14,24.56,22.03,17.52,16235440,15763042,13721365,3461186,2927008,57.07,14.73,8.9,0.05,19.62,0.52,8.92,9.81,86.71,0.53,0.64,0.16,0.39,0.7,0.14,0.51,0.73,0.07,126.43,105.86,16209.0,13571.49,1.0,2023-03-01 to 2023-12-31,1.0,1.0
040US37,37,0.0,1.0,1.0,1.0,1.0,1.0,8/13/2005,1/1/2006,7/1/2007,6/29/2017,1/1/2006,,,13752491600.0,5141666600.0,18894158100.0,10584340,48.92,51.08,80.63,78.05,67.36,16.88,95.77,93.19,79.59,6695587,333844,6153,1158750,110873,753265,506289,16.77,10.25,24.96,21.79,12.93,8533822,8261517,7129690,1787027,2178329,63.26,20.58,3.15,0.06,10.95,1.05,7.12,4.78,95.1,0.37,0.59,0.26,0.36,0.61,0.14,0.52,0.63,0.03,264.66,223.0,18411.0,15513.01,0.0,,0.0,0.08
040US38,38,1.0,1.0,1.0,1.0,1.0,1.0,12/1/2005,12/1/2006,10/1/2008,1/1/2018,4/5/2007,382999100.0,47138000.0,668863900.0,484329300.0,1583330400.0,779361,51.21,48.79,78.75,76.29,66.5,16.18,104.97,105.04,87.52,653820,12187,1127,34963,34916,40956,11146,18.75,6.17,25.68,22.66,9.63,613763,594569,518247,126120,25209,83.89,3.23,1.56,0.14,4.49,4.48,5.26,1.43,97.92,0.26,0.67,0.02,0.19,0.85,0.04,0.25,0.7,0.01,294.23,245.41,1460.12,1217.87,0.0,,0.0,1.0
040US39,39,1.0,1.0,1.0,1.0,1.0,1.0,5/18/2005,5/1/2005,10/1/2006,4/15/2015,5/18/2005,7113678100.0,789815500.0,15926150200.0,7270843700.0,31100487400.0,11780046,49.31,50.69,80.46,77.84,67.62,17.85,97.29,94.83,80.84,9167192,288117,4229,537559,17151,670374,186517,16.13,8.38,32.31,19.03,11.92,9477782,9169867,7966226,2103043,1446466,77.82,12.28,2.45,0.04,4.56,0.15,5.69,1.58,97.23,0.52,0.79,0.11,0.39,0.84,0.06,0.56,0.82,0.03,223.86,162.08,16769.1,12141.67,1.0,2023-03-01 to 2023-12-31,1.0,1.0
040US40,40,1.0,1.0,1.0,1.0,1.0,1.0,5/15/1990,1/1/1991,7/1/2006,11/1/2015,5/15/1990,2561933600.0,233386800.0,5139232800.0,1454355100.0,9388908200.0,3995260,49.78,50.22,78.66,75.89,65.92,16.07,99.11,97.13,82.2,2668453,93550,7706,490797,295365,511043,136607,18.95,10.87,30.72,18.11,9.68,3142477,3031877,2633698,642174,282536,66.79,7.07,2.34,0.19,12.28,7.39,12.79,3.42,95.9,0.41,0.63,0.07,0.23,0.65,0.13,0.43,0.64,0.02,415.64,270.88,10694.37,6969.83,0.0,,0.0,1.0
040US41,41,1.0,1.0,1.0,1.0,0.0,1.0,7/23/2009,7/1/2009,9/1/2011,,7/23/2009,4551561600.0,506854800.0,6573075500.0,3197105100.0,14828597000.0,4238714,49.87,50.13,82.19,79.8,70.13,18.63,99.48,97.53,85.75,3247656,188624,16973,605467,46276,458680,198863,20.38,8.28,22.38,22.34,13.88,3483666,3382420,2972641,789610,81642,76.62,1.93,4.45,0.4,14.28,1.09,10.82,4.69,94.67,0.46,0.71,0.02,0.26,0.73,0.17,0.37,0.73,0.03,170.7,123.81,4677.0,3392.16,0.0,,0.0,1.0
040US42,42,1.0,1.0,1.0,1.0,1.0,1.0,1/1/1972,1/1/1990,8/1/2016,6/30/2015,1/1/2002,7083684700.0,787076100.0,19543836300.0,14676558800.0,42091155800.0,12986518,49.29,50.71,81.84,79.41,68.94,19.07,97.2,94.85,80.64,9844085,480439,4614,1087732,23921,794713,445130,12.87,8.09,33.21,20.57,13.92,10628282,10312707,8953305,2476241,1393616,75.8,10.73,3.7,0.04,8.38,0.18,6.12,3.43,95.28,0.55,0.74,0.13,0.4,0.78,0.1,0.47,0.82,0.04,340.38,225.64,28183.41,18683.02,0.0,,0.0,1.0
040US44,44,1.0,1.0,1.0,1.0,1.0,1.0,1/1/1978,1/1/1990,9/1/2012,6/28/2016,1/1/1997,758536900.0,88602700.0,1622248100.0,1120896200.0,3590284000.0,1095371,49.04,50.96,83.32,80.97,69.6,18.25,96.23,94.05,79.38,792361,38149,670,187503,4855,117222,78252,14.9,10.52,26.51,22.25,15.06,912681,886891,762377,199921,63862,72.34,5.83,3.48,0.06,17.12,0.44,10.7,7.14,91.39,0.51,0.72,0.07,0.36,0.72,0.16,0.47,0.77,0.06,,,,,0.0,,0.0,1.0
040US45,45,0.0,1.0,1.0,1.0,1.0,1.0,6/14/2006,6/1/2006,2/1/2008,5/19/2017,6/14/2006,,,6652683100.0,2173945900.0,8826629100.0,5212774,48.68,51.32,80.89,78.38,68.02,18.48,94.85,92.21,81.37,3339447,89723,3642,368900,16823,301711,142798,16.48,10.41,28.23,19.44,12.03,4216865,4085712,3545956,963569,1318630,64.06,25.3,1.72,0.07,7.08,0.32,5.79,2.74,96.95,0.35,0.47,0.43,0.42,0.52,0.11,0.56,0.57,0.03,347.97,292.15,11685.29,9810.94,0.32,,0.0,0.0
040US46,46,1.0,1.0,1.0,1.0,0.0,1.0,3/29/2010,3/1/2010,3/1/2012,,7/1/2010,11769600.0,960000.0,786090500.0,368898000.0,1167718100.0,899194,50.67,49.33,78.33,75.55,66.19,17.58,102.71,102.18,89.35,733035,12554,606,41281,69514,50789,12547,17.07,6.99,29.48,21.52,9.58,704344,679374,595134,158103,20149,81.52,2.24,1.4,0.07,4.59,7.73,5.65,1.4,97.9,0.28,0.61,0.01,0.19,0.74,0.04,0.24,0.53,0.01,489.48,372.72,2761.78,2103.0,0.0,,0.0,0.5
040US47,47,0.0,1.0,1.0,1.0,1.0,1.0,1/1/2003,1/1/2003,1/1/2010,4/1/2013,1/1/2003,,,8607066600.0,3486525000.0,12093591600.0,6986082,49.07,50.93,80.34,77.7,67.5,16.79,96.35,93.72,81.27,5133249,129226,5037,496457,17288,417706,174679,16.74,10.39,31.39,19.01,11.38,5612667,5428076,4715351,1172740,1108897,73.48,15.87,1.85,0.07,7.11,0.25,5.98,2.5,96.44,0.43,0.78,0.12,0.34,0.81,0.07,0.55,0.8,0.02,571.89,330.02,26110.0,15067.38,1.0,2023-03-01 to 2023-12-31,1.0,0.0
040US48,48,0.0,1.0,1.0,1.0,1.0,1.0,1/1/1982,8/1/1981,8/1/2012,9/1/2017,1/1/1998,,,36190073700.0,19362039800.0,55552113500.0,29640343,49.9,50.1,77.68,74.76,64.58,13.18,99.59,97.76,82.35,15984990,1581798,29841,11697134,190706,5686063,2540808,18.29,14.3,24.32,21.14,11.94,23026070,22157813,19140398,3905545,3626137,53.93,12.23,5.34,0.1,39.46,0.64,19.18,8.57,87.16,0.36,0.48,0.1,0.24,0.5,0.39,0.42,0.47,0.03,372.36,308.85,73964.93,61348.91,0.0,,0.0,0.0
040US49,49,1.0,1.0,1.0,1.0,0.0,1.0,7/1/1995,7/1/1995,1/1/2006,,7/1/1995,1045833800.0,113261900.0,2424306500.0,998819000.0,4582221200.0,3331187,50.63,49.37,74.99,71.66,61.98,11.62,102.55,101.05,89.32,2688129,78887,31483,513013,33869,275313,185734,20.23,6.72,22.45,24.27,12.65,2498070,2387055,2064755,387028,37772,80.7,1.13,2.37,0.95,15.4,1.02,8.26,5.58,95.09,0.45,0.74,0.01,0.2,0.81,0.13,0.33,0.56,0.02,291.41,178.68,6450.05,3954.84,0.59,2023-03-01 to 2023-12-31,1.0,1.0
040US50,50,1.0,1.0,1.0,1.0,1.0,1.0,7/1/2006,6/1/2008,1/1/2009,11/15/2013,7/1/2006,292646900.0,32495600.0,1021937000.0,659602700.0,2006682200.0,645254,49.64,50.36,84.15,81.84,70.45,20.79,98.58,96.47,88.08,589835,10700,120,16058,1273,31026,4413,13.19,5.47,27.25,24.67,17.96,543008,528077,454606,134141,7887,91.41,1.22,1.66,0.02,2.49,0.2,4.81,0.68,98.78,0.45,0.9,0.02,0.28,0.9,0.03,0.49,0.89,0.03,,,,,1.0,2023-03-01 to 2023-12-31,1.0,1.0
040US51,51,1.0,1.0,1.0,1.0,1.0,1.0,4/1/2003,9/1/2003,6/1/2006,7/1/2015,4/1/2003,6211485600.0,692144700.0,8036045800.0,6386482300.0,21326158400.0,8657499,49.42,50.58,80.63,78.12,67.59,16.29,97.7,95.47,81.02,5344175,593606,5679,929140,27216,712248,351544,15.3,8.66,23.89,23.33,18.15,6980834,6763514,5851881,1410160,1623031,61.73,18.75,6.86,0.07,10.73,0.31,8.23,4.06,93.86,0.31,0.64,0.22,0.32,0.65,0.1,0.43,0.67,0.04,363.2,220.96,20637.99,12555.64,1.0,2023-03-01 to 2023-12-31,1.0,1.0
040US53,53,1.0,1.0,1.0,1.0,1.0,1.0,7/22/2007,8/1/2011,1/1/2012,1/1/2019,7/22/2007,9348678300.0,1016797100.0,10195002000.0,7833652000.0,28394129400.0,7740984,50.36,49.64,80.77,78.35,68.84,16.27,101.44,100.19,85.41,5251386,727603,54406,1089609,90212,880588,430575,18.41,7.79,21.75,23.66,15.11,6252501,6065086,5329176,1259313,306214,67.84,3.96,9.4,0.7,14.08,1.17,11.38,5.56,92.14,0.46,0.69,0.04,0.27,0.68,0.2,0.36,0.71,0.05,174.61,128.52,8932.9,6574.78,0.0,,0.0,1.0
040US54,54,1.0,1.0,1.0,1.0,1.0,1.0,6/11/1995,6/1/1995,5/1/2013,6/8/2012,6/11/1995,1283189500.0,145475300.0,3009628700.0,803999700.0,5242293200.0,1784462,49.88,50.12,82.34,79.86,69.44,20.68,99.54,97.75,85.35,1622009,13434,513,36125,1532,76400,12055,14.94,11.39,39.48,13.86,9.43,1469375,1425051,1239093,368989,58519,90.9,3.28,0.75,0.03,2.02,0.09,4.28,0.68,99.33,0.54,0.88,0.06,0.44,0.88,0.03,0.55,0.78,0.01,402.23,234.63,4471.0,2608.0,1.0,2023-03-01 to 2023-12-31,1.0,1.0
040US55,55,0.0,1.0,1.0,1.0,1.0,1.0,6/2/2010,6/1/2010,6/1/2013,4/1/2017,6/2/2010,,,7714619100.0,4107314900.0,11821933900.0,5892023,50.08,49.92,80.98,78.37,68.1,18.03,100.31,98.55,86.84,4791680,169891,2229,457687,43336,383986,139011,16.37,6.62,29.67,21.62,11.14,4771274,4617713,4012277,1062121,361890,81.32,6.14,2.88,0.04,7.77,0.74,6.52,2.36,96.92,0.48,0.83,0.04,0.31,0.83,0.08,0.44,0.83,0.03,286.71,174.18,10822.0,6574.74,1.0,2023-03-01 to 2023-12-31,1.0,0.0
040US56,56,0.0,1.0,1.0,1.0,1.0,1.0,7/1/2003,7/1/2003,7/1/2013,7/1/2019,7/1/2003,,,431964700.0,303549300.0,735514000.0,579761,51.17,48.83,79.73,77.17,67.71,17.99,104.78,103.95,94.77,498371,4792,499,60581,11927,41069,18121,20.24,5.94,27.78,18.8,11.12,462236,447402,392545,104321,4982,85.96,0.86,0.83,0.09,10.45,2.06,7.08,3.13,98.07,0.44,0.76,0.01,0.21,0.83,0.11,0.39,0.69,0.01,363.17,253.86,1334.19,932.63,0.0,,0.0,0.0
