HEROP_ID,FIPS,HcvD,MlHcvD,FlHcvD,AmInHcvD,AsPiHcvD,BlkHcvD,HspHcvD,U50HcvD,A50_74HcvD,O75HcvD,OdMortRt,MedPolProp
040US28,28,162,111,51.0,,,32.0,,12.0,123,,12.3,0.0
040US37,37,532,383,149.0,,,163.0,,53.0,455,,15.8,0.0
040US40,40,510,342,168.0,68.0,,42.0,13.0,52.0,422,14.0,19.0,0.0
040US51,51,330,243,87.0,,,118.0,,15.0,287,11.0,12.4,0.0
040US54,54,107,80,27.0,,,12.0,,11.0,78,,41.5,1.0
040US22,22,396,296,100.0,,,164.0,10.0,32.0,331,,19.0,0.0
040US26,26,512,363,149.0,,,160.0,24.0,20.0,431,40.0,20.4,1.0
040US25,25,317,229,88.0,,,48.0,50.0,39.0,248,,25.7,1.0
040US16,16,99,77,22.0,,,,,,90,,14.2,0.0
040US12,12,1270,897,373.0,,12.0,162.0,131.0,105.0,1074,81.0,16.2,0.0
040US31,31,82,57,25.0,,,,,,43,,6.9,0.0
040US53,53,651,462,189.0,21.0,27.0,48.0,37.0,25.0,568,46.0,14.7,1.0
040US35,35,195,148,47.0,15.0,,,99.0,26.0,153,,25.3,1.0
040US46,46,35,28,,,,,,,21,,8.4,0.0
040US48,48,1996,1450,546.0,,26.0,341.0,575.0,182.0,1647,150.0,9.4,0.0
040US06,6,3245,2281,964.0,57.0,179.0,370.0,959.0,233.0,2645,352.0,11.3,1.0
040US01,1,187,136,51.0,,,50.0,,17.0,148,,15.7,0.0
040US13,13,396,277,119.0,,,133.0,,30.0,343,,12.7,0.0
040US42,42,726,532,194.0,,,197.0,55.0,44.0,627,29.0,26.3,1.0
040US29,29,275,203,72.0,,,61.0,,10.0,242,10.0,17.9,0.0
040US08,8,362,240,122.0,,,36.0,92.0,16.0,304,10.0,15.4,1.0
040US49,49,98,70,28.0,,,,18.0,,79,,23.4,0.0
040US47,47,592,429,163.0,,,125.0,,64.0,493,11.0,22.2,0.0
040US56,56,30,21,,,,,,,10,,16.4,0.0
040US36,36,979,701,278.0,,25.0,243.0,247.0,51.0,812,99.0,13.6,1.0
040US20,20,141,96,45.0,,,15.0,,,114,,11.8,0.0
040US02,2,41,34,,,,,,,14,,16.0,0.33
040US32,32,173,129,44.0,,,12.0,21.0,,139,,20.4,1.0
040US17,17,399,281,118.0,,,92.0,32.0,19.0,318,50.0,14.1,1.0
040US50,50,43,25,18.0,,,,,,12,,16.7,1.0
040US30,30,77,57,20.0,15.0,,,,,57,,13.8,0.0
040US19,19,125,89,36.0,,,11.0,,,100,,10.3,1.0
040US45,45,294,215,79.0,,,84.0,,19.0,244,,15.7,0.0
040US33,33,65,44,21.0,,,,,,50,,34.3,1.0
040US04,4,567,411,156.0,30.0,,26.0,135.0,57.0,459,31.0,19.0,1.0
040US11,11,101,74,27.0,,,88.0,,,94,,14.7,1.0
040US34,34,400,271,129.0,,,124.0,46.0,19.0,316,40.0,16.3,1.0
040US24,24,366,280,86.0,,,220.0,,14.0,322,,20.9,1.0
040US23,23,57,51,,,,,,,37,,21.2,0.0
040US15,15,68,51,17.0,,23.0,,,,44,,11.3,1.0
040US10,10,45,36,,,,13.0,,,29,,22.0,1.0
040US44,44,97,71,26.0,,,,10.0,10.0,71,,28.2,1.0
040US21,21,270,182,88.0,,,21.0,,39.0,203,,29.9,1.0
040US39,39,559,394,165.0,,,154.0,13.0,34.0,472,35.0,29.9,1.0
040US55,55,208,145,63.0,,,47.0,13.0,,171,12.0,15.5,0.0
040US41,41,514,390,124.0,12.0,10.0,20.0,27.0,35.0,434,19.0,12.0,1.0
040US38,38,32,26,,,,,,,12,,8.6,1.0
040US05,5,183,134,49.0,,,29.0,,,145,,13.8,1.0
040US18,18,270,198,72.0,,,52.0,,,235,,19.5,0.92
040US27,27,234,184,50.0,16.0,,35.0,12.0,12.0,197,,10.6,1.0
040US09,9,153,119,34.0,,,19.0,27.0,,121,,22.1,1.0
