"HEROP_ID","FIPS","HcvD","MlHcvD","FlHcvD","AmInHcvD","AsPiHcvD","BlkHcvD","HspHcvD","U50HcvD","A50_74HcvD","O75HcvD","OdMortRt"
"040US28","28",171,126,45,NA,NA,42,NA,NA,130,NA,11.6
"040US37","37",495,360,135,NA,NA,151,19,42,410,10,13.8
"040US40","40",523,356,167,57,NA,37,18,55,429,13,20.3
"040US51","51",335,243,92,NA,10,101,NA,20,291,NA,11.7
"040US54","54",110,84,26,NA,NA,NA,NA,11,71,NA,35.5
"040US22","22",400,284,116,NA,NA,171,NA,29,322,13,16.9
"040US26","26",511,361,150,NA,NA,172,23,34,439,27,18
"040US25","25",303,217,86,NA,NA,21,35,35,231,14,19
"040US16","16",110,88,22,NA,NA,NA,12,NA,90,NA,13.7
"040US12","12",1266,897,369,NA,NA,159,141,86,1072,88,13.2
"040US31","31",77,49,28,NA,NA,12,NA,10,49,NA,7.2
"040US53","53",644,438,206,27,25,38,41,34,546,34,13.3
"040US35","35",205,156,49,11,NA,NA,116,18,156,NA,27.3
"040US46","46",31,22,NA,NA,NA,NA,NA,NA,NA,NA,7.8
"040US48","48",1860,1358,502,NA,28,329,517,201,1532,114,9.7
"040US06","06",3409,2417,992,51,193,397,997,274,2800,319,11.1
"040US01","01",246,165,81,NA,NA,66,NA,13,214,NA,15.2
"040US13","13",426,304,122,NA,NA,151,10,24,372,10,11.9
"040US42","42",629,451,178,NA,NA,170,44,44,533,30,21.9
"040US29","29",314,231,83,NA,NA,60,13,17,255,13,18.2
"040US08","08",352,228,124,NA,NA,25,84,23,298,20,16.3
"040US49","49",91,72,19,NA,NA,NA,12,NA,66,NA,22.4
"040US47","47",554,400,154,NA,NA,115,NA,50,454,22,19.5
"040US56","56",36,25,11,NA,NA,NA,NA,NA,13,NA,19.4
"040US36","36",1092,745,347,NA,27,275,287,74,871,128,11.3
"040US20","20",126,88,38,NA,NA,18,NA,NA,101,NA,11.7
"040US02","02",60,41,19,NA,NA,NA,NA,NA,35,NA,16.8
"040US32","32",181,119,62,NA,NA,17,24,NA,142,NA,18.4
"040US17","17",364,259,105,NA,NA,98,29,NA,298,38,13.1
"040US50","50",33,23,10,NA,NA,NA,NA,NA,12,NA,13.9
"040US30","30",55,40,15,NA,NA,NA,NA,NA,36,NA,12.4
"040US19","19",112,82,30,NA,NA,NA,NA,NA,79,NA,8.8
"040US45","45",271,210,61,NA,NA,88,NA,12,234,NA,14.4
"040US33","33",62,50,12,NA,NA,NA,NA,NA,47,NA,26.2
"040US04","04",553,411,142,25,NA,24,138,52,450,32,18.2
"040US11","11",92,63,29,NA,NA,80,NA,NA,72,NA,19.4
"040US34","34",446,325,121,NA,NA,115,57,25,372,30,14
"040US24","24",335,235,100,NA,NA,184,NA,13,292,NA,17.4
"040US23","23",59,47,12,NA,NA,NA,NA,NA,35,NA,16.8
"040US15","15",87,61,26,NA,33,NA,NA,NA,68,NA,10.9
"040US10","10",50,44,NA,NA,NA,20,NA,NA,31,NA,20.9
"040US44","44",104,69,35,NA,NA,NA,11,NA,74,NA,23.4
"040US21","21",250,174,76,NA,NA,20,NA,20,198,NA,24.7
"040US39","39",567,409,158,NA,NA,140,14,38,478,25,24.6
"040US55","55",205,142,63,NA,NA,51,NA,11,171,NA,15.1
"040US41","41",563,397,166,10,NA,12,27,47,482,16,12.8
"040US38","38",24,17,NA,NA,NA,NA,NA,NA,NA,NA,6.3
"040US05","05",160,109,51,NA,NA,23,NA,NA,133,NA,12.6
"040US18","18",263,193,70,NA,NA,49,12,13,229,NA,18.2
"040US27","27",245,161,84,13,NA,43,10,10,208,NA,9.6
"040US09","09",156,116,40,NA,NA,23,38,13,133,NA,17.6
