"HEROP_ID","FIPS","AnyGslDt","GslArrDt","AnyGslFr","GslArrFr","MdMarijLaw","AnyNalxDt","NalxPrStDt","NalxPresDt","AnyNalxFr","NalxPrStFr","NalxPresFr","AnyPdmpFr","AnyPdmphFr","OpPdmpFr","MsAcPdmpFr","ElcPdmpFr","AnyPdmpDt","AnyPdmphDt","OpPdmpDt","MsAcPdmpDt","ElcPdmpDt","TotHcv","MlHcv","FmHcv","Un50Hcv","A50_74Hcv","Ov75Hcv","BlkHcv","NonBlkHcv","HcvD","MlHcvD","FlHcvD","AmInHcvD","AsPiHcvD","BlkHcvD","HspHcvD","U50HcvD","A50_74HcvD","O75HcvD","AvHcvD","AvMlHcvD","AvFlHcvD","AvAmInHcvD","AvAsPiHcvD","AvBlkHcvD","AvHspHcvD","AvU50HcvD","Av50_74HcvD","AvO75HcvD","OdMortRt"
"040US13","13","4/24/2014","4/24/2014",1,1,0,"5/1/2014","5/1/2014","",1,1,0,1,1,1,1,1,"5/13/2011","7/1/2011","5/1/2013","7/13/2014","7/1/2011",56800,36000,17900,13900,38700,1300,20600,33400,344,242,102,NA,NA,122,NA,11,308,11,388.6,277.4,111.2,NA,NA,134.6,1.2,22.4,337.4,9.2,14.7
"040US15","15","7/7/2015","7/7/2015",1,1,1,"7/1/2016","7/1/2016","",1,1,0,1,1,1,0,1,"1/1/1943","1/1/1990","2/1/2012","","6/18/1996",6700,4700,1600,900,5200,200,200,6100,67,47,20,NA,17,NA,NA,NA,45,NA,71.8,53.2,18.6,NA,23.6,NA,1.2,NA,50.6,NA,13.8
"040US16","16","7/1/2018","",0.5,0,0,"7/1/2015","","7/1/2015",1,0,1,1,1,1,0,1,"1/1/1967","1/1/1990","4/1/2008","","4/4/2000",11200,7500,3700,2500,8500,200,100,11100,84,60,24,NA,NA,NA,NA,NA,60,NA,103.6,75.6,28,NA,NA,NA,3.8,NA,83,NA,14.4
"040US17","17","6/1/2012","",1,0,1,"1/1/2010","1/1/2010","",1,1,0,1,1,1,0,1,"1/1/1961","1/1/1990","12/1/2009","","4/1/2000",54900,35100,16700,16600,33000,2100,19300,32500,288,199,89,NA,NA,90,22,NA,242,20,350.8,246.8,104,NA,NA,93.4,29.4,7.2,287.6,32.4,21.6
"040US18","18","3/26/2014","7/1/2016",1,1,0,"5/1/2015","5/1/2015","",1,1,0,1,1,1,1,1,"12/31/1987","1/1/1990","7/1/2007","7/1/2014","1/1/1994",40200,26200,13200,14600,24000,800,8000,31500,269,189,80,NA,NA,54,NA,NA,232,NA,272.2,196,76.2,NA,NA,49,4.4,11.6,230.8,NA,29.4
"040US19","19","7/1/2018","",0.5,0,0,"6/1/2016","6/1/2016","",1,1,0,1,1,1,0,1,"5/31/2006","5/1/2006","3/1/2009","","5/31/2006",12600,8300,3600,3000,8600,300,1600,10300,122,91,31,NA,NA,16,NA,NA,106,NA,122.4,88.6,33.8,NA,NA,4.8,NA,1.6,99.6,NA,11.5
"040US20","20","","",0,0,0,"7/1/2017","7/1/2017","",0.5,0.5,0,1,1,1,0,1,"7/1/2008","7/1/2008","4/1/2011","","7/1/2008",14600,9500,4400,3700,9900,300,2000,12000,141,100,41,NA,NA,17,NA,NA,121,NA,134.2,93.6,40.6,NA,NA,14.6,1.4,1.4,110.2,NA,11.8
"040US21","21","3/25/2015","",1,0,0,"7/1/2013","7/1/2013","",1,1,0,1,1,1,1,1,"7/15/1998","7/1/1998","7/1/1999","7/20/2012","7/15/1998",42500,28800,15000,18200,25000,700,5000,38900,306,215,91,NA,NA,35,NA,45,238,NA,266.8,185.4,81.4,NA,NA,25.6,NA,37,198.6,NA,37.2
"040US22","22","8/1/2014","",1,0,0,"9/1/2015","9/1/2015","",1,1,0,1,1,1,0,1,"7/1/2006","7/1/2006","1/1/2009","","7/1/2006",50000,35400,17200,14500,36400,1700,24300,28300,382,279,103,NA,NA,166,NA,12,328,15,374,268.4,105.6,NA,NA,159.8,1.2,23.4,311.2,7.4,24.5
"040US23","23","","",0,0,1,"5/1/2014","11/1/2015","",1,1,0,1,1,1,0,1,"6/23/2003","1/1/2004","1/1/2005","","9/13/2003",7000,5000,1800,2600,4100,100,100,6700,32,29,NA,NA,NA,NA,NA,NA,NA,NA,48,39.4,6.4,NA,NA,NA,NA,NA,24,NA,34.4
"040US24","24","10/1/2009","10/1/2015",1,1,1,"10/1/2013","10/1/2015","",1,1,0,1,1,1,0,1,"5/10/2011","10/1/2011","12/1/2013","","10/1/2011",40600,27400,13000,10600,28600,1200,21900,18500,340,258,82,NA,NA,178,NA,27,277,15,333.4,243.6,89.8,NA,1.2,180.6,NA,20.4,279.6,8.6,36.3
"040US25","25","8/2/2012","",1,0,1,"9/1/2012","7/1/2014","",1,1,0,1,1,1,1,1,"1/1/1992","12/1/1992","1/1/2011","7/1/2014","1/1/1994",38100,26800,10800,13600,23000,800,5300,32400,267,191,76,NA,NA,44,41,16,215,NA,284.6,204.6,80,NA,1.4,36.8,38.2,24.8,226.4,4.2,31.8
