"HEROP_ID","FIPS","PrcNtvRsrv","TtlJlPpr","TtlJlAdmr","TtlJlPrtr","TtlJlPp","TtlJlAdm","TtlJlPrt","OdMortRt"
"050US51127","51127",0.02,545.07,6136.37,278.88,78.98,889.16,40.41,21.2
"050US51133","51133",0,1833.7,19486.51,689.36,116.88,1242.07,43.94,22
"050US51143","51143",0,288.93,6091.05,104.12,111,2340,40,15.6
"050US51159","51159",0,1833.74,19486.62,689.37,105.55,1121.65,39.68,21.2
"050US51165","51165",0,633.65,7816.28,397.5,322,3972,202,12.3
"050US51175","51175",0,921.94,1344.13,353.27,107,156,41,17.4
"050US51179","51179",0,632.17,5227.4,473.24,636.27,5261.27,476.31,14.2
"050US51187","51187",0,712.74,7694.06,399.5,184.67,1993.53,103.51,28
"050US53047","53047",0.2,339.63,5750.26,0,84.37,1428.48,0,17
"050US53049","53049",0,325.2,5495.93,162.6,40,676,20,24.7
"050US53053","53053",0.02,214.99,3801.77,139,1259,22263,814,18.8
"050US53061","53061",0.02,188.82,5025.46,149.95,1030,27414,818,17.9
"050US53071","53071",0,184.91,6190.63,172.24,73,2444,68,20.4
"050US53073","53073",0.02,277.36,5439.22,219.32,411,8060,325,13.7
"050US54013","54013",0,488.94,4835.51,334.39,21.67,214.31,14.82,30.7
"050US54017","54017",0,285.41,2683.48,181.72,16.24,152.69,10.34,26.6
"050US54019","54019",0,346.62,5520.14,202.42,94.25,1500.98,55.04,56.5
"050US54023","54023",0,574.93,4681.73,263.08,40.32,328.33,18.45,23.4
"050US54027","54027",0,574.98,4681.8,263.17,84.62,689.02,38.73,35.7
"050US54033","54033",0,285.4,2683.46,181.72,122.61,1152.84,78.07,29.3
"050US54037","54037",0,382,4428.77,296.76,141.79,1643.87,110.15,32.7
"050US54043","54043",0,400.08,4377.32,199.69,52.21,571.24,26.06,61.8
"050US54065","54065",0,381.98,4428.74,296.72,42.56,493.45,33.06,39.7
"050US54071","54071",0,574.93,4681.68,263.22,23.48,191.2,10.75,20.6
"050US54081","54081",0,346.63,5520.14,202.41,162.18,2582.71,94.7,70.6
"050US54093","54093",0,675.34,4796.22,297.03,29.33,208.3,12.9,23.6
"050US54095","54095",0,285.43,2683.51,181.77,15.53,146.01,9.89,24
"050US37133","37133",0,229.34,6574.49,196.26,312,8944,267,18.8
"050US37137","37137",0,1378.56,15448.03,1365.05,102,1143,101,27.1
"050US37149","37149",0,241.96,3145.52,181.47,28,364,21,27.5
"050US37153","37153",0.03,298.34,7367.24,298.34,85,2099,85,21.5
