"HEROP_ID","FIPS","GEOID","OpRxRt","SviTh1","SviTh2","SviTh3","SviTh4","SviSmryRnk"
"050US51141","51141",51141,36.8,0.2768,0.3557,0.3058,0.2956,0.2558
"050US51143","51143",51143,4.5,0.6777,0.7973,0.6233,0.5126,0.7054
"050US51145","51145",51145,14.6,0.0226,0.008,0.4248,0.0181,0.0022
"050US51147","51147",51147,24.3,0.5313,0.1801,0.776,0.8552,0.6106
"050US51149","51149",51149,6.9,0.4582,0.0681,0.8549,0.4158,0.3805
"050US51153","51153",51153,10.9,0.3213,0.5813,0.9195,0.2144,0.4117
"050US51155","51155",51155,33.4,0.2304,0.1658,0.2854,0.3465,0.2011
"050US51157","51157",51157,6.4,0.4515,0.076,0.3824,0,0.0573
"050US51159","51159",51159,4,0.4566,0.2663,0.776,0.7289,0.5485
"050US51161","51161",51161,72.3,0.0681,0.3134,0.4537,0.2339,0.1333
"050US51163","51163",51163,15.3,0.1753,0.1947,0.265,0.153,0.125
"050US51165","51165",51165,16.9,0.2339,0.2733,0.3888,0.3808,0.2526
"050US51167","51167",51167,57,0.6023,0.2339,0.0169,0.3242,0.3468
"050US51169","51169",51169,140.4,0.4865,0.301,0.0169,0.7827,0.4712
"050US51171","51171",51171,16.2,0.469,0.7992,0.4146,0.1476,0.4298
"050US51173","51173",51173,36.9,0.5542,0.8931,0.1152,0.7671,0.6841
"050US51175","51175",51175,3.7,0.3942,0.287,0.7693,0.4184,0.4279
"050US51177","51177",51177,23.7,0.3303,0.2994,0.7261,0.1336,0.2654
"050US51179","51179",51179,18.7,0.0904,0.4734,0.8212,0.2794,0.2428
"050US51181","51181",51181,1.4,0.5119,0.4031,0.8447,0.1995,0.448
"050US51183","51183",51183,4.8,0.7012,0.2144,0.9201,0.8871,0.7385
"050US51185","51185",51185,66.2,0.6417,0.5619,0.1409,0.665,0.5883
"050US51187","51187",51187,24.9,0.6061,0.2704,0.4683,0.4792,0.496
"050US51191","51191",51191,54,0.3124,0.3147,0.0579,0.3904,0.2549
"050US51193","51193",51193,3.4,0.9281,0.903,0.7537,0.2638,0.8193
"050US51195","51195",51195,76.1,0.8756,0.5387,0.2587,0.8937,0.8046
"050US51197","51197",51197,32.6,0.3812,0.72,0.1339,0.3983,0.4139
"050US51199","51199",51199,16.8,0.0633,0.5269,0.6911,0.1384,0.1543
"050US51510","51510",51510,18.6,0.2345,0.0242,0.8651,0.7442,0.3178
"050US51520","51520",51520,23.1,0.8088,0.8381,0.3888,0.5902,0.7696
"050US51530","51530",51530,26.4,0.6332,0.3732,0.3961,0.4053,0.4983
"050US51540","51540",51540,135.6,0.6513,0.0334,0.72,0.8562,0.5727
"050US51550","51550",51550,33.6,0.3153,0.6125,0.8291,0.2475,0.4149
"050US51570","51570",51570,48.6,0.4782,0.9443,0.678,0.1912,0.5651
"050US51580","51580",51580,94.8,0.4073,0.468,0.5237,0.1352,0.3128
"050US51590","51590",51590,52.7,0.9322,0.9765,0.9176,0.8979,0.9796
"050US51595","51595",51595,124.1,0.9071,0.994,0.9784,0.4228,0.9233
"050US51600","51600",51600,69.3,0.1413,0.1117,0.8508,0.8113,0.3551
"050US51610","51610",51610,20.8,0.055,0.4047,0.678,0.4486,0.2189
"050US51620","51620",51620,54.4,0.7241,0.7165,0.9303,0.6745,0.7938
"050US51630","51630",51630,218.9,0.5851,0.3624,0.8101,0.9675,0.7636
"050US51640","51640",51640,76.1,0.9249,0.9478,0.6561,0.8928,0.9532
"050US51650","51650",51650,23.9,0.6277,0.58,0.937,0.7464,0.748
"050US51660","51660",51660,80.7,0.9666,0.1234,0.7378,0.9504,0.8648
