"HEROP_ID","ZCTA5","OtpMinDis","OtpTmDr","OtpCntDr"
"860US30660","30660",34.4,59.1,0
"860US41073","41073",2.51,9.36,13
"860US70357","70357",50.18,128.93,0
"860US71254","71254",62.43,100.41,0
"860US42464","42464",31.12,34.21,0
"860US41083","41083",36.55,57.27,0
"860US40444","40444",22.26,41.11,0
"860US41035","41035",19.37,43.46,0
"860US40057","40057",21.14,30.92,0
"860US41612","41612",16.45,38.63,0
"860US40025","40025",5.9,12.85,3
"860US40313","40313",51.35,76.77,0
"860US41725","41725",14.16,28.5,1
"860US40144","40144",33.66,54.31,0
"860US71360","71360",8.53,17.43,1
"860US71268","71268",47.18,60.31,0
"860US70575","70575",32.86,57.38,0
"860US71479","71479",43.91,56.12,0
"860US04039","04039",19.67,21.02,4
"860US04622","04622",53.01,92.44,0
"860US04354","04354",22.16,40.3,0
"860US04975","04975",10.14,13.26,1
"860US04920","04920",59.71,67.84,0
"860US20899","20899",4.55,9.23,4
"860US21717","21717",5.11,13.65,4
"860US64125","64125",5.72,15.35,6
"860US63653","63653",72.97,89.56,0
"860US64066","64066",30.07,46.64,0
"860US65556","65556",82.02,85.8,0
"860US65623","65623",49.37,77.58,0
"860US65612","65612",15.41,29.44,1
"860US59456","59456",202.92,NA,0
"860US59054","59054",105.57,139.17,0
"860US59735","59735",49.14,62.2,0
"860US59834","59834",27.13,28,1
"860US68137","68137",2.17,0,3
"860US69333","69333",243.74,NA,0
"860US68841","68841",104.65,NA,0
"860US68304","68304",19.27,25.27,2
"860US03280","03280",36.39,56.09,0
"860US03753","03753",16,28.42,1
"860US07621","07621",5.32,10.89,68
"860US08740","08740",2.13,16.27,4
"860US16244","16244",26.12,53.38,0
"860US15422","15422",11.04,20.33,2
"860US18444","18444",10.28,15.52,2
"860US17576","17576",8.72,15.46,3
"860US15049","15049",10.6,18.49,6
"860US19102","19102",0.51,1.81,34
"860US18617","18617",12.68,20.5,3
"860US29108","29108",26.64,46.54,0
"860US29030","29030",36.08,60.43,0
"860US29483","29483",18.81,19.15,2
"860US29591","29591",18.88,31.23,0
"860US29117","29117",40.56,49.33,0
"860US29368","29368",10.94,15.33,1
"860US57422","57422",162.52,NA,0
"860US57054","57054",65.32,87.67,0
"860US37066","37066",24.15,37.36,0
"860US38301","38301",7.06,11.63,1
"860US37174","37174",15.26,23.66,1
"860US60129","60129",22.36,33.78,0
"860US61839","61839",24.12,28.64,1
"860US61049","61049",20.29,32.09,0
"860US60144","60144",14.9,26.78,2
"860US60302","60302",2.86,8.12,39
"860US60472","60472",4.63,10.7,27
"860US47421","47421",26.69,33.56,0
"860US47916","47916",42.48,66.53,0
"860US47860","47860",23.7,33.87,0
"860US46961","46961",39.71,56.11,0
"860US47281","47281",45.75,72.19,0
"860US50230","50230",55.61,56.83,0
"860US50227","50227",83.05,91.29,0
"860US50551","50551",107.86,NA,0
"860US50105","50105",36.97,40.28,0
"860US52033","52033",40.9,57.39,0
"860US50559","50559",149.36,NA,0
"860US51230","51230",35.14,55.57,0
"860US67747","67747",138.17,NA,0
"860US66621","66621",2.67,4.26,1
"860US67457","67457",75.84,95.18,0
"860US40372","40372",21.27,28.9,1
"860US99109","99109",66.99,78.02,0
"860US99166","99166",126.26,NA,0
"860US98304","98304",57.66,85.15,0
"860US98830","98830",146.26,NA,0
"860US26405","26405",32.78,67.29,0
"860US26554","26554",16.08,29.47,1
"860US25271","25271",37,47.49,0
"860US98638","98638",43,55.37,0
"860US24844","24844",36.1,73.19,0
"860US24845","24845",36.3,64.85,0
"860US24736","24736",32.91,68.52,0
"860US26250","26250",35.26,61.8,0
"860US54521","54521",99.02,118.71,0
"860US24847","24847",28.36,55.83,0
"860US54985","54985",7.4,18.55,2
"860US83116","83116",88.82,NA,0
"860US26151","26151",40.93,99.72,0
"860US98305","98305",69.02,78.92,0
"860US24656","24656",26.1,46.83,0
"860US19731","19731",11.95,23.47,3
"860US46376","46376",23.25,38.43,0
"860US54896","54896",108.68,NA,0
"860US33404","33404",0.82,0,10
"860US35548","35548",16.98,37.31,0
"860US36775","36775",56.37,86.32,0
"860US71651","71651",69.92,110.2,0
"860US53504","53504",45.67,62.18,0
"860US03101","03101",0.23,0,4
"860US21802","21802",1.74,3.36,3
"860US02141","02141",1.56,4.79,21
"860US66019","66019",15.19,23.54,1
"860US61315","61315",36.73,47.92,0
"860US46987","46987",5.35,13.4,1
"860US48083","48083",2.16,4.64,18
"860US04490","04490",46.52,59.22,0
"860US06059","06059",16.13,22,1
"860US80290","80290",0.75,4.58,12
"860US99124","99124",110.99,NA,0
"860US05747","05747",27.32,65.63,0
"860US76483","76483",67.6,105.01,0
"860US88134","88134",85.85,159.67,0
"860US07702","07702",5.6,5.62,8
"860US17083","17083",5.71,6.22,3
"860US84629","84629",41.08,76.5,0
"860US19103","19103",0.94,3.07,34
"860US15015","15015",5.7,14.97,2
"860US17250","17250",16,26.17,2
"860US43970","43970",25.29,46.54,0
"860US43529","43529",37.73,54.13,0
"860US12307","12307",0.74,3.42,5
"860US36522","36522",34.94,57.37,0
"860US30165","30165",10.59,12.84,1
"860US85922","85922",68.39,181.74,0
"860US85620","85620",28.73,49.96,0
"860US84531","84531",122.25,NA,0
"860US96120","96120",37.49,46.13,0
"860US82063","82063",71.81,143.02,0
"860US93643","93643",43.8,66.97,0
"860US96080","96080",36.23,34.21,0
"860US95458","95458",61,108.94,0
"860US74578","74578",27.99,43.95,0
"860US97624","97624",87.46,151.01,0
"860US97343","97343",60.46,88.69,0
"860US97148","97148",33.48,51.19,0
"860US16616","16616",25.65,38.9,0
"860US97123","97123",14.23,22.54,2
"860US97424","97424",29.21,29.36,1
"860US17756","17756",15.4,19.74,3
"860US97758","97758",118.02,NA,0
"860US97494","97494",11.57,23.56,1
"860US19442","19442",11.89,21.4,5
"860US17887","17887",1.43,5.42,3
"860US15078","15078",16.63,29.45,1
"860US15737","15737",26.34,43.65,0
"860US15546","15546",18.11,22.05,1
"860US18428","18428",30.77,42.98,0
"860US18814","18814",27.6,57.69,0
"860US17041","17041",12.42,21,2
"860US85019","85019",1.38,4.1,32
"860US71665","71665",63.62,93.19,0
"860US71671","71671",89.54,NA,0
"860US71998","71998",56.58,57.64,0
"860US72476","72476",24.34,35.17,0
"860US71837","71837",18.9,21.32,1
"860US71763","71763",62.51,101.29,0
"860US71858","71858",55.22,71.45,0
"860US93254","93254",42.77,81.42,0
"860US20520","20520",0.22,NA,0
"860US20427","20427",0.44,NA,0
"860US32714","32714",3.72,10.16,5
"860US32134","32134",25.77,47.99,0
"860US33498","33498",7.37,19.25,10
"860US31021","31021",4.33,0,2
"860US30521","30521",17.08,24.39,1
"860US31804","31804",12.54,23.76,2
"860US30252","30252",6.07,19.26,3
"860US39842","39842",19.74,26.3,1
"860US30474","30474",2.27,0,1
"860US95835","95835",5.47,14.8,6
"860US93203","93203",22.96,28.36,1
"860US95364","95364",67.04,141.62,0
"860US91203","91203",1.52,2.87,30
"860US95363","95363",22.79,32.96,0
"860US93665","93665",31.81,51.77,0
"860US90071","90071",1.09,3.41,40
"860US95724","95724",39.7,57.46,0
"860US80302","80302",10.94,10.96,3
"860US80746","80746",157.89,NA,0
"860US81223","81223",67.77,106.32,0
"860US81243","81243",100.8,NA,0
"860US80218","80218",1.22,5.35,12
"860US19977","19977",4.53,0,2
"860US20202","20202",2.02,NA,0
"860US34681","34681",14.59,29.12,2
