GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GKT001,GKT002,GKT003,GKT004,GKT005,GKT006,GKT007,GKT008,GKT009,GKT010,GKT011,GKT012,GKT013,GKT014,GKT015,GKT016,GKT017,GKT018,GKT019,GKT020,GKT021,GKT022,GKT023,GKT024,GKT025,GKT026,GKT027,GKT028,GKT029,GKT030,GKT031,GKT032
"G270","2000","US","2","4","Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"206189140788","18981482285","Minnesota","A","+45639952","-094083065","01",,,11339,2741,9348,55691,22019,29598,25832,36416,434692,104303,250031,112715,293994,87369,39946,19524,13384,2969,7185,56201,20043,28195,27961,32423,477980,141617,263202,130378,311216,83654,23498,8881
"G280","2000","US","3","6","Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121488450732","3945172740","Mississippi","A","+32700249","-089609622","01",,,14024,9660,18815,42118,28740,38166,37020,42075,237396,48341,120836,41026,91232,28716,14573,7223,12957,7569,17781,46254,32159,43334,43215,43143,278695,63805,133762,59535,103093,40661,8161,3432
"G290","2000","US","2","4","Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"178413721374","2119611899","Missouri","A","+38353271","-092439467","01",,,11841,6089,13729,79488,39862,58174,52385,57735,554555,124339,243681,81767,252451,87319,37403,19226,10775,5317,12643,97736,46265,68322,60277,58457,635115,165535,263444,102899,255441,102461,21733,8442
"G300","2000","US","4","8","Montana","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"376979057369","3858989004","Montana","A","+46939672","-110568466","01",,,979,627,1236,11274,4709,6211,5734,7511,89824,20605,50159,14848,48442,14030,6485,3779,583,384,847,9270,4591,6766,6887,7749,93591,25710,53993,19572,52316,13171,3500,1238
"G310","2000","US","2","4","Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"199098632058","1246588932","Nebraska","A","+41242052","-098411541","01",,,4212,2224,5551,18733,9475,11260,9941,13146,162304,38441,80922,38554,85892,25070,12241,5953,3772,1508,3909,18467,8830,11221,10995,12617,177648,51466,92863,41042,93289,26014,6971,2710
"G320","2000","US","4","8","Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"284448008848","1902899301","Nevada","A","+38640903","-116886031","01",,,9455,4181,15749,14900,14831,16671,18014,33983,186871,54372,123392,39204,84426,26444,13509,5263,8779,3914,13243,14016,13924,17868,20365,33481,197399,63183,112850,41656,73652,24744,7326,2511
"G330","2000","US","1","1","New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23227265747","988970050","New Hampshire","A","+43309253","-071540147","01",,,1607,593,2114,12074,8410,10272,8166,10047,115431,25684,50979,30561,76943,30356,8584,5949,1471,529,1867,12171,7515,9077,7618,10223,132292,31874,56097,41211,76931,29275,5740,2326
"G340","2000","US","1","2","New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19210817801","3377250378","New Jersey","A","+40291026","-074500310","01",,,30067,17270,41787,78491,55192,71238,65443,112936,730763,153910,320559,121091,518542,212171,87468,45858,36126,21592,48671,99425,60306,81205,73387,121341,930730,191823,332580,177005,545123,202521,53512,19666
"G350","2000","US","4","8","New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"314309355994","605947499","New Mexico","A","+34715946","-106338771","01",,,10956,7005,15809,17792,12444,16001,16678,20049,142806,35935,84356,29803,74926,36097,11461,11859,11780,6565,15570,19508,14475,17397,17641,20311,158940,46457,93176,37198,79446,39931,7971,4458
"G360","2000","US","1","2","New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122283145776","19016249880","New York","A","+42155127","-075164667","01",,,103080,41024,118127,192921,147858,177207,166037,290583,1554926,316946,677058,377490,960097,432914,206004,86783,124355,58038,137988,230272,156501,185565,183154,313614,1925842,381092,728308,521338,994145,568040,135624,49605
